easting_m,break_northing_raw_m,break_elevation_m,plain_elevation_m,relief_m,break_northing_m,withheld,withheld_reason
242377.0,364897.0,12.001785732450939,9.009202294122604,24.39258432842437,364897.0,False,
242379.0,364899.0,11.981904756455195,9.027011916750952,24.345845494951526,364899.0,False,
242381.0,364903.0,12.078452428181967,9.107607137589227,24.240963549841013,364903.0,False,
242383.0,364907.0,12.144880975995745,9.167261991046724,24.157857572464714,364907.0,False,
242385.0,364909.0,12.16440486907959,9.214833359491259,24.092309715634293,364909.0,False,
242387.0,364909.0,12.102857090177988,9.215035642896382,24.046392281850174,364909.0,False,
242389.0,364911.0,12.165714309329077,9.20705949692499,24.015320641653872,364911.0,False,
242391.0,364913.0,12.193452290126253,9.209226235889252,23.879344313485284,364913.0,False,
242393.0,364913.0,12.125595274425688,9.173095221746536,23.824165825616745,364913.0,False,
242395.0,364913.0,12.069166637602306,9.126523803529286,23.820142187391006,364913.0,False,
242397.0,364913.0,12.012976192292713,9.064023796717324,23.822166890189763,364913.0,False,
242399.0,364915.0,12.040238107953751,9.052630937667118,23.762844344547815,364915.0,False,
242401.0,364915.0,11.980714298429943,9.015380859374998,23.671405065627326,364915.0,False,
242403.0,364915.0,11.91928568340483,8.995166674114408,23.554356452396938,364915.0,False,
242405.0,364917.0,11.948333376929874,8.985416702997115,23.53732089088077,364917.0,False,
242407.0,364917.0,11.881071408589682,8.951749978746685,23.528249200185144,364917.0,False,
242409.0,364919.0,11.894404774620421,8.942345305851529,23.494439983367915,364919.0,False,
242411.0,364921.0,11.912380945114862,8.949095294589089,23.401975472768147,364921.0,False,
242413.0,364923.0,11.92726185208275,8.968071406228201,23.20692928405035,364923.0,False,
242415.0,364925.0,11.943333307902016,8.969761966523672,23.001427532377697,364925.0,False,
242417.0,364925.0,11.869523820422943,8.950750051225933,22.882227062043683,364925.0,False,
242419.0,364927.0,11.879285721551806,8.931071367717925,22.64785762514387,364927.0,False,
242421.0,364929.0,11.882857186453682,8.921059531257264,22.287154547373454,364929.0,False,
242423.0,364931.0,11.876071294148762,8.901023814791724,21.98028551283337,364931.0,False,
242425.0,364933.0,11.84130959283738,8.875380879356745,21.820333707900275,364933.0,False,
242427.0,364935.0,11.80702391124907,8.848357014429,21.605809579576764,364935.0,False,
242429.0,364937.0,11.778452464512416,8.842357213156562,21.55788100560506,364937.0,False,
242431.0,364939.0,11.774047715323313,8.829047634488061,21.526785782405305,364939.0,False,
242433.0,364941.0,11.756547655378071,8.81555953707014,21.4820591472444,364941.0,False,
242435.0,364945.0,11.787857237316311,8.800618880135671,21.394023595537455,364945.0,False,
242437.0,364945.0,11.73404752640497,8.795142823173887,21.320333421797976,364945.0,False,
242439.0,364945.0,11.747023900349935,8.778333377838136,21.250475851694745,364945.0,False,
242441.0,364947.0,11.751428558712913,8.757273819333031,21.203202374776204,364947.0,False,
242443.0,364951.0,11.75797616867792,8.758511815752302,21.039107141040624,364951.0,False,
242445.0,364951.0,11.682499930972146,8.733619017828078,20.929238128662114,364951.0,False,
242447.0,364955.0,11.681920551118393,8.735059570130847,20.871726158687046,364955.0,False,
242449.0,364959.0,11.713031405494327,8.738190430686586,20.843238097145438,364959.0,False,
242451.0,364961.0,11.672182809738885,8.729000005267915,20.873023800622846,364961.0,False,
242453.0,364967.0,11.746000108264742,8.746714296795073,20.835428669339134,364967.0,False,
242455.0,364971.0,11.751222428821382,8.759321417127335,20.81722620555333,364971.0,False,
242457.0,364973.0,11.703174772716704,8.758321623575121,20.80810687882559,364973.0,False,
242459.0,364977.0,11.728142420450846,8.763464346386137,20.793559655689055,364977.0,False,
242461.0,364981.0,11.756714775448753,8.760762023925782,20.760309455508274,364981.0,False,
242463.0,364983.0,11.717031978425524,8.756000019255136,20.68388098762149,364983.0,False,
242465.0,364987.0,11.732722781953358,8.74273810613723,20.607976168677915,364987.0,False,
242467.0,364989.0,11.703389031546452,8.734607185636248,20.50241657665797,364989.0,False,
242469.0,364991.0,11.680872917175291,8.729511903581164,20.321797500337873,364991.0,False,
242471.0,364993.0,11.670960017613002,8.711183641070411,20.151078358150663,364993.0,False,
242473.0,364995.0,11.651270003545852,8.699571391514368,20.008166849045526,364995.0,False,
242475.0,364997.0,11.644277572631834,8.688309519631522,19.827404580797463,364997.0,False,
242477.0,364999.0,11.662047704060871,8.680440566653296,19.712535649254207,364999.0,False,
242479.0,365001.0,11.647087551298597,8.676833289010183,19.718523570469454,365001.0,False,
242481.0,365003.0,11.64749190920875,8.676928565615698,19.694023677280974,365003.0,False,
242483.0,365005.0,11.648547626677013,8.67214278720674,19.66761858349755,365005.0,False,
242485.0,365005.0,11.607777595520018,8.657226162865047,19.632654862176803,365005.0,False,
242487.0,365007.0,11.61949194045294,8.65879753203619,19.622988160451257,365007.0,False,
242489.0,365009.0,11.643563860938663,8.673059522537958,19.570988096509662,365009.0,False,
242491.0,365011.0,11.652484303429011,8.703952278409684,19.692714747928438,365011.0,False,
242493.0,365013.0,11.66724563780285,8.727761813572474,19.75985758645194,365013.0,False,
242495.0,365015.0,11.68851566314697,8.723880926767984,19.751476764678955,365015.0,False,
242497.0,365017.0,11.713088671366375,8.72335723695301,19.780570902143204,365017.0,False,
242499.0,365017.0,11.665433883666992,8.692452392123995,19.90742828051249,365017.0,False,
242501.0,365017.0,11.616564750671385,8.688904839470272,20.03228593099685,365017.0,False,
242503.0,365019.0,11.64943095615932,8.667619110289074,20.09178548086257,365019.0,False,
242505.0,365019.0,11.60975438072568,8.664035749435426,20.060845558983942,365019.0,False,
242507.0,365021.0,11.642547562008811,8.671178636096773,20.05846405029297,365021.0,False,
242509.0,365023.0,11.67571076892671,8.682738045283726,20.081786232902893,365023.0,False,
242511.0,365023.0,11.64366240728469,8.65005953652518,20.08505951109387,365023.0,False,
242513.0,365023.0,11.605480920700797,8.614464405604771,19.976488331386015,365023.0,False,
242515.0,365023.0,11.567383357456754,8.622154744466146,19.826059559413366,365023.0,False,
242517.0,365025.0,11.612171445574079,8.679821352731613,19.650773754574004,365025.0,False,
242519.0,365029.0,11.732999892461866,8.733880933125814,19.543500146411713,365029.0,False,
242521.0,365029.0,11.689635185968308,8.736809535253613,19.46640447434925,365029.0,False,
242523.0,365031.0,11.73825659070696,8.757151803516207,19.347491518656412,365031.0,False,
242525.0,365031.0,11.701599484398251,8.74923611595517,19.246954636346725,365031.0,False,
242527.0,365031.0,11.659518105643134,8.702908002762564,19.196973178500222,365031.0,False,
242529.0,365033.0,11.703867685227166,8.71059037163144,19.127147392999557,365033.0,False,
242531.0,365033.0,11.667016211010157,8.725726123083206,18.982726010822113,365033.0,False,
242533.0,365035.0,11.706778072175524,8.725285611833845,18.931738135928192,365035.0,False,
242535.0,365037.0,11.74285652523949,8.744726151511781,18.874559886114938,365035.0,False,
242537.0,365035.0,11.612272444225491,8.694999946866716,18.892499853315805,365037.0,False,
242539.0,365037.0,11.655148142860048,8.669238145010812,18.93826193128313,365037.0,False,
242541.0,365037.0,11.623469988505045,8.669536751792544,18.94046349525452,365037.0,False,
242543.0,365037.0,11.590515182131814,8.65703567777361,18.9022497131711,365037.0,False,
242545.0,365037.0,11.54098197392055,8.577202435902189,18.94113036337353,365037.0,False,
242547.0,365037.0,11.502521923610141,8.556792960848126,18.91475430216108,365037.0,False,
242549.0,365037.0,11.45568902151925,8.52900239172436,18.8774264449165,365037.0,False,
242551.0,365039.0,11.489782832917712,8.492491163526262,18.885365681421185,365039.0,False,
242553.0,365039.0,11.44844813573928,8.454233351207913,18.882790883382164,365039.0,False,
242555.0,365039.0,11.41288089752197,8.451476167497182,18.784833065668735,365039.0,False,
242557.0,365039.0,11.369293848673502,8.43413812773568,18.762290352866763,365039.0,False,
242559.0,365039.0,11.336160432724725,8.415854799179803,18.749145026434036,365039.0,False,
242561.0,365041.0,11.383159047081357,8.413628664470854,18.66268135706583,365041.0,False,
242563.0,365041.0,11.342766307649155,8.402316649754843,18.609230802172704,365041.0,False,
242565.0,365043.0,11.396785736083986,8.402321368172055,18.541725833075382,365043.0,False,
242567.0,365043.0,11.369989077250162,8.394640575136457,18.503574128378006,365043.0,False,
242569.0,365043.0,11.34599245162237,8.368940557752337,18.468321641286217,365043.0,False,
242571.0,365043.0,11.318989980788455,8.374869010561989,18.374416641961957,365043.0,False,
242573.0,365043.0,11.29551328931536,8.358138059434438,18.35245738937741,365043.0,False,
242575.0,365043.0,11.270370029267808,8.352576164972215,18.259804998125347,365043.0,False,
242577.0,365045.0,11.344534283592587,8.355988132385981,18.24079809415908,365045.0,False,
242579.0,365045.0,11.338459014892582,8.360953823725382,18.141308473405388,365045.0,False,
242581.0,365045.0,11.32006331852504,8.35757066408793,18.085762643814085,365045.0,False,
242583.0,365045.0,11.311689513070244,8.358073098318917,18.051331293015252,365045.0,False,
242585.0,365045.0,11.304938997541152,8.372750050680978,17.9786788440886,365045.0,False,
242587.0,365045.0,11.29945473443894,8.36849052338373,17.927819174811948,365045.0,False,
242589.0,365045.0,11.295882361275808,8.364295300983247,17.9073714528765,365045.0,False,
242591.0,365045.0,11.28105808439709,8.348409448351179,17.83599574225289,365045.0,False,
242593.0,365045.0,11.275960513523648,8.337787283034551,17.779713203793474,365045.0,False,
242595.0,365045.0,11.272738093421573,8.324369035448347,17.75825031371344,365045.0,False,
242597.0,365045.0,11.259238197689964,8.308928560075307,17.698809553328005,365045.0,False,
242599.0,365045.0,11.25755005791074,8.30023821422032,17.624285638900027,365045.0,False,
242601.0,365045.0,11.257160005115328,8.293671975817,17.579066453661234,365045.0,False,
242603.0,365045.0,11.234489032200402,8.298591849917456,17.502836354573574,365045.0,False,
242605.0,365045.0,11.23165144239153,8.283965987250918,17.43829562323434,365045.0,False,
242607.0,365045.0,11.225111461821056,8.283788102013725,17.348593155543007,365045.0,False,
242609.0,365049.0,11.395230020795546,8.419082055773053,17.098179903484528,365049.0,False,
242611.0,365049.0,11.394748051961262,8.488140801021032,16.817811634427024,365049.0,False,
242613.0,365051.0,11.47337332225981,8.500418513161796,16.717200610751192,365049.0,False,
242615.0,365051.0,11.463913826715375,8.499163541339692,16.64488396871657,365049.0,False,
242617.0,365051.0,11.455644743783132,8.54269069944109,16.51635699953352,365049.0,False,
242619.0,365053.0,11.5311986378261,8.544500101180303,16.409666492825465,365051.0,False,
242621.0,365051.0,11.421729996090844,8.499952379862469,16.3599287033081,365051.0,False,
242623.0,365053.0,11.497143336704797,8.543535695757184,16.225273940676736,365051.0,False,
242625.0,365053.0,11.49741422562372,8.562809426443918,16.211833245413644,365051.0,False,
242627.0,365053.0,11.482745715550013,8.532273755754742,16.256297374906993,365051.0,False,
242629.0,365053.0,11.466416131882436,8.533245184308006,16.193779166539507,365051.0,False,
242631.0,365053.0,11.468214807056244,8.50064769018264,16.217328834533696,365051.0,False,
242633.0,365053.0,11.468761807396298,8.477477822984968,16.12740273702712,365051.0,False,
242635.0,365051.0,11.37496757507324,8.428565904072354,16.107863001596357,365051.0,False,
242637.0,365051.0,11.387250945681616,8.400249948955716,16.049988051823213,365051.0,False,
242639.0,365051.0,11.389271917797268,8.393511999221074,15.987440200079051,365051.0,False,
242641.0,365051.0,11.388831865219844,8.40515471413022,15.969845013391403,365051.0,False,
242643.0,365051.0,11.392221859523227,8.40193817274911,15.909728679202855,365051.0,False,
242645.0,365049.0,11.314079602559406,8.396333263033911,15.85545256024315,365051.0,False,
242647.0,365049.0,11.311468578520277,8.382635012127105,15.823317314329598,365053.0,False,
242649.0,365049.0,11.306047030857634,8.384302393595375,15.814507457188197,365053.0,False,
242651.0,365051.0,11.363542829241071,8.375260294051397,15.83164488928658,365053.0,False,
242653.0,365051.0,11.331907998947868,8.373761999039424,15.788976528531023,365053.0,False,
242655.0,365051.0,11.328785669235955,8.352422180629912,15.711506332669938,365053.0,False,
242657.0,365051.0,11.30894424801781,8.34857148670015,15.669523438953219,365053.0,False,
242659.0,365051.0,11.275468553815568,8.355749943142845,15.539130624135334,365053.0,False,
242661.0,365053.0,11.360444341387065,8.376166697910854,15.010262044270835,365053.0,False,
242663.0,365053.0,11.335508028666176,8.380559567042758,15.06515447525751,365053.0,False,
242665.0,365053.0,11.331323260352725,8.383547705695742,15.243595609210788,365053.0,False,
242667.0,365053.0,11.32090863727388,8.38524991444179,15.396654851096017,365053.0,False,
242669.0,365055.0,11.377381006876627,8.396273781004405,15.53098857062203,365055.0,False,
242671.0,365057.0,11.421738125029064,8.426619030180431,15.589333034697036,365057.0,False,
242673.0,365057.0,11.382396652584983,8.419357056844804,15.603143117541356,365057.0,False,
242675.0,365057.0,11.342952410380045,8.391797515324184,15.651654429662797,365057.0,False,
242677.0,365059.0,11.367976097833541,8.387130800882975,15.630607541402181,365059.0,False,
242679.0,365059.0,11.340000016348702,8.362141257240658,15.64690593310765,365059.0,False,
242681.0,365059.0,11.298571495782761,8.351940541040332,15.656988484518862,365059.0,False,
242683.0,365061.0,11.342023758661178,8.366307124637421,15.62643105416071,365059.0,False,
242685.0,365061.0,11.320238113403322,8.330003908702306,15.681901125680831,365059.0,False,
242687.0,365059.0,11.228809583754767,8.30557380403791,15.689664091382712,365059.0,False,
242689.0,365061.0,11.285714285714285,8.288880993071055,15.745762361798969,365061.0,False,
242691.0,365059.0,11.234166644868395,8.30486899784633,15.726202892121815,365061.0,False,
242693.0,365059.0,11.248214358375183,8.302547650110153,15.763166686466757,365061.0,False,
242695.0,365061.0,11.305476143246604,8.317523801894415,15.760214369637621,365061.0,False,
242697.0,365061.0,11.27047620500837,8.331737976982478,15.747309180668424,365061.0,False,
242699.0,365063.0,11.301785696120488,8.351452400570825,15.761166817801339,365063.0,False,
242701.0,365063.0,11.259523755028136,8.300778491156441,15.811959164483207,365063.0,False,
242703.0,365065.0,11.29047625405448,8.313411926087879,15.798969146183554,365065.0,False,
