month,site_anomaly_m,site_sd_m,n_wells,P_m,PET,site_anomaly_smoothed_m
1952-08-01,-0.30100541397218533,0.04972676510295055,50,0.087,0.0920161595406261,-0.011108747575599228
1952-09-01,-0.25501813355054354,0.04310983693194117,50,0.0807,0.0573193116864903,-0.04235373110248842
1952-10-01,-0.11349649210907148,0.035087993909254114,50,0.0993,0.0416271833051144,-0.08201478815633217
1952-11-01,-0.07768448960632161,0.023052474570992052,50,0.0681,0.0195980608920637,-0.10943874003631414
1952-12-01,0.05075830011246664,0.02822241081290233,50,0.0899,0.0156765163510977,-0.13289246311486086
1953-01-01,-0.040496331996552525,0.04643099576931377,50,0.039,0.0173191686773384,-0.1632657652450794
1953-02-01,0.01372143275877078,0.05909735046766278,50,0.0733,0.0187148831597519,-0.1835981603193015
1953-03-01,-0.167984776273899,0.09382383611497724,50,0.0202,0.0289983910864624,-0.20568816071531124
1953-04-01,-0.13008148952979517,0.08735412086224244,50,0.0751,0.0417210838627302,-0.22191128619941394
1953-05-01,-0.1819977363969396,0.06856996952563076,50,0.0688,0.0833891890309973,-0.24541240960829913
1953-06-01,-0.4317894573419977,0.08465562153205723,50,0.0237,0.0948684474257972,-0.249572088337227
1953-07-01,-0.5681033359255495,0.08338531658890459,50,0.051,0.1059097008390304,-0.2717584366785039
1953-08-01,-0.5660854187243021,0.07169715423491835,50,0.0790999999999999,0.0963386745425729,-0.2863166782418903
1953-09-01,-0.4496956393597762,0.06172307701751651,50,0.0989,0.0730065356476328,-0.29678021432076535
1953-10-01,-0.3955099730156934,0.05548674698253853,50,0.0762999999999999,0.046262090687815,-0.28858282200049606
1953-11-01,-0.12760063435345637,0.061868886368889375,50,0.1247,0.0327494458605139,-0.29570594910993525
1953-12-01,-0.21547787998285575,0.03317739107390867,50,0.0395,0.0243031580653428,-0.3011480401015139
1954-01-01,-0.21519523075718897,0.0278626870524527,50,0.0559,0.0146994757770762,-0.28586554118492913
1954-02-01,-0.11184100018773047,0.035847701157552925,50,0.0800999999999999,0.0121902469300175,-0.26074266264390894
1954-03-01,-0.06961606843066744,0.042967094884424004,50,0.0732,0.0296455777604468,-0.23387314978174567
1954-04-01,-0.21555901484306592,0.05862192979391977,50,0.0324,0.0422049219409731,-0.2123749262695889
1954-05-01,-0.2473028282958833,0.0472489713446008,50,0.0682,0.0716245590564944,-0.1655084461187473
1954-06-01,-0.24839947034298035,0.029723811517307592,50,0.0805999999999999,0.086682661173316,-0.10669610686789184
1954-07-01,-0.26662879343330714,0.03192725291676581,50,0.0782,0.091397153993748,-0.038558597786311676
1954-08-01,-0.24365126437834267,0.04741467954769464,50,0.0858,0.0850914479328099,0.03328629455863453
1954-09-01,-0.19171695721389523,0.05791821330231905,50,0.0865,0.0658905730656804,0.09343019112500728
1954-10-01,0.16688778879440588,0.11001653626071305,50,0.1571999999999999,0.0511891855624263,0.1368896156382887
1954-11-01,0.5781474366568093,0.16430164437260492,50,0.1682,0.0277646696761863,0.18308077361514405
1954-12-01,0.6021722289961062,0.1390972465511116,50,0.0792,0.0230755685672964,0.223166553347919
1955-01-01,0.6469434773821655,0.12062154683053791,50,0.0807,0.0124173009115897,0.2665467736732037
1955-02-01,0.6098857586087425,0.0977133824169257,50,0.0603,0.0096236930362753,0.2858819581173501
