well,code,month,observed_m_bg,predicted_m_bg,predicted_lo_m_bg,predicted_hi_m_bg,residual_m
nw13,1D,1995-08,-1.58,-1.6268822141360455,-1.6268822141360455,-1.3025043159734682,0.04688221413604543
nw13,1D,1995-10,-1.55,-1.452107528410347,-1.452107528410347,-1.1115013062254082,-0.09789247158965297
nw13,1D,1995-11,-1.45,-1.3735680044834564,-1.3735680044834564,-1.0310529812734799,-0.07643199551654356
nw13,1D,1995-12,-1.49,-1.2571536787765472,-1.2571536787765472,-0.9110729112570084,-0.23284632122345283
nw13,1D,1996-01,-1.55,-1.278599390839801,-1.278599390839801,-0.941088381113337,-0.27140060916019904
nw13,1D,1996-02,-1.41,-1.1789649479988107,-1.1789649479988107,-0.8379258840730108,-0.23103505200118923
nw13,1D,1996-03,-1.56,-1.194276333805195,-1.194276333805195,-0.858862364454379,-0.3657236661948051
nw13,1D,1996-04,-1.57,-1.2276974193886532,-1.2276974193886532,-0.8962576211682882,-0.3423025806113469
nw3,1E,1989-05,-0.618,-0.8268196976253052,-0.8268196976253052,-0.38686891276200597,0.20881969762530517
nw3,1E,1989-06,-0.758,-0.958484492860061,-0.958484492860061,-0.5225043446616686,0.20048449286006098
nw3,1E,1989-07,-0.8979999999999999,-1.2483613586858762,-1.2483613586858762,-0.8287749715016497,0.35036135868587626
nw3,1E,1989-08,-0.938,-1.257019950462328,-1.257019950462328,-0.8303601038107543,0.3190199504623281
nw3,1E,1989-09,-0.938,-1.5135065108224528,-1.5135065108224528,-1.1105329209051085,0.5755065108224529
nw3,1E,1989-10,-0.938,-1.3484249999649174,-1.3484249999649174,-0.9310876723405402,0.41042499996491744
nw3,1E,1989-11,-0.9279999999999999,-1.2055500543040052,-1.2055500543040052,-0.781337741527161,0.27755005430400526
nw3,1E,1989-12,-0.598,-0.9452783673879642,-0.9452783673879642,-0.5041955670656468,0.34727836738796425
nw3,1E,1990-01,-0.14800000000000002,-0.6528966698252016,-0.6528966698252016,-0.18916638127513385,0.5048966698252015
nw3,1E,1990-02,-0.158,-0.44903434806315706,-0.44903434806315706,0.029471286155066556,0.2910343480631571
nw3,1E,1990-03,-0.428,-0.687812039155395,-0.687812039155395,-0.23605014694811943,0.259812039155395
nw3,1E,1990-04,-0.618,-0.8645631494971426,-0.8645631494971426,-0.4317905668508435,0.24656314949714264
nw3,1E,1990-05,-0.838,-1.098912567487849,-1.098912567487849,-0.6834990701534887,0.2609125674878491
nw3,1E,1990-06,-0.9079999999999999,-1.2804368655552272,-1.2804368655552272,-0.8756107633607044,0.37243686555522726
nw3,1E,1990-07,-1.0879999999999999,-1.4805691278774276,-1.4805691278774276,-1.0837349498249227,0.3925691278774277
nw3,1E,1990-08,-1.0879999999999999,-1.6360867267510113,-1.6360867267510113,-1.2455241532537575,0.5480867267510114
nw3,1E,1990-10,-1.0979999999999999,-1.52483617140205,-1.52483617140205,-1.1244608460912655,0.4268361714020501
nw3,1E,1990-11,-1.028,-1.330007159031154,-1.330007159031154,-0.9176748592918109,0.30200715903115394
nw3,1E,1990-12,-0.718,-0.9672668714182366,-0.9672668714182366,-0.5273731420539113,0.24926687141823667
nw3,1E,1991-01,-0.7979999999999999,-0.9236474306252185,-0.9236474306252185,-0.4880705826109933,0.12564743062521855
nw3,1E,1991-02,-0.748,-0.9459620278368068,-0.9459620278368068,-0.5211502972000074,0.19796202783680683
nw3,1E,1991-03,-0.5379999999999999,-0.8475401292100768,-0.8475401292100768,-0.4159196743453871,0.3095401292100769
nw3,1E,1991-04,-0.618,-0.7904889991228848,-0.7904889991228848,-0.3537441375026837,0.17248899912288485
