decade,well,scope,mean_anomaly_m
1970,ceh24,well,-0.40549374777707464
1970,ceh25,well,-0.3423206029841099
1970,ceh26,well,-0.3473752840887263
1970,ceh27,well,-0.36507097372698105
1970,ceh28,well,-0.38271953338759085
1970,ceh36,well,-0.350133073690342
1970,ceh39,well,-0.45063064571184086
1970,ceh4,well,-0.3357337560157977
1970,ceh40,well,-0.4393475537101825
1970,ceh41,well,-0.4881529098893199
1970,ceh42,well,-0.42231457829681196
1970,ceh5,well,-0.37998816485071085
1970,ceh6,well,-0.33680435702639666
1970,ceh9,well,-0.4171029231471372
1970,d10,well,-0.4330363152103978
1970,d15,well,-0.43975677489424864
1970,d17,well,-0.39928671670137034
1970,d25,well,-0.392946336618292
1970,d38,well,-0.35256098969101746
1970,d41,well,-0.3912912397993788
1970,d43,well,-0.39309435073049637
1970,d44,well,-0.3568911323304765
1970,d5,well,-0.39762005371767134
1970,d6,well,-0.4172640024579789
1970,d7,well,-0.3924637779254883
1970,d8,well,-0.41425171702813446
1970,d9,well,-0.4330939057616432
1970,l7,well,-0.32435260586654496
1970,nw1,well,-0.2716766122885709
1970,nw13,well,-0.41035024281121163
1970,nw2,well,-0.34804793389157246
1970,nw3,well,-0.3705427671729648
1970,nw4,well,-0.3561404586172391
1970,nw4b,well,-0.3739812152155842
1970,nw5,well,-0.38115321460251894
1970,nw6,well,-0.3484020581918705
1970,nw7,well,-0.327535788180369
1970,t41a,well,-0.3951424007411355
1970,t41b,well,-0.39714852577533183
1970,t41c,well,-0.39914206170554967
1970,t41d,well,-0.378224413415961
1970,wmc1,well,-0.4031842707391116
1970,wmc2,well,-0.4139830682585646
1970,wmc4,well,-0.4098566507117083
1980,ceh1,well,-0.024981166253577564
1980,ceh10,well,-0.03593008310953879
1980,ceh11,well,-0.05435009508211655
1980,ceh18,well,-0.03649831182932636
1980,ceh21,well,-0.03867189727841334
1980,ceh23,well,-0.054793371799920124
1980,ceh24,well,-0.044401662603972734
1980,ceh25,well,-0.06309876866627143
1980,ceh26,well,-0.054320300491271914
1980,ceh27,well,-0.05533160614150136
1980,ceh28,well,-0.04335539686253941
1980,ceh36,well,-0.053634110018529295
1980,ceh39,well,-0.05808851147988671
1980,ceh4,well,-0.03970630659290517
1980,ceh40,well,-0.0855149446340052
1980,ceh41,well,-0.08485001490167329
1980,ceh42,well,-0.08289195255155371
1980,ceh5,well,-0.05381336783758736
1980,ceh6,well,-0.07303416966838025
1980,ceh9,well,-0.022837624569160338
1980,d10,well,-0.03675357843718545
1980,d15,well,-0.03750832291664299
1980,d17,well,-0.04608492362346005
1980,d25,well,-0.03931005292770157
1980,d38,well,-0.04869332886005782
1980,d41,well,-0.04495221829391076
1980,d43,well,-0.03808690509467485
1980,d44,well,-0.04377157504388664
1980,d5,well,-0.038799079111138286
1980,d6,well,-0.03510294702376011
1980,d7,well,-0.04739910672815193
1980,d8,well,-0.04042675186535075
1980,d9,well,-0.03324594362277582
1980,l7,well,-0.014146497492879998
1980,nw1,well,-0.009773660694009355
1980,nw13,well,-0.0812001062794551
1980,nw2,well,-0.013825229256749614
1980,nw3,well,-0.011183125956679066
1980,nw4,well,-0.020040261274627207
1980,nw4b,well,-0.03961500898143509
1980,nw5,well,0.0004924502344314288
1980,nw6,well,-0.01690233399008662
1980,nw7,well,0.009012151303016877
1980,t41a,well,-0.047282437466734745
1980,t41b,well,-0.04724916971642108
1980,t41c,well,-0.045325513477946104
1980,t41d,well,-0.04054888560441654
1980,wmc1,well,-0.04607857950673903
1980,wmc2,well,-0.040245834058991854
1980,wmc4,well,-0.08019497480068125
1990,ceh1,well,-0.5327475076568028
1990,ceh10,well,-0.371377177323069
1990,ceh11,well,-0.4029089730605425
1990,ceh18,well,-0.459707135441699
1990,ceh21,well,-0.4146834091777189
1990,ceh23,well,-0.40608510260818426
1990,ceh24,well,-0.49575890620702184
1990,ceh25,well,-0.3812130757882397
1990,ceh26,well,-0.4047637657053411
1990,ceh27,well,-0.423021753361687
1990,ceh28,well,-0.4677184431845882
1990,ceh36,well,-0.4442769850706076
1990,ceh39,well,-0.6544788244824026
1990,ceh4,well,-0.4107714432244017
1990,ceh40,well,-0.5990175051528867
1990,ceh41,well,-0.6736816911463241
1990,ceh42,well,-0.5310852455693357
1990,ceh5,well,-0.44539178643950367
1990,ceh6,well,-0.370704439770121
1990,ceh9,well,-0.6146891527361683
1990,d10,well,-0.554231199235638
1990,d15,well,-0.5580816694783253
1990,d17,well,-0.48798276773851706
1990,d25,well,-0.49765726452912545
1990,d38,well,-0.40968512461250944
1990,d41,well,-0.4836778657833062
1990,d43,well,-0.4828140196829714
1990,d44,well,-0.4246890930101318
1990,d5,well,-0.49295466744955807
1990,d6,well,-0.5248589350836844
1990,d7,well,-0.4744671383812626
1990,d8,well,-0.5292445106073356
1990,d9,well,-0.5533268037573194
1990,l7,well,-0.4077066192621107
1990,nw1,well,-0.3312385297679729
1990,nw13,well,-0.4857380049287942
1990,nw2,well,-0.42924071885609555
1990,nw3,well,-0.4714297352661699
1990,nw4,well,-0.456134959791059
1990,nw4b,well,-0.4667941865351521
1990,nw5,well,-0.5150611054819912
1990,nw6,well,-0.4514357241006974
1990,nw7,well,-0.47309437455461434
1990,t41a,well,-0.46872774090218716
1990,t41b,well,-0.4900904139257253
1990,t41c,well,-0.48974000876277785
1990,t41d,well,-0.46732936436256217
1990,wmc1,well,-0.5112123289016908
1990,wmc2,well,-0.54984675524134
1990,wmc4,well,-0.48575859379101194
2000,ceh1,well,0.009107211248946678
2000,ceh10,well,0.002800898624567673
2000,ceh11,well,-0.001120056001937353
2000,ceh18,well,-0.006393416806679028
2000,ceh21,well,-0.014133851473203363
2000,ceh23,well,0.0005863782864619666
2000,ceh24,well,0.0027684243628091115
2000,ceh25,well,-0.00012038014181961117
2000,ceh26,well,0.001039139683960326
2000,ceh27,well,0.0020407921251101926
2000,ceh28,well,0.0018673431674573568
2000,ceh36,well,-0.016242136529310496
2000,ceh39,well,-0.051955730295697986
2000,ceh4,well,0.0021412006118401
2000,ceh40,well,-0.06825319400305117
2000,ceh41,well,-0.0732596742998123
2000,ceh42,well,-0.04504113621682677
2000,ceh5,well,0.0003807566097594246
