mode,month,well,observed_h_m,modelled_h_recurrence_m,modelled_h_nearest_hollow_m
R,2006-10,nw8,-1.12,-1.157,-1.35
R,2006-10,ceh3,-0.46,-0.574,-0.447
R,2006-10,ceh7,-0.53,-0.618,-0.138
R,2006-10,ceh8,-0.58,-0.505,-0.478
R,2006-10,ceh12,-1.37,-1.291,-24.26
R,2006-11,nw1,-1.15,-1.238,-1.582
R,2006-11,nw2,-0.35,-0.5,-0.588
R,2006-11,nw3,-0.27,-0.334,-0.999
R,2006-11,nw4,0.02,-0.089,-0.238
R,2006-11,nw4b,-0.01,-0.115,-0.334
R,2006-11,nw5,-0.3,-0.331,0.29
R,2006-11,nw6,-0.11,-0.118,-0.34
R,2006-11,nw7,-0.91,-0.785,-1.155
R,2006-11,nw9,-0.069,-0.25,0.654
R,2006-11,ceh1,-0.28,-0.358,-1.38
R,2006-11,ceh2,-0.98,-0.962,-2.048
R,2006-11,ceh4,0.01,-0.091,-0.35
R,2006-11,ceh5,-0.08,-0.239,-0.688
R,2006-11,ceh6,0.09,-0.081,-0.096
R,2006-11,ceh9,-0.38,-0.376,-1.968
R,2006-11,ceh10,-1.12,-1.008,-0.832
R,2006-11,ceh11,-0.19,-0.239,0.54
R,2006-11,ceh13,-0.85,-0.664,-3.594
R,2006-11,ceh14,-1.03,-0.76,-3.387
R,2006-11,nw8,-0.92,-0.999,-1.218
R,2006-11,ceh3,-0.31,-0.442,-0.233
R,2006-11,ceh7,-0.23,-0.36,0.066
R,2006-11,ceh8,-0.34,-0.255,-0.249
R,2006-11,ceh12,-1.16,-0.991,-24.021
R,2006-12,nw1,-0.97,-0.917,-1.335
R,2006-12,nw2,-0.15,-0.221,-0.321
R,2006-12,nw3,0.01,-0.032,-0.689
R,2006-12,nw4,0.03,0.198,0.038
R,2006-12,nw4b,0.01,0.173,-0.058
R,2006-12,nw5,0.06,-0.062,0.467
R,2006-12,nw6,0.06,0.14,-0.101
R,2006-12,nw7,-0.59,-0.489,-0.929
R,2006-12,nw9,0.281,-0.092,0.936
R,2006-12,ceh1,0.2,-0.087,-1.092
R,2006-12,ceh2,-0.55,-0.721,-1.76
R,2006-12,ceh4,0.01,0.165,-0.087
R,2006-12,ceh5,0.14,0.075,-0.438
R,2006-12,ceh6,0.07,0.219,0.198
R,2006-12,ceh9,-0.11,-0.103,-1.791
R,2006-12,ceh10,-0.36,-0.663,-0.528
