month,mode,median_level_modelled_m,median_level_observed_m,n_wells_observed,open_water_ha_modelled,wet_floor_ha_modelled,open_water_ha_observed,wet_floor_ha_observed,sentinel_index
2017-09,R,-1.082,-1.235,46,0.206,19.978,0.105,17.264,
2017-10,R,-1.094,-1.25,47,0.195,19.75,0.098,17.019,
2017-11,R,-0.904,-0.895,48,0.453,23.676,0.472,23.88,
2017-12,R,-0.8,-0.67,48,0.719,26.146,1.279,29.598,
2018-01,R,-0.664,-0.54,49,1.314,29.768,2.276,33.507,
2018-02,R,-0.637,-0.535,50,1.481,30.545,2.327,33.668,
2018-03,R,-0.508,-0.495,50,2.623,34.546,2.779,34.977,
2018-04,R,-0.544,-0.56,51,2.236,33.38,2.083,32.874,
2018-05,R,-0.762,-0.79,51,0.851,27.111,0.752,26.396,
2018-06,R,-1.087,-1.02,51,0.201,19.882,0.271,21.195,
2018-07,R,-1.266,-1.169,49,0.091,16.761,0.14,18.386,
2018-08,R,-1.44,-1.33,47,0.042,14.197,0.069,15.768,
2018-09,R,-1.373,-1.3,45,0.057,15.134,0.078,16.226,
2018-10,R,-0.985,-1.26,47,0.317,21.915,0.094,16.857,
2018-11,R,-0.679,-1.01,50,1.229,29.345,0.283,21.398,
2018-12,R,-0.478,-0.79,50,2.996,35.549,0.752,26.396,
2019-01,R,-0.561,-0.875,50,2.074,32.843,0.516,24.34,
2019-02,R,-0.606,-0.9,50,1.699,31.462,0.462,23.766,11.52
2019-03,R,-0.491,-0.77,50,2.828,35.111,0.821,26.905,11.16
2019-04,R,-0.521,-0.84,50,2.476,34.12,0.602,25.167,
2019-05,R,-0.685,-1.045,50,1.197,29.178,0.243,20.695,
2019-06,R,-0.802,-1.15,50,0.713,26.096,0.152,18.722,
2019-07,R,-1.05,-1.285,46,0.237,20.597,0.084,16.46,
2019-08,R,-1.162,-1.3,47,0.144,18.509,0.078,16.226,
2019-09,R,-1.124,-1.175,46,0.171,19.193,0.136,18.281,
2019-10,R,-0.877,-0.99,50,0.511,24.294,0.31,21.81,
2019-11,R,-0.745,-0.83,51,0.917,27.554,0.629,25.408,14.28
2019-12,R,-0.735,-0.82,53,0.959,27.819,0.658,25.651,15.465
2020-01,R,-0.681,-0.65,53,1.218,29.289,1.398,30.169,
2020-02,R,-0.48,-0.35,53,2.97,35.482,5.284,40.167,
2020-03,R,-0.613,-0.565,52,1.647,31.253,2.037,32.717,17.39
2020-04,R,-0.8,-0.805,52,0.719,26.146,0.703,26.021,
2020-05,R,-1.072,-1.01,53,0.215,20.169,0.283,21.398,
2020-06,R,-1.141,-1.08,53,0.159,18.884,0.208,20.016,
2020-07,R,-1.123,-1.13,53,0.172,19.211,0.166,19.083,
2020-08,R,-1.005,-0.8,53,0.29,21.501,0.719,26.146,
2020-09,R,-1.064,-0.94,53,0.223,20.324,0.387,22.876,
2020-10,R,-0.798,-0.69,53,0.725,26.196,1.171,29.039,
2020-11,R,-0.699,-0.52,53,1.125,28.791,2.487,34.153,
2020-12,R,-0.345,-0.19,53,5.403,40.359,10.74,46.792,40.14
2021-01,R,-0.166,-0.1,53,11.945,47.876,16.005,50.988,
2021-02,R,-0.084,0.02,53,17.182,51.773,27.244,57.174,42.41
2021-03,R,-0.195,-0.04,53,10.504,46.57,20.882,53.992,35.997
2021-04,R,-0.409,-0.37,53,4.068,37.969,4.836,39.408,
2021-05,R,-0.332,-0.23,53,5.723,40.863,8.995,45.04,
2021-06,R,-0.609,-0.57,53,1.676,31.372,1.993,32.562,
2021-07,R,-0.901,-0.78,53,0.459,23.744,0.786,26.649,
2021-08,R,-1.072,-0.9,53,0.215,20.169,0.462,23.766,
2021-09,R,-1.017,-0.85,53,0.275,21.256,0.576,24.928,
2021-10,R,-0.473,-0.32,53,3.063,35.719,6.036,41.334,
2021-11,R,-0.544,-0.41,53,2.236,33.38,4.05,37.932,
2021-12,R,-0.399,-0.2,53,4.253,38.333,10.274,46.348,28.31
2022-01,R,-0.532,-0.36,53,2.358,33.764,5.055,39.786,27.22
2022-02,R,-0.442,-0.24,53,3.515,36.792,8.605,44.612,
2022-03,R,-0.573,-0.48,53,1.966,32.469,2.97,35.482,21.402
2022-04,R,-0.68,-0.63,53,1.224,29.317,1.527,30.75,
2022-05,R,-0.815,-0.72,53,0.673,25.774,1.025,28.22,
2022-06,R,-1.058,-0.94,53,0.229,20.44,0.387,22.876,
2022-07,R,-1.351,-1.11,53,0.063,15.455,0.182,19.451,
2022-08,R,-1.522,-1.24,53,0.029,13.128,0.102,17.182,
2022-09,R,-1.422,-1.345,46,0.046,14.443,0.064,15.544,
2022-10,R,-1.032,-1.275,46,0.257,20.954,0.088,16.617,
2022-11,R,-0.79,-0.909,53,0.752,26.396,0.443,23.563,20.27
2022-12,R,-0.653,,0,1.379,30.082,,,
2023-01,R,-0.567,-0.59,53,2.019,32.655,1.824,31.946,23.077
2023-02,R,-0.703,-0.74,53,1.105,28.681,0.938,27.686,20.99
2023-03,R,-0.581,-0.52,53,1.898,32.222,2.487,34.153,
2023-04,R,-0.689,-0.67,53,1.176,29.067,1.279,29.598,
2023-05,R,-0.884,-0.89,53,0.495,24.132,0.482,23.994,
2023-06,R,-1.159,-1.1,53,0.146,18.562,0.19,19.637,
2023-07,R,-1.123,-1.09,53,0.172,19.211,0.199,19.826,
2023-08,R,-1.032,-1.08,53,0.257,20.954,0.208,20.016,
2023-09,R,-0.83,-0.85,53,0.629,25.408,0.576,24.928,
2023-10,R,-0.782,-0.645,52,0.779,26.599,1.429,30.313,
2023-11,R,-0.721,-0.505,52,1.02,28.193,2.658,34.645,
2023-12,R,-0.481,-0.335,52,2.957,35.448,5.648,40.746,
2024-01,R,-0.281,-0.185,52,7.175,42.901,10.981,47.016,27.64
2024-02,R,-0.241,-0.115,52,8.567,44.57,14.976,50.264,
2024-03,R,-0.107,-0.03,52,15.516,50.649,21.828,54.51,
2024-04,R,-0.093,-0.14,52,16.51,51.33,13.405,49.079,
2024-05,R,-0.288,-0.39,52,6.956,42.615,4.426,38.663,
2024-06,R,-0.533,-0.655,52,2.348,33.732,1.367,30.025,
2024-07,R,-0.627,-0.79,51,1.548,30.838,0.752,26.396,
2024-08,R,-0.793,-0.865,50,0.742,26.321,0.539,24.573,
2024-09,R,-0.743,-0.885,50,0.926,27.607,0.493,24.109,
2024-10,R,-0.921,-0.86,50,0.42,23.295,0.551,24.691,
2024-11,R,-0.948,-0.85,51,0.373,22.702,0.576,24.928,20.58
2024-12,R,-0.722,-0.54,51,1.016,28.166,2.276,33.507,
2025-01,R,-0.475,-0.39,51,3.036,35.651,4.426,38.663,26.22
2025-02,R,-0.549,-0.39,51,2.187,33.221,4.426,38.663,
2025-03,R,-0.727,-0.63,51,0.994,28.032,1.527,30.75,20.868
2025-04,R,-0.749,-0.81,51,0.901,27.449,0.688,25.897,
2025-05,R,-0.954,-0.949,51,0.363,22.573,0.371,22.681,
2025-06,R,-0.974,-1.03,51,0.332,22.146,0.259,20.994,
2025-07,R,-1.234,-1.19,51,0.105,17.28,0.128,18.021,
2025-08,R,-1.466,-1.35,47,0.038,13.849,0.063,15.47,
2025-09,R,-1.169,-1.16,50,0.14,18.386,0.146,18.545,
2025-10,R,-1.107,-1.235,50,0.184,19.507,0.105,17.264,
2025-11,R,-0.636,-0.49,51,1.487,30.574,2.841,35.145,
2025-12,R,-0.342,-0.27,51,5.475,40.475,7.533,43.353,31.07
2026-01,R,-0.241,-0.35,51,8.567,44.57,5.284,40.167,
2026-02,R,-0.204,-0.23,51,10.094,46.171,8.995,45.04,30.845
2026-03,R,-0.275,-0.27,51,7.368,43.147,7.533,43.353,28.01
2005-10,C,-0.575,-0.297,6,1.949,32.407,6.684,42.251,
2005-11,C,-0.368,-0.03,7,4.879,39.483,21.828,54.51,
2005-12,C,-0.39,0.01,7,4.426,38.663,26.063,56.631,
2006-01,C,-0.389,-0.087,8,4.445,38.7,16.955,51.625,
2006-02,C,-0.453,-0.077,10,3.347,36.408,17.723,52.12,
2006-03,C,-0.351,-0.028,10,5.261,40.129,22.023,54.614,
2006-04,C,-0.431,-0.08,13,3.69,37.18,17.489,51.971,
2006-05,C,-0.344,-0.172,24,5.427,40.398,11.632,47.603,
2006-06,C,-0.621,-0.485,24,1.59,31.015,2.905,35.313,
2006-07,C,-0.982,-0.755,24,0.321,21.978,0.878,27.293,
2006-08,C,-0.979,-0.62,24,0.325,22.041,1.597,31.045,
2006-09,C,-1.0,-0.775,24,0.296,21.603,0.803,26.777,
2006-10,C,-0.802,-0.55,24,0.713,26.096,2.178,33.189,
2006-11,C,-0.565,-0.305,24,2.037,32.717,6.451,41.93,
2006-12,C,-0.282,-0.105,24,7.143,42.86,15.654,50.745,
2007-01,C,-0.199,-0.025,24,10.32,46.392,22.317,54.771,
2007-02,C,-0.291,-0.05,24,6.864,42.493,19.976,53.48,
2007-03,C,-0.394,-0.195,24,4.348,38.516,10.504,46.57,
2007-04,C,-0.63,-0.41,24,1.527,30.75,4.05,37.932,
2007-05,C,-0.773,-0.57,27,0.81,26.828,1.993,32.562,
2007-06,C,-0.832,-0.52,27,0.624,25.359,2.487,34.153,
2007-07,C,-0.805,-0.61,29,0.703,26.021,1.669,31.342,
2007-08,C,-0.913,-0.7,31,0.436,23.473,1.12,28.763,
2007-09,C,-0.887,-0.64,31,0.489,24.063,1.461,30.458,
2007-10,C,-1.008,-0.77,31,0.286,21.439,0.821,26.905,
2007-11,C,-0.888,-0.61,31,0.487,24.04,1.669,31.342,
2007-12,C,-0.731,-0.45,31,0.976,27.925,3.392,36.512,
2008-01,C,-0.493,-0.18,31,2.803,35.044,11.227,47.241,
2008-02,C,-0.595,-0.25,31,1.784,31.794,8.232,44.189,
2008-03,C,-0.582,-0.3,32,1.89,32.191,6.595,42.13,
2008-04,C,-0.537,-0.395,32,2.307,33.603,4.329,38.479,
2008-05,C,-0.777,-0.63,31,0.796,26.726,1.527,30.75,
2008-06,C,-0.673,-0.59,31,1.262,29.514,1.824,31.946,
2008-07,C,-0.787,-0.75,31,0.762,26.472,0.897,27.423,
2008-08,C,-0.82,-0.75,31,0.658,25.651,0.897,27.423,
2008-09,C,-0.681,-0.76,31,1.218,29.289,0.858,27.163,
2008-10,C,-0.343,-0.26,31,5.451,40.436,7.875,43.769,
2008-11,C,-0.291,-0.19,32,6.864,42.493,10.74,46.792,
2008-12,C,-0.268,-0.16,32,7.6,43.436,12.267,48.151,
2009-01,C,-0.203,-0.085,32,10.138,46.215,17.106,51.723,
2009-02,C,-0.402,-0.23,32,4.196,38.223,8.995,45.04,
2009-03,C,-0.556,-0.395,32,2.12,33.0,4.329,38.479,
2009-04,C,-0.641,-0.425,32,1.455,30.429,3.79,37.393,
2009-05,C,-0.793,-0.665,32,0.742,26.321,1.308,29.74,
2009-06,C,-0.982,-0.86,33,0.321,21.978,0.551,24.691,
2009-07,C,-0.957,-0.86,33,0.358,22.508,0.551,24.691,
2009-08,C,-0.898,-0.89,33,0.466,23.812,0.482,23.994,
2009-09,C,-1.077,-0.97,32,0.211,20.073,0.338,22.231,
2009-10,C,-1.025,-1.045,32,0.265,21.094,0.243,20.695,
2009-11,C,-0.496,-0.53,33,2.766,34.944,2.379,33.829,
2009-12,C,-0.391,-0.53,33,4.406,38.626,2.379,33.829,
2010-01,C,-0.4,-0.495,34,4.234,38.296,2.779,34.977,
2010-02,C,-0.479,-0.645,34,2.983,35.515,1.429,30.313,
2010-03,C,-0.437,-0.34,40,3.593,36.968,5.524,40.552,
2010-04,C,-0.645,-0.64,41,1.429,30.313,1.461,30.458,
2010-05,C,-0.808,-0.76,41,0.694,25.947,0.858,27.163,
2010-06,C,-1.046,-0.955,44,0.242,20.676,0.362,22.551,
2010-07,C,-0.939,-0.81,45,0.388,22.898,0.688,25.897,
2010-08,C,-1.147,-1.04,46,0.154,18.776,0.248,20.794,
2010-09,C,-1.087,-1.055,46,0.201,19.882,0.232,20.499,
2010-10,C,-1.003,-0.98,46,0.292,21.542,0.324,22.02,
2010-11,C,-0.888,-0.885,46,0.487,24.04,0.493,24.109,
2010-12,C,-0.867,-0.86,45,0.534,24.526,0.551,24.691,
2011-01,C,-0.867,-0.755,50,0.534,24.526,0.878,27.293,
2011-02,C,-0.772,-0.68,50,0.814,26.854,1.224,29.317,
2011-03,C,-0.891,-0.839,50,0.48,23.971,0.605,25.191,
2011-04,C,-1.048,-0.97,50,0.239,20.636,0.338,22.231,
2011-05,C,-1.063,-1.075,50,0.224,20.343,0.212,20.111,
2011-06,C,-1.199,-1.175,50,0.123,17.867,0.136,18.281,
2011-07,C,-1.348,-1.25,50,0.063,15.499,0.098,17.019,
2011-08,C,-1.404,-1.259,45,0.049,14.693,0.094,16.873,
2011-09,C,-1.343,-1.232,40,0.065,15.574,0.106,17.313,
2011-10,C,-1.301,-1.215,28,0.078,16.21,0.114,17.597,
2011-11,C,-1.278,-1.23,39,0.086,16.57,0.107,17.347,
2011-12,C,-1.134,-1.05,41,0.164,19.01,0.237,20.597,
2012-01,C,-1.097,-1.079,40,0.193,19.694,0.209,20.035,
2012-02,C,-1.146,-1.13,43,0.155,18.794,0.166,19.083,
2012-03,C,-1.294,-1.269,43,0.08,16.319,0.09,16.713,
2012-04,C,-1.268,-1.329,42,0.09,16.729,0.069,15.783,
2012-05,C,-1.363,-1.379,41,0.059,15.279,0.055,15.048,
2012-06,C,-1.268,-1.359,41,0.09,16.729,0.06,15.338,
2012-07,C,-1.326,-1.26,42,0.07,15.828,0.094,16.857,
2012-08,C,-1.241,-1.11,43,0.102,17.165,0.182,19.451,
2012-09,C,-1.099,-1.07,43,0.191,19.656,0.217,20.208,
2012-10,C,-0.919,-0.865,46,0.424,23.339,0.539,24.573,
2012-11,C,-0.59,-0.475,48,1.824,31.946,3.036,35.651,
2012-12,C,-0.342,-0.11,49,5.475,40.475,15.311,50.504,
2013-01,C,-0.338,-0.095,50,5.573,40.63,16.364,51.232,
2013-02,C,-0.342,-0.205,50,5.475,40.475,10.049,46.127,
2013-03,C,-0.247,-0.345,50,8.342,44.315,5.403,40.359,
2013-04,C,-0.401,-0.51,50,4.215,38.259,2.6,34.48,
2013-05,C,-0.572,-0.62,50,1.975,32.5,1.597,31.045,
2013-06,C,-0.808,-0.785,50,0.694,25.947,0.768,26.523,
2013-07,C,-1.042,-0.929,50,0.246,20.755,0.406,23.118,
2013-08,C,-1.128,-0.965,50,0.168,19.12,0.346,22.337,
2013-09,C,-1.131,-1.035,50,0.166,19.065,0.254,20.894,
2013-10,C,-0.756,-0.779,49,0.874,27.267,0.789,26.675,
2013-11,C,-0.844,-0.82,49,0.592,25.071,0.658,25.651,
2013-12,C,-0.582,-0.57,49,1.89,32.191,1.993,32.562,
2014-01,C,-0.228,-0.095,50,9.075,45.126,16.364,51.232,
2014-02,C,-0.1,-0.03,50,16.005,50.988,21.828,54.51,
2014-03,C,-0.175,-0.15,50,11.478,47.467,12.823,48.613,
2014-04,C,-0.341,-0.395,51,5.499,40.514,4.329,38.479,
2014-05,C,-0.333,-0.44,51,5.698,40.824,3.546,36.862,
2014-06,C,-0.529,-0.7,51,2.39,33.861,1.12,28.763,
2014-07,C,-0.739,-0.845,54,0.942,27.713,0.589,25.047,
2014-08,C,-0.674,-0.91,54,1.257,29.486,0.441,23.541,
2014-09,C,-0.95,-1.045,54,0.37,22.659,0.243,20.695,
2014-10,C,-0.632,-0.735,54,1.514,30.691,0.959,27.819,
2014-11,C,-0.646,-0.669,54,1.423,30.284,1.285,29.627,
2014-12,C,-0.61,-0.605,54,1.669,31.342,1.706,31.492,
2015-01,C,-0.541,-0.47,54,2.266,33.475,3.104,35.822,
2015-02,C,-0.627,-0.64,54,1.548,30.838,1.461,30.458,
2015-03,C,-0.641,-0.685,54,1.455,30.429,1.197,29.178,
2015-04,C,-0.766,-0.82,54,0.836,27.008,0.658,25.651,
2015-05,C,-0.651,-0.785,54,1.392,30.14,0.768,26.523,
2015-06,C,-0.882,-0.97,55,0.5,24.178,0.338,22.231,
2015-07,C,-0.987,-1.07,55,0.314,21.873,0.217,20.208,
2015-08,C,-1.062,-1.2,55,0.225,20.362,0.122,17.85,
2015-09,C,-1.168,-1.265,52,0.141,18.404,0.092,16.777,
2015-10,C,-1.186,-1.24,50,0.13,18.09,0.102,17.182,
2015-11,C,-0.91,-1.02,55,0.441,23.541,0.271,21.195,
2015-12,C,-0.213,-0.1,53,9.699,45.777,16.005,50.988,
2016-01,C,-0.056,-0.12,53,19.452,53.174,14.647,50.024,
2016-02,C,-0.009,-0.025,52,23.958,55.613,22.317,54.771,
2016-03,C,-0.07,-0.18,52,18.282,52.469,11.227,47.241,
2016-04,C,-0.063,-0.26,52,18.858,52.82,7.875,43.769,
2016-05,C,-0.245,-0.485,52,8.416,44.4,2.905,35.313,
2016-06,C,-0.362,-0.56,51,5.011,39.71,2.083,32.874,
2016-07,C,-0.484,-0.74,50,2.918,35.346,0.938,27.686,
2016-08,C,-0.62,-0.83,50,1.597,31.045,0.629,25.408,
2016-09,C,-0.592,-0.909,50,1.808,31.885,0.443,23.563,
2016-10,C,-0.761,-1.024,50,0.855,27.137,0.266,21.114,
2016-11,C,-0.675,-0.86,50,1.251,29.458,0.551,24.691,16.185
2016-12,C,-0.617,-0.89,50,1.618,31.134,0.482,23.994,26.2
2017-01,C,-0.688,-0.8,50,1.181,29.094,0.719,26.146,20.69
2017-02,C,-0.527,-0.72,50,2.411,33.926,1.025,28.22,
2017-03,C,-0.5,-0.635,50,2.718,34.811,1.494,30.604,
2017-04,C,-0.706,-0.865,50,1.091,28.599,0.539,24.573,
2017-05,C,-0.913,-1.039,50,0.436,23.473,0.249,20.814,
2017-06,C,-0.786,-1.044,50,0.765,26.497,0.244,20.715,
2017-07,C,-0.857,-1.16,49,0.558,24.762,0.146,18.545,
2017-08,C,-0.969,-1.28,46,0.34,22.252,0.086,16.538,
2017-09,C,-0.937,-1.235,46,0.392,22.942,0.105,17.264,
2017-10,C,-0.953,-1.25,47,0.365,22.594,0.098,17.019,
2017-11,C,-0.783,-0.895,48,0.775,26.573,0.472,23.88,
2017-12,C,-0.698,-0.67,48,1.13,28.818,1.279,29.598,
2018-01,C,-0.582,-0.54,49,1.89,32.191,2.276,33.507,
2018-02,C,-0.561,-0.535,50,2.074,32.843,2.327,33.668,
2018-03,C,-0.442,-0.495,50,3.515,36.792,2.779,34.977,
2018-04,C,-0.482,-0.56,51,2.944,35.414,2.083,32.874,
2018-05,C,-0.704,-0.79,51,1.1,28.654,0.752,26.396,
2018-06,C,-1.028,-1.02,51,0.262,21.034,0.271,21.195,
