well,network,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,se_beta_1,se_beta_2,se_beta_3,n_obs,h_disp_eq_m,EWI_m_bg,EWI_se_m_beta3,EWI_se_m_full,cluster_id,cluster_label,E,N
ceh19,reference,2.2073329209381924,0.8728825898142347,0.0420341053016217,0.1539400339521528,0.19455700348576183,0.006727084635767176,100,2.6489764954781685,-1.0510235045218317,0.4239388219487584,0.5555609723202384,5,C5 (Coastal Forest),240845.741,363532.891
ceh20,reference,2.515869705494035,2.1282105029826326,0.0277572611637268,0.21203733104276015,0.28309634609872464,0.010201758215081121,100,2.4032997108600136,-1.2967002891399866,0.8832961733489831,1.1711704817303308,4,C4 (Main Forest),241153.0,363829.0
ceh21,reference,2.3221731362897944,1.1354303247595303,0.0414289120135802,0.15391891607814723,0.19603115193808565,0.006951460470788478,100,2.549092430543097,-1.150907569456903,0.42771857637724015,0.5626619595182365,3,C3 (Western Residual),241470.51,362937.659
ceh23,reference,4.408812143761059,0.6536734353921935,0.0884124070599396,0.30746178395326257,0.3648866057970495,0.010255477251421053,100,3.1702424738858923,-0.5297575261141079,0.3677351477421452,0.49500735705481286,1,C1 (Lake Edge),242325.311,364428.124
ceh24,reference,4.553107416033033,1.591878406364519,0.0736811217170886,0.32153708139348003,0.39659324269965546,0.010726344357659078,100,3.2676071964855726,-0.43239280351442755,0.4756914552637751,0.6365971322236728,2,C2 (Dune),242938.911,363392.114
ceh25,reference,6.22677701923167,0.4032873813240932,0.1332625805970834,0.3969882523747816,0.45620806178494827,0.012753126934105172,100,3.17781621187474,-0.5221837881252602,0.3041145784639172,0.4133532361745994,1,C1 (Lake Edge),242512.557,364638.544
ceh26,reference,4.289704357290488,0.5489867009743243,0.0864849356398357,0.29140402745219735,0.3469247268154356,0.009808709310520653,100,3.206794845168605,-0.4932051548313954,0.36369939136830104,0.48542987089670764,1,C1 (Lake Edge),242172.261,364362.239
ceh27,reference,5.075195442750195,0.8346176382473078,0.0982072673717791,0.29423690228154,0.3513674906843929,0.009671685340858653,100,3.2410067143342003,-0.4589932856657999,0.31918205207752437,0.4287478360960041,1,C1 (Lake Edge),242005.373,364330.297
ceh28,reference,4.1831186864883865,1.476676753808988,0.071183529206416,0.31898890130219243,0.4134263954817313,0.011285118758268589,100,3.0968485814177167,-0.6031514185822835,0.4909605411152407,0.6623775661702138,2,C2 (Dune),242331.051,364122.039
ceh30,reference,2.276393313053513,2.1793006256310687,0.0230304558243931,0.18907954216684383,0.25883745849048584,0.0111354177715971,100,2.0357550916473426,-1.6642449083526576,0.9843045921018576,1.2920493404940565,4,C4 (Main Forest),241072.0,363760.0
ceh31,reference,2.124134434597359,1.342169779413224,0.0385029092017627,0.2289162002643723,0.2860623818954131,0.012328413457200305,100,2.090077763556542,-1.6099222364434582,0.6692310623023243,0.8854879329995574,5,C5 (Coastal Forest),241075.0,363538.0
ceh32,reference,2.3393494737992904,2.633225982890826,0.0120412420052634,0.2117472990263406,0.30225696334494634,0.012507445934718562,100,2.2647118775694075,-1.4352881224305927,2.3523953221796163,2.9816912907989632,4,C4 (Main Forest),241167.0,364003.0
ceh33,reference,2.2185807296407374,2.238722358395596,0.0190295278611107,0.19404526181480247,0.2691418178882589,0.011566714154171895,100,2.0808252484062444,-1.6191747515937558,1.2647875989758768,1.6416390204980178,4,C4 (Main Forest),240936.0,363808.0
ceh34,reference,2.3510642776248574,2.6784928204855847,0.0077449963199931,0.1824646700813346,0.2515586460438315,0.007789700630040486,100,3.318579055771469,-0.38142094422853123,3.337733976044704,4.117140654844465,4,C4 (Main Forest),241334.0,363887.0
ceh36,reference,2.6792620223889694,1.0766524672432205,0.0454235725677783,0.19816087352408532,0.2472349559357155,0.007581475866685762,100,2.9553516651172167,-0.7446483348827835,0.493266514720369,0.6512034918995658,3,C3 (Western Residual),241161.0,363306.0
ceh39,reference,3.003103569620691,2.181073744481382,0.0306870511667029,0.2066160534881606,0.2698538450346607,0.007663937762668711,100,3.2167978460994466,-0.48320215390055354,0.8033791957939288,1.046451297737009,3,C3 (Western Residual),241719.0,363435.0
ceh40,reference,2.801763677846562,1.769606609456833,0.034504869551675,0.25836504980574887,0.3316184362723748,0.009720104368109621,100,3.0774053969075656,-0.6225946030924345,0.8669124685757078,1.1394769296064322,3,C3 (Western Residual),242060.283,363398.508
ceh41,reference,3.1893897545181167,2.206018896765436,0.034361735020063,0.2506624573428617,0.3229607486741525,0.009046312926686827,100,3.2215834987411562,-0.47841650125884394,0.8481368135819373,1.1136766197901573,3,C3 (Western Residual),242284.022,363324.592
