well,window_years,window_end_year,MINw_m_bg,cluster_id,cluster_label,network
ceh42,4,2024,-0.8200000000000001,3,C3 (Western Residual),Reference
ceh42,4,2025,-0.775,3,C3 (Western Residual),Reference
ceh5,4,2010,-0.7462500000000001,1,C1 (Lake Edge),Reference
ceh5,4,2011,-0.7475,1,C1 (Lake Edge),Reference
ceh5,4,2012,-0.8800000000000001,1,C1 (Lake Edge),Reference
ceh5,4,2013,-0.8875,1,C1 (Lake Edge),Reference
ceh5,4,2014,-0.8725,1,C1 (Lake Edge),Reference
ceh5,4,2015,-0.9324999999999999,1,C1 (Lake Edge),Reference
ceh5,4,2016,-0.9125000000000001,1,C1 (Lake Edge),Reference
ceh5,4,2017,-0.9375,1,C1 (Lake Edge),Reference
ceh5,4,2018,-0.9700000000000001,1,C1 (Lake Edge),Reference
ceh5,4,2019,-1.0025,1,C1 (Lake Edge),Reference
ceh5,4,2020,-0.9849999999999999,1,C1 (Lake Edge),Reference
ceh5,4,2021,-1.005,1,C1 (Lake Edge),Reference
ceh5,4,2022,-0.995,1,C1 (Lake Edge),Reference
ceh5,4,2023,-1.0074999999999998,1,C1 (Lake Edge),Reference
ceh5,4,2024,-0.98,1,C1 (Lake Edge),Reference
ceh5,4,2025,-0.965,1,C1 (Lake Edge),Reference
ceh6,4,2010,-0.65,1,C1 (Lake Edge),Reference
ceh6,4,2011,-0.62,1,C1 (Lake Edge),Reference
ceh6,4,2012,-0.7025,1,C1 (Lake Edge),Reference
ceh6,4,2013,-0.6775,1,C1 (Lake Edge),Reference
ceh6,4,2014,-0.6675000000000001,1,C1 (Lake Edge),Reference
ceh6,4,2015,-0.7025,1,C1 (Lake Edge),Reference
ceh6,4,2016,-0.675,1,C1 (Lake Edge),Reference
ceh6,4,2017,-0.6975,1,C1 (Lake Edge),Reference
ceh6,4,2018,-0.7224999999999999,1,C1 (Lake Edge),Reference
ceh6,4,2019,-0.7525,1,C1 (Lake Edge),Reference
ceh6,4,2020,-0.7550000000000001,1,C1 (Lake Edge),Reference
ceh6,4,2021,-0.7775,1,C1 (Lake Edge),Reference
ceh6,4,2022,-0.7725,1,C1 (Lake Edge),Reference
ceh6,4,2023,-0.7575,1,C1 (Lake Edge),Reference
ceh6,4,2024,-0.75,1,C1 (Lake Edge),Reference
ceh6,4,2025,-0.7474999999999999,1,C1 (Lake Edge),Reference
ceh7,4,2010,-0.8075,2,C2 (Dune),Extended
ceh7,4,2011,-0.8225,2,C2 (Dune),Extended
ceh8,4,2010,-0.755,2,C2 (Dune),Extended
ceh8,4,2011,-0.7725,2,C2 (Dune),Extended
ceh8,4,2016,-0.93,2,C2 (Dune),Extended
ceh8,4,2017,-0.9025,2,C2 (Dune),Extended
ceh8,4,2018,-0.9375,2,C2 (Dune),Extended
ceh8,4,2019,-0.9775,2,C2 (Dune),Extended
ceh9,4,2010,-0.8425,3,C3 (Western Residual),Reference
ceh9,4,2011,-0.9175,3,C3 (Western Residual),Reference
ceh9,4,2018,-1.2,3,C3 (Western Residual),Reference
ceh9,4,2019,-1.27,3,C3 (Western Residual),Reference
ceh9,4,2020,-1.2725,3,C3 (Western Residual),Reference
ceh9,4,2021,-1.3,3,C3 (Western Residual),Reference
ceh9,4,2022,-1.1849999999999998,3,C3 (Western Residual),Reference
ceh9,4,2023,-1.2,3,C3 (Western Residual),Reference
ceh9,4,2024,-1.1275,3,C3 (Western Residual),Reference
ceh9,4,2025,-1.08,3,C3 (Western Residual),Reference
d10,4,2016,-0.895,2,C2 (Dune),Reference
d10,4,2017,-0.8625,2,C2 (Dune),Reference
d10,4,2018,-0.9075000000000001,2,C2 (Dune),Reference
d10,4,2019,-0.9550000000000001,2,C2 (Dune),Reference
d10,4,2020,-0.9325,2,C2 (Dune),Reference
d10,4,2021,-0.9775,2,C2 (Dune),Reference
d10,4,2022,-0.9299999999999999,2,C2 (Dune),Reference
d10,4,2023,-0.94,2,C2 (Dune),Reference
d10,4,2024,-0.875,2,C2 (Dune),Reference
d10,4,2025,-0.81,2,C2 (Dune),Reference
d15,4,2016,-0.9,3,C3 (Western Residual),Reference
d15,4,2017,-0.8175,3,C3 (Western Residual),Reference
d15,4,2018,-0.8725,3,C3 (Western Residual),Reference
d15,4,2019,-0.9175,3,C3 (Western Residual),Reference
d15,4,2020,-0.915,3,C3 (Western Residual),Reference
d15,4,2021,-0.935,3,C3 (Western Residual),Reference
d15,4,2022,-0.8650000000000001,3,C3 (Western Residual),Reference
d15,4,2023,-0.8825000000000001,3,C3 (Western Residual),Reference
d15,4,2024,-0.8075,3,C3 (Western Residual),Reference
d15,4,2025,-0.77,3,C3 (Western Residual),Reference
d17,4,2014,-0.8175,2,C2 (Dune),Reference
d17,4,2015,-0.8425,2,C2 (Dune),Reference
d17,4,2016,-0.8200000000000001,2,C2 (Dune),Reference
d17,4,2017,-0.765,2,C2 (Dune),Reference
d17,4,2018,-0.8175,2,C2 (Dune),Reference
d17,4,2019,-0.8625,2,C2 (Dune),Reference
