cluster_id,window_years,window_end_year,cluster_label,n_wells,MINw_m_bg_mean,MINw_m_bg_median,MINw_m_bg_std
5,4,2021,C5 (Coastal Forest),7,-1.7312857142857143,-1.4625000000000001,0.46217455731419416
5,4,2022,C5 (Coastal Forest),8,-1.7045625,-1.705,0.4295675930098611
5,4,2023,C5 (Coastal Forest),7,-1.6595,-1.42,0.4474111643667378
5,4,2024,C5 (Coastal Forest),8,-1.7095625,-1.635,0.4980323022727972
5,4,2025,C5 (Coastal Forest),8,-1.633,-1.5625,0.49612232074646395
1,5,2011,C1 (Lake Edge),3,-0.75,-0.7550000000000001,0.09759610647971564
1,5,2012,C1 (Lake Edge),3,-0.798,-0.8300000000000001,0.11343720729989787
1,5,2013,C1 (Lake Edge),3,-0.8033333333333333,-0.8460000000000001,0.12556007858126453
1,5,2014,C1 (Lake Edge),3,-0.8233333333333334,-0.876,0.13494196283340973
1,5,2015,C1 (Lake Edge),7,-0.8405714285714286,-0.8240000000000001,0.08241734676400987
1,5,2016,C1 (Lake Edge),7,-0.8834285714285713,-0.866,0.08958395902328559
1,5,2017,C1 (Lake Edge),6,-0.8260000000000001,-0.837,0.09991796635240328
1,5,2018,C1 (Lake Edge),6,-0.8596666666666666,-0.8599999999999999,0.10076242685975097
1,5,2019,C1 (Lake Edge),6,-0.9193333333333333,-0.9179999999999999,0.10380687196263388
1,5,2020,C1 (Lake Edge),6,-0.9223333333333333,-0.919,0.10452304371126334
1,5,2021,C1 (Lake Edge),6,-0.8906666666666667,-0.889,0.09681666523211102
1,5,2022,C1 (Lake Edge),6,-0.9113333333333333,-0.9159999999999999,0.09123961128077357
1,5,2023,C1 (Lake Edge),7,-0.9468571428571428,-0.924,0.09230461991223868
1,5,2024,C1 (Lake Edge),7,-0.9062857142857143,-0.8859999999999999,0.08884952501413894
1,5,2025,C1 (Lake Edge),8,-0.8674999999999999,-0.8544999999999999,0.08464379143547048
2,5,2011,C2 (Dune),5,-0.7218,-0.76,0.10877131974927949
2,5,2012,C2 (Dune),4,-0.769,-0.782,0.08824964589164083
2,5,2013,C2 (Dune),3,-0.7973333333333333,-0.7859999999999999,0.07563949585589096
2,5,2014,C2 (Dune),4,-0.8694999999999999,-0.866,0.08879001445357837
2,5,2015,C2 (Dune),17,-1.0451764705882354,-0.9040000000000001,0.3659474407777225
2,5,2016,C2 (Dune),18,-1.0979999999999999,-0.997,0.35616982069859676
2,5,2017,C2 (Dune),25,-0.9970399999999999,-0.914,0.30525842603713116
2,5,2018,C2 (Dune),24,-1.0110833333333333,-0.925,0.3194707466592434
2,5,2019,C2 (Dune),23,-1.0706086956521739,-0.966,0.3305325921394185
2,5,2020,C2 (Dune),21,-1.0600952380952382,-0.9640000000000001,0.2922365317276238
