quadrat,piezo,window_end_year,msl5_pipeline_m,msl5_published_m,diff_m,datum_offset_m,resid_m
CEH6-2,CEH6,2018,-0.07266666666666666,-0.22966666666666674,0.15700000000000008,0.15700000000000006,2.7755575615628914e-17
CEH6-2,CEH6,2019,-0.12066666666666666,-0.27766666666666673,0.15700000000000008,0.15700000000000006,2.7755575615628914e-17
CEH6-3,CEH6,2011,-0.198,-0.2750000000000018,0.07700000000000179,0.07700000000000178,1.3877787807814457e-17
CEH6-3,CEH6,2012,-0.238,-0.3150000000000018,0.07700000000000179,0.07700000000000178,1.3877787807814457e-17
CEH6-3,CEH6,2013,-0.25133333333333335,-0.3283333333333351,0.07700000000000173,0.07700000000000178,-4.163336342344337e-17
CEH6-3,CEH6,2014,-0.19466666666666668,-0.2716666666666684,0.0770000000000017,0.07700000000000178,-6.938893903907228e-17
CEH6-3,CEH6,2015,-0.20933333333333332,-0.2863333333333351,0.07700000000000179,0.07700000000000178,1.3877787807814457e-17
CEH6-3,CEH6,2016,-0.13066666666666665,-0.20766666666666844,0.07700000000000179,0.07700000000000178,1.3877787807814457e-17
CEH6-3,CEH6,2017,-0.08,-0.15700000000000175,0.07700000000000175,0.07700000000000178,-2.7755575615628914e-17
CEH6-3,CEH6,2018,-0.07266666666666666,-0.14966666666666845,0.07700000000000179,0.07700000000000178,1.3877787807814457e-17
CEH6-3,CEH6,2019,-0.12066666666666666,-0.19766666666666843,0.07700000000000178,0.07700000000000178,0.0
CEH8-1,CEH8,2011,-0.2573333333333333,-0.4083333333333332,0.1509999999999999,0.1539074074074073,-0.0029074074074073863
CEH8-1,CEH8,2012,-0.37510000000000004,-0.5313333333333332,0.15623333333333317,0.1539074074074073,0.0023259259259258702
CEH8-1,CEH8,2013,-0.36243333333333333,-0.5186666666666666,0.15623333333333328,0.1539074074074073,0.0023259259259259812
CEH8-1,CEH8,2014,-0.3584333333333333,-0.5146666666666666,0.15623333333333328,0.1539074074074073,0.0023259259259259812
CEH8-1,CEH8,2015,-0.3817666666666667,-0.5379999999999999,0.15623333333333322,0.1539074074074073,0.0023259259259259257
CEH8-1,CEH8,2016,-0.31243333333333334,-0.46866666666666656,0.15623333333333322,0.1539074074074073,0.0023259259259259257
CEH8-1,CEH8,2017,-0.24066666666666664,-0.39166666666666655,0.1509999999999999,0.1539074074074073,-0.0029074074074073863
CEH8-1,CEH8,2018,-0.24733333333333332,-0.39833333333333326,0.15099999999999994,0.1539074074074073,-0.0029074074074073586
CEH8-1,CEH8,2019,-0.29933333333333334,-0.4503333333333332,0.15099999999999986,0.1539074074074073,-0.002907407407407442
CEH8-2,CEH8,2011,-0.2573333333333333,-0.22733333333333317,-0.030000000000000138,-0.027092592592592734,-0.0029074074074074037
CEH8-2,CEH8,2012,-0.37510000000000004,-0.3503333333333332,-0.024766666666666826,-0.027092592592592734,0.0023259259259259084
CEH8-2,CEH8,2013,-0.36243333333333333,-0.3376666666666665,-0.024766666666666826,-0.027092592592592734,0.0023259259259259084
CEH8-2,CEH8,2014,-0.3584333333333333,-0.3336666666666665,-0.024766666666666826,-0.027092592592592734,0.0023259259259259084
CEH8-2,CEH8,2015,-0.3817666666666667,-0.3569999999999999,-0.024766666666666826,-0.027092592592592734,0.0023259259259259084
CEH8-2,CEH8,2016,-0.31243333333333334,-0.2876666666666665,-0.024766666666666826,-0.027092592592592734,0.0023259259259259084
CEH8-2,CEH8,2017,-0.24066666666666664,-0.21066666666666656,-0.030000000000000082,-0.027092592592592734,-0.002907407407407348
CEH8-2,CEH8,2018,-0.24733333333333332,-0.2173333333333332,-0.03000000000000011,-0.027092592592592734,-0.002907407407407376
CEH8-2,CEH8,2019,-0.29933333333333334,-0.2693333333333332,-0.030000000000000138,-0.027092592592592734,-0.0029074074074074037
CEH8-3,CEH8,2011,-0.2573333333333333,-0.6293333333333333,0.372,0.3749074074074074,-0.002907407407407414
CEH8-3,CEH8,2012,-0.37510000000000004,-0.7523333333333333,0.37723333333333325,0.3749074074074074,0.0023259259259258425
CEH8-3,CEH8,2013,-0.36243333333333333,-0.7396666666666667,0.37723333333333336,0.3749074074074074,0.0023259259259259535
CEH8-3,CEH8,2014,-0.3584333333333333,-0.7356666666666667,0.37723333333333336,0.3749074074074074,0.0023259259259259535
CEH8-3,CEH8,2015,-0.3817666666666667,-0.759,0.3772333333333333,0.3749074074074074,0.002325925925925898
CEH8-3,CEH8,2016,-0.31243333333333334,-0.6896666666666667,0.3772333333333333,0.3749074074074074,0.002325925925925898
CEH8-3,CEH8,2017,-0.24066666666666664,-0.6126666666666667,0.37200000000000005,0.3749074074074074,-0.0029074074074073586
CEH8-3,CEH8,2018,-0.24733333333333332,-0.6193333333333333,0.372,0.3749074074074074,-0.002907407407407414
CEH8-3,CEH8,2019,-0.29933333333333334,-0.6713333333333333,0.372,0.3749074074074074,-0.002907407407407414
CEH9-1,CEH9,2011,-0.3826666666666666,-0.3026666666666666,-0.08000000000000002,-0.08000000000000008,6.938893903907228e-17
