well,network,cluster_id,cluster_label,n_springs,n_msl5_windows,n_obs_ssm,spring_sd_mm,rho_lag1,rho_ar1_expected,t_R_months,beta_2,beta_3,se_beta_3,rel_se_beta_3,msl5_window_se_mm,msl5_window_spread_mm,ewi_se_mm_beta3,ewi_se_mm_full,ewi_over_msl5_se_beta3
ceh16,reference,5,C5 (Coastal Forest),18,14,100,319.34624805027977,-0.017263550873971696,0.6262853847809197,25.64381328051027,1.3585091212811706,0.0389957604612578,0.007243464470705572,0.18575005039078385,142.81598379998704,208.66666666666666,508.93037576811605,666.7976055852952,3.563539333810634
ceh17,reference,5,C5 (Coastal Forest),18,14,100,290.6702244390605,0.061352354378111804,0.4917762483065896,16.9078037489293,1.1890928887683725,0.0591442871498509,0.011932333798785328,0.20174955813657836,129.991676176172,187.33333333333314,302.90027333235895,410.4222085396833,2.330151300779071
ceh18,reference,3,C3 (Western Residual),18,14,100,310.92945209967894,-0.19656526494326204,0.4824759617716821,16.464876352592032,1.5083639097965165,0.0607353483005399,0.009854266644386666,0.16224928184529844,139.05187822032937,205.33333333333337,440.5175111392218,593.4163473673294,3.1680083489502855
ceh19,reference,5,C5 (Coastal Forest),17,13,100,232.35737771887543,-0.18195110556974933,0.5865101801694824,22.49022011879132,0.7762912929764877,0.0444637711288769,0.006663244056490866,0.1498578255357076,103.9133783306001,177.33333333333334,400.28249193429974,523.7941133840786,3.852078513517309
ceh20,reference,4,C4 (Main Forest),17,13,100,401.2748271797081,-0.02492130796541649,0.7556866834318685,42.83749442882384,2.155440213263985,0.0233440357176244,0.009251839216209999,0.3963256108807698,179.4555582466615,385.9999999999999,1008.311246753949,1303.1811856714965,5.618723970466416
ceh21,reference,3,C3 (Western Residual),15,11,100,271.73302334982395,-0.2671025899228537,0.592173710936965,22.902718984201854,1.048839212963948,0.0436629380419763,0.006686009333207944,0.15312779288421235,121.52270238834879,212.66666666666666,389.46901340560544,513.7698580033571,3.204907443228044
ceh23,reference,1,C1 (Lake Edge),14,6,100,150.26817703866985,-0.0027858870591270382,0.3220600105358177,10.591187905371763,0.4303711241592479,0.0944181152232044,0.009667095875851302,0.10238602892038556,67.20197174268776,126.66666666666664,320.47928765792955,433.8950933870305,4.768897092558908
ceh24,reference,2,C2 (Dune),15,11,100,317.4693252690289,-0.21435476449458754,0.4089480512054734,13.420309686805464,1.517593086280558,0.0745139287644887,0.010209958200197114,0.1370208009359842,141.97659841450806,260.6666666666667,446.5239890856248,599.5413156690199,3.1450534388912095
ceh25,reference,1,C1 (Lake Edge),15,11,100,207.11880904012813,-0.17824962977090344,0.1994688059281598,7.443718896796403,0.3271553883074013,0.1343414513450227,0.012481056188036806,0.09290547379886724,92.62634728650488,253.3333333333333,296.2360544289431,402.8275855776092,3.198183487821752
ceh26,reference,1,C1 (Lake Edge),15,11,100,151.25331777374717,0.070351554340248,0.34944348791760854,11.413207897827272,0.4851992666838128,0.0876177853721888,0.009505673201316081,0.10849022445542575,67.64254007289516,162.66666666666669,345.75782771203814,463.43967827471863,5.11154411616464
