well,E,N,cluster,network,dem,depth_bg,h_0_m,coeff_source,horizon_n,alpha,S_P_mm,S_E_mm,lambda,pflood_mm,exceeds_mean,unreachable
ceh42,242120.528,362743.198,3,Reference,3.62,0.8091666666666666,-0.8091666666666666,per-well,5,0.9493931490439728,413.93401677123256,119.43707848679979,1.222798634753337,567.3797310956767,True,False
WMC1,242765.629,363643.556,2,Reference,7.285,0.9435294117647066,-0.9435294117647066,per-well,4,0.9444610696166308,366.3970464511552,103.90511419898343,1.253499753766239,502.29645228276064,True,False
WMC2,241885.149,362855.856,3,Reference,4.502,1.0223529411764707,-1.0223529411764707,per-well,5,0.9530772525924308,417.4020182845599,120.53945586680587,1.2899275124569523,598.5275942824186,True,False
wmc3,241217.327,363562.323,3,Reference,8.61,1.5583355978260869,-1.5583355978260869,per-well,5,0.9684316866265165,432.14987379949986,125.24092971908763,2.0250116693664912,939.6073431685941,True,False
wmc4,241760.293,364180.707,3,Reference,12.09,1.2399999999999967,-1.2399999999999967,per-well,5,0.9128880833111821,381.003803397621,109.03373685712123,1.268705255766445,588.6804469663502,True,False
L7,242812.0,364395.0,2,Reference,10.86,2.09,-2.09,per-well,4,0.9158768701596623,349.73939963482263,98.27575657176641,1.8309249142845112,733.6795129620211,True,False
D5,242083.407,363901.712,2,Reference,10.5,0.9781249999999986,-0.9781249999999986,per-well,4,0.9320977616918106,359.1099391019707,101.43745718206975,1.1872800974200652,475.76122692341886,True,False
D6,242114.898,364021.851,2,Reference,10.825,1.0099999999999998,-1.0099999999999998,per-well,4,0.9349401631819307,360.774127324841,102.00033099537033,1.1740801168319672,470.4717935592066,True,False
D7,242610.75,364204.554,2,Reference,9.775,0.8782581595381185,-0.8782581595381185,per-well,4,0.92349839042806,354.1154801603622,99.75064455269953,1.1303280054743707,452.93965583937796,True,False
D8,242676.867,364024.231,2,Reference,9.276,0.807500000000001,-0.807500000000001,per-well,4,0.9447058509376776,366.5426003982427,103.95448100974917,1.1351892379124837,454.88762575325273,True,False
D9,242710.726,363910.68,2,Reference,9.136,0.9956250000000004,-0.9956250000000004,per-well,4,0.9379307679265507,362.53226969531124,102.59541982707755,1.1667213849718778,467.5230375698119,True,False
D10,242613.907,364118.797,2,Reference,9.603,0.8429573170731715,-0.8429573170731715,per-well,4,0.9422740416505128,365.09878289730955,103.46492141348226,1.0997809990727256,440.699004896046,True,False
D15,241980.565,363895.719,2,Reference,10.371,0.8350000000000009,-0.8350000000000009,per-well,4,0.9389203409138186,363.1156531781222,102.79297969004267,1.063991543973438,426.3576248746361,True,False
D17,242446.951,363534.961,2,Reference,7.929,0.7856250000000005,-0.7856250000000005,per-well,4,0.929152557110391,357.3925634940962,100.85701940841415,1.0842686321715562,434.4829630998232,True,False
D25,242215.187,363143.807,3,Reference,5.351,0.997692307692307,-0.997692307692307,per-well,5,0.9364035532122605,401.9206238729224,115.62808549585344,1.2405429488696276,575.6131097449822,True,False
D38,242711.571,363069.196,2,Reference,4.661,1.110645424836601,-1.110645424836601,per-well,4,0.8914514166058032,336.03083610107944,93.6748328804035,1.1929049405466325,478.0151872761296,True,False
D41,242771.66,363342.853,2,Reference,5.84,0.8205919715447152,-0.8205919715447152,per-well,4,0.9344254280667319,360.47226387150084,101.89820257042447,1.1490552157349307,460.44393435779784,True,False
T41a,242709.928,363275.666,2,Reference,5.49,0.9077794715447158,-0.9077794715447158,per-well,4,0.9059518207554159,344.1112540719673,96.38320960254498,1.0479441713757298,419.9271981433425,True,False
T41b,242715.085,363309.565,2,Reference,5.71,0.7771875000000001,-0.7771875000000001,per-well,4,0.9350560524633004,360.84212001787466,102.02333655763526,1.115182750041321,446.87072120251025,True,False
T41c,242721.13,363323.682,2,Reference,5.8,0.8196544715447152,-0.8196544715447152,per-well,4,0.9301689802159533,357.9844447299797,101.05701411557877,1.1055128389064452,442.9958404597387,True,False
T41d,242731.987,363353.284,2,Reference,6.19,1.0049695121951219,-1.0049695121951219,per-well,4,0.9330615952252554,359.6735062033808,101.62802566078216,1.2672267891075644,507.7970845179016,True,False
D43,242664.714,363428.693,2,Reference,6.907,1.0756249999999996,-1.0756249999999996,per-well,4,0.9246328090894169,354.7708792442369,99.9717854264178,1.210108592065158,484.908952590483,True,False
D44,242819.407,363279.547,2,Reference,5.73,1.1131250000000001,-1.1131250000000001,per-well,4,0.9122607836704955,347.67962921278854,97.58255709802758,1.2582502745904587,504.2000583659143,True,False
nw8,241276.11,363480.129,5,Extended,7.244,1.471111111111111,-1.471111111111111,cluster,5,0.9558277893358155,420.00890205180997,121.36891904339033,2.0440872856462815,948.4584472896703,True,False
nw8b,241272.0,363487.0,3,Extended,7.33,1.8881818181818177,-1.8881818181818177,cluster,5,0.9434332840895151,408.38081520412777,117.67447396358133,1.7553024572504774,814.4620118808473,True,False
