level,Cluster,Cluster_Label,well,fit_basis,n,fit_start,fit_end,beta_3_A,pvalue_beta_3_A,t_half_A_months,R2_A,alpha_B,pvalue_alpha_B,beta_1_B,beta_2_B,beta_3_B,pvalue_beta_3_B,t_efold_B_months,t_half_B_months,R2_B,drainage_datum_m,ratio_t_half_A_over_B,note
well,2,C2 (Dune),ceh28,comparison_window,100,2015-03,2026-02,0.07805750655498356,9.677770420080586e-12,8.879955447612124,0.7325758710689951,0.8014720767008461,5.803756143724786e-07,3.637198099619932,3.1751568239122823,0.2735253825326187,9.083275350733039e-11,3.6559678328235115,2.5341237955394704,0.7940303961683876,3.7,3.5041521898979435,
well,4,C4 (Main Forest),ceh30,comparison_window,100,2017-11,2026-02,0.02644979402466932,0.014936696225264851,26.20614663061109,0.7186074688480746,0.047873410333803185,0.4994947492681774,2.170655512581737,2.1688922695802155,0.0433547651347802,0.1134359935931617,23.065515333579256,15.987796921632647,0.7188753698263426,3.7,1.6391343196980614,
well,5,C5 (Coastal Forest),ceh31,comparison_window,100,2017-07,2026-02,0.04020858524856575,0.0013353264907680648,17.238785604491518,0.5631152915107336,0.2511375257216544,0.01710835875709044,1.7619402255319043,1.8499851168698322,0.13106358566028764,0.00120686722949181,7.629884341726816,5.288632819466417,0.5877702577976085,3.7,3.2595920709486466,
well,4,C4 (Main Forest),Ceh32,comparison_window,100,2017-11,2026-02,0.01625546523367688,0.1890289241877374,42.64087004559757,0.6792360902878012,-0.0011811636281574417,0.9869314702104228,2.342669695827327,2.477733900096441,0.01586946932442538,0.5514737170597679,63.014079397151434,43.67803146971605,0.6780086236611862,3.7,0.9762543917566983,
well,4,C4 (Main Forest),ceh33,comparison_window,100,2017-11,2026-02,0.022615706376002118,0.044563569614186734,30.64892906884636,0.7003197419478581,0.02228925780304236,0.7510498547112504,2.1736211971202835,2.175512429658622,0.030401254764766603,0.2611654422332178,32.893379162722766,22.799953025730538,0.6994408672777579,3.7,1.3442540444823716,
well,4,C4 (Main Forest),ceh34,comparison_window,100,2017-11,2026-02,0.009387441007877563,0.21943868139783013,73.83771359823024,0.7747145688768642,0.028275529061712615,0.7076117951968235,2.276901641836842,2.6278151501709153,0.017006477046649086,0.4339295043281709,58.801126021396506,40.757834715481025,0.7741341887811954,3.7,1.811620124417073,
well,3,C3 (Western Residual),ceh36,comparison_window,100,2017-11,2026-02,0.050610543589148335,4.5695965920585246e-10,13.695707087970629,0.7218479932466587,0.3755018225222003,0.0030352118467697055,2.3916757934678747,1.4871843282486412,0.15346677888164073,2.37119991107203e-05,6.516068215462039,4.516594311883786,0.7456587702076931,3.7,3.032308447968268,
well,3,C3 (Western Residual),ceh39,comparison_window,100,2017-11,2026-02,0.0335400388138642,9.778516314176575e-06,20.666260537343927,0.786293194811946,0.18183290621106155,0.08229465379877668,2.7417452905177613,2.345901819996679,0.07906800921447327,0.004101108257419703,12.647340054907461,8.766468100641971,0.7921650749784874,3.7,2.357421518003417,
well,3,C3 (Western Residual),ceh40,comparison_window,100,2017-11,2026-02,0.03714287468246382,9.24923788775541e-05,18.661646048823442,0.6623006841576391,0.4801644392286607,0.0009338944022942944,2.2014847703355493,2.416436860982845,0.1624717588205355,3.9496777116958216e-05,6.154915828199957,4.2662625529005815,0.6980795476898405,3.7,4.374237594949615,
well,3,C3 (Western Residual),ceh41,comparison_window,100,2017-11,2026-02,0.037323126880347786,1.9566374753574732e-05,18.57151955092264,0.740540084148981,0.4188322242008489,0.0016932184254774265,2.5930867122265164,2.8256652374608304,0.14003831017580246,4.539555677317653e-05,7.140903076769576,4.94969683431467,0.765315917649346,3.7,3.752051928144814,
