ref_depth,Cluster,Cluster_Label,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,R2,AIC,beta_3_positive,beta_3_sig
1.2,2,C2 (Dune),3.492750328339744,2.587126662880566,0.17960896370807028,1.4976169024401289e-80,1.5203325365641222e-44,1.0493614108215605e-33,0.7809794459597502,-1136.289473849274,True,True
1.2,3,C3 (Western Residual),2.9070765899852624,2.692373095820129,0.1449204048570062,1.9782347784468043e-85,4.51737464134243e-59,9.185640293907405e-26,0.8006859120618163,-1224.0500052996813,True,True
1.2,4,C4 (Main Forest),2.1845737801967977,2.916022676095411,0.018758519229609714,1.7106365386729067e-56,9.725828223703529e-59,0.1481278893214001,0.7120303240771375,-1129.3125463157344,True,False
1.2,5,C5 (Coastal Forest),1.7207583796802017,2.136370795312791,0.07070014527786744,8.666560924076564e-47,2.0727850425845312e-42,1.9068425243464805e-07,0.6214119560635872,-1161.1727603004524,True,True
1.3,1,C1 (Lake Edge),4.279064738177089,1.9356860885113252,0.23657626959875078,1.5794884414389075e-82,8.569036250565568e-27,2.5218065388134213e-50,0.7987098070223038,-1070.5884206738726,True,True
1.3,2,C2 (Dune),3.556728176225989,2.4879767906875685,0.17024447139224397,2.441430864628178e-80,2.338644652581118e-41,1.6060036068621165e-33,0.7802209717038877,-1135.4321266212369,True,True
1.3,3,C3 (Western Residual),2.983076710924565,2.5957529585450043,0.14018154497826144,1.1512599023568988e-86,3.633811929102645e-56,6.622632519852256e-27,0.8048737115675334,-1229.3375028421106,True,True
1.3,4,C4 (Main Forest),2.1933141796460562,2.8996052232042064,0.020957890088854934,4.475238917631072e-58,3.5380141043811604e-58,0.10098306970354268,0.7127675191634828,-1129.920038235128,True,False
1.3,5,C5 (Coastal Forest),1.7688068204359024,2.079728177486155,0.07455913874605506,9.794580060873889e-49,2.258409522361689e-41,1.555276698837263e-08,0.6291407843008856,-1166.102407885877,True,True
1.4,1,C1 (Lake Edge),4.323585376665577,1.8217740180869944,0.22292396346835866,1.8421431101354877e-81,1.3713845847760212e-23,3.2809581110842463e-49,0.7942589883877165,-1065.4051027842709,True,True
1.4,2,C2 (Dune),3.6119032460249674,2.4007086469195444,0.16139253358044847,5.807998126970015e-80,1.79780914163563e-38,3.037716399677654e-33,0.7790801689321978,-1134.1481672312193,True,True
1.4,3,C3 (Western Residual),3.051427353888491,2.508108042169967,0.13501936212786575,1.7015960896244366e-87,2.655159542469671e-53,8.13035268781967e-28,0.8081518140994113,-1233.5562154961483,True,True
1.4,4,C4 (Main Forest),2.205108075036398,2.8804000362446622,0.022814002743445173,2.559026650354335e-59,3.124089012249904e-57,0.06869448090076741,0.7135340757509696,-1130.5533815309805,True,False
1.4,5,C5 (Coastal Forest),1.8200424343242019,2.0188355553699004,0.07723921662240683,2.171655738300539e-50,6.876833170414832e-40,1.3876512656480605e-09,0.6364732515392204,-1170.8751513564735,True,True
1.5,1,C1 (Lake Edge),4.3610547721562085,1.7217915194827114,0.21049821154227216,2.072360227564817e-80,7.036919383916137e-21,3.831191005720591e-48,0.7899038964582228,-1060.440685277463,True,True
1.5,2,C2 (Dune),3.6594963994139755,2.3239217322952,0.1530911005580906,1.7664785875060566e-79,6.872950125547526e-36,6.61797875975858e-33,0.7776784555146571,-1132.5796038904255,True,True
1.5,3,C3 (Western Residual),3.112428212343612,2.42927450585327,0.1296759627305583,5.107521825963007e-88,1.4308577951103382e-50,1.5760886586616078e-28,0.8106781508059905,-1236.8569316774926,True,True
1.5,4,C4 (Main Forest),2.2193063771472774,2.8592332135217564,0.02431176956736532,3.5003467068045045e-60,5.4355650785841325e-56,0.04704625617225078,0.7143056774499614,-1131.1926070435647,True,True
1.5,5,C5 (Coastal Forest),1.872434629816371,1.9561780905361177,0.07884335454134841,9.55424310432914e-52,4.211766295073463e-38,1.4325404307240347e-10,0.6432512827514973,-1175.3734228019277,True,True
1.6,1,C1 (Lake Edge),4.392714017007637,1.6337029565988146,0.1991778177693697,2.159348276773497e-79,1.362128953662449e-18,3.939711579786023e-47,0.7856893305829455,-1055.7334797764297,True,True
1.6,2,C2 (Dune),3.700596093454923,2.256304700536414,0.14534635637291293,6.249475921019316e-79,1.3528970749271374e-33,1.575508370513798e-32,0.77610673777525,-1130.832518829475,True,True
1.6,3,C3 (Western Residual),3.166614193796597,2.358741173897196,0.12432077885962123,2.6111813938702126e-88,5.069180006471449e-48,4.4822125646749457e-29,0.8125921584330671,-1239.3870853208734,True,True
1.6,4,C4 (Main Forest),2.2352318708275423,2.836908949934897,0.025457207849238817,1.133578902920659e-60,1.4879992738488787e-54,0.032684460041689685,0.7150614205926018,-1131.8203704582331,True,True
1.6,5,C5 (Coastal Forest),1.9243187040785683,1.8938126795587296,0.07951284919650645,7.918050098673081e-53,3.779195336678393e-36,1.7783021745591337e-11,0.6493813183106925,-1179.5158675285534,True,True
1.7,1,C1 (Lake Edge),4.419568071850102,1.5557909612119494,0.188848935566943,2.0370497599251633e-78,1.1590780080588058e-16,3.54091024595586e-46,0.7816413388805711,-1051.298674907182,True,True
