Name_Original,Cluster,basis,window_months,n,fit_start,fit_end,beta_1_recharge,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,se_beta_3,pvalue_beta_3,R2,LCSC_percent,beta_3_significant_positive
ceh16,5,comparison_window,100,100,2017-10,2026-02,2.519090374722013,1.704547214951411e-25,1.4101776572923277,1.7120046680145475e-08,0.03741712378247553,0.0075723656735880995,3.2416951964962658e-06,0.744553121359226,39.69686876003217,True
ceh17,5,full_record,,220,2007-08,2026-02,2.2006472488723574,1.4797198834424162e-50,1.245305946461929,5.229799289015079e-16,0.06011117660883732,0.0071254286467521905,4.626530450801597e-15,0.6793646956903567,45.44117647716662,True
ceh17,5,comparison_window,100,100,2017-08,2026-02,2.0650284598286355,1.8315934054213687e-20,1.1784920155657905,9.473402637433274e-07,0.05513767447412957,0.012721309387521086,3.5740674720382315e-05,0.6512448080619726,48.42548272109451,True
ceh18,3,full_record,,220,2007-09,2026-02,3.1744946493215096,3.798821870363739e-55,1.7149985905606548,7.603514988673137e-17,0.05050075831466375,0.005629936131852201,1.4143542159963267e-16,0.7166703700905915,31.501076878920927,True
ceh18,3,comparison_window,100,100,2017-09,2026-02,3.286882302637416,1.178596181691282e-21,1.5437131593717353,1.5653907850890493e-05,0.055581345021109424,0.010756137493463526,1.269938880759953e-06,0.664101356188529,30.423967392978856,True
ceh19,5,full_record,,214,2008-04,2026-02,2.3388319720231996,4.753203620846722e-54,0.8426509075065314,7.003506384744915e-09,0.046725862999440204,0.00449544980242125,1.064733161406246e-20,0.7075754342877563,42.75638489476236,True
ceh19,5,comparison_window,100,100,2017-10,2026-02,2.2517562478565005,9.456554701686405e-26,0.8129674259359446,8.071327249856717e-05,0.04335667029207555,0.006812613729141183,6.5047600030288e-09,0.7287253508481111,44.409780186106886,True
ceh20,4,full_record,,203,2008-12,2026-02,2.5440804939247728,2.4588882279585514e-44,2.023744602095865,1.0279405151752754e-21,0.03296112091020849,0.00634605381063006,5.051915095493173e-07,0.6927465338262847,39.306932402020514,True
ceh20,4,comparison_window,100,100,2017-07,2026-02,2.5550514454650743,2.591212911335424e-20,2.069480818006304,1.7286425508763215e-10,0.028990161557030103,0.010433081617648927,0.006554398328525979,0.6816232296660076,39.13815519350447,True
ceh21,3,full_record,,187,2010-07,2026-02,2.4678525701356264,9.81278539589348e-53,1.1052513200261922,5.817707623923508e-13,0.046763664403549725,0.004858612036990856,5.119461669850445e-18,0.75789795479648,40.52105916298893,True
ceh21,3,comparison_window,100,100,2017-10,2026-02,2.345713470772556,2.6131278182896215e-27,1.1064381751158816,1.7617928946920161e-07,0.042101419101393256,0.006953501115943301,2.6597988139437764e-08,0.7591881545873931,42.630952691363966,True
ceh23,1,full_record,,171,2010-04,2026-02,4.1568125524696224,9.03131100934988e-38,0.6226951423705458,0.04073602372568909,0.08389577349171413,0.008247643180688012,3.070362914131729e-19,0.6385766960176646,24.05689425196442,True
ceh23,1,comparison_window,100,100,2016-03,2026-02,4.454255180030847,4.363038987791309e-26,0.6150995891620428,0.09490987263858619,0.0894270633163767,0.010245783368550192,7.438558017369488e-14,0.700252358653964,22.450442544988515,True
ceh24,2,full_record,,189,2010-04,2026-02,4.5460803992781775,1.1183585363010095e-52,1.8137335526692835,3.662152876756433e-11,0.07162729577631856,0.006827958595869078,1.6066872110581133e-20,0.7427817594625145,21.996971284510916,True
ceh24,2,comparison_window,100,100,2017-10,2026-02,4.565596173009053,2.5010980322983148e-25,1.581053996353574,0.00013070856063646246,0.07350035178788136,0.010695174467149276,6.105679287476342e-10,0.7072401309233514,21.902944590496467,True
ceh25,1,full_record,,190,2010-04,2026-02,5.549058918965973,3.636781534345133e-48,0.542420596286396,0.09041212162317128,0.11719177836660913,0.00879499515189598,6.487243355403873e-29,0.6837600809688851,18.021073746074816,True
ceh25,1,comparison_window,100,100,2017-10,2026-02,6.269430668072025,1.5939086273396091e-28,0.36104452448078894,0.4300239635090602,0.13353570793972885,0.012687921372878472,9.911307093517569e-18,0.7234756677807039,15.950411655282249,True
ceh26,1,full_record,,189,2010-05,2026-02,4.003381614492083,1.232364841079021e-40,0.7703096635253168,0.0054369580118645644,0.07760931106935919,0.007600143187415562,1.0189723934039676e-19,0.6322116496853362,24.97888276201398,True
