ref_depth,Cluster,Cluster_Label,beta_2_atmospheric_draw,beta_3_drainage,mean_h_prev_m,mean_PET_m_month,h_disp_prev_mean_m,drainage_flux_m_month,et_flux_m_month,drainage_share_pct,all_beta3_pos_sig
1.8,3,C3 (Western Residual),2.250236398530687,0.11289682275605169,-0.7722,0.0548,1.0278,0.11603364168142029,0.1232141926130719,48.49934881274348,True
1.8,4,C4 (Main Forest),2.8003865037062208,0.02590209441939603,-1.3185,0.0551,0.4815,0.012471699231481751,0.1542730790480919,7.4795141174202175,True
1.8,5,C5 (Coastal Forest),1.787088763537614,0.07800545108391264,-1.1527,0.0549,0.6473,0.05049309579306391,0.09811278350207868,33.97785877150982,True
1.9,1,C1 (Lake Edge),1.4393958266458005,0.16996222797992355,-0.3836,0.0551,1.5164,0.25773482747053217,0.07929620638141625,76.47213508051912,True
1.9,2,C2 (Dune),2.1039039738040364,0.1244479862164991,-0.5357,0.0547,1.3643,0.16979022175454084,0.11504354923196822,59.61028468165132,True
1.9,3,C3 (Western Residual),2.200522440411585,0.10814307322507016,-0.7722,0.0548,1.1278,0.12196211735467867,0.12049204963500751,50.30316404496642,True
1.9,4,C4 (Main Forest),2.7787190647569897,0.02621510818433125,-1.3185,0.0551,0.5815,0.015243924253499219,0.1530794214878371,9.056333918721332,True
1.9,5,C5 (Coastal Forest),1.7333289497324924,0.07683549635452237,-1.1527,0.0549,0.7473,0.05741933122285758,0.09516132128006077,37.63211801821292,True
2.0,1,C1 (Lake Edge),1.3847005224220827,0.16209372463635127,-0.3836,0.0551,1.6164,0.2620122114223054,0.07628304624052226,77.45074915695328,True
2.0,2,C2 (Dune),2.0626957008718465,0.11877695508976306,-0.5357,0.0547,1.4643,0.17393066363765045,0.11279024012904984,60.662010112515105,True
2.0,3,C3 (Western Residual),2.15619104497661,0.10361601311322163,-0.7722,0.0548,1.2278,0.12721816895146806,0.11806463485338818,51.865914356018685,True
2.0,4,C4 (Main Forest),2.757949011222431,0.026311221854545788,-1.3185,0.0551,0.6815,0.017930935947330955,0.1519352008216793,10.555921438134577,True
2.0,5,C5 (Coastal Forest),1.6835204590274484,0.07531034508576719,-1.1527,0.0549,0.8473,0.06381061691714215,0.09242679025685879,40.84208645761545,True
2.1,1,C1 (Lake Edge),1.3355968414744028,0.15484948425500142,-0.3836,0.0551,1.7164,0.26578739473104684,0.07357792819972042,78.31896094618635,True
2.1,2,C2 (Dune),2.0259940907060265,0.11351268468323268,-0.5357,0.0547,1.5643,0.17757321415909663,0.11078335980153671,61.5811221919078,True
2.1,3,C3 (Western Residual),2.1166073994049657,0.09932721084029578,-0.7722,0.0548,1.3278,0.13188516366982164,0.1158971883873294,53.22621347924016,True
2.1,4,C4 (Main Forest),2.73830290131214,0.026228862274270112,-1.3185,0.0551,0.7815,0.020497694627100313,0.15085289812411717,11.962429950190336,True
