Name_Original,Cluster,Cluster_Label,Easting,Northing,basis,n,fit_start,fit_end,beta_3_drainage,se_beta_3,pvalue_beta_3,beta_3_significant_positive,t_half_months,t_efold_months,pastas_identified,reason
nw5,3,C3 (Western Residual),241711.757,363023.697,full_record,243,2005-04,2026-02,0.04910246713297451,0.005418939493263346,4.661128403290338e-17,True,14.116341215255677,20.36557546674585,1.0,
nw6,3,C3 (Western Residual),241444.307,363316.599,full_record,214,2005-04,2026-02,0.05872448598166699,0.00568622471488456,1.6883835055801594e-20,True,11.803375865671036,17.02867182715208,1.0,
nw7,3,C3 (Western Residual),241423.695,363584.862,full_record,217,2005-04,2026-02,0.050427588659447055,0.006113566147576831,1.62317368882558e-14,True,13.745396101348023,19.830414790469284,1.0,
wmc3,3,C3 (Western Residual),241217.327,363562.323,full_record,186,2009-07,2026-02,0.03652971412629001,0.007128333166691182,7.533255974401016e-07,True,18.97488653110196,27.37497469985158,1.0,
wmc4,3,C3 (Western Residual),241760.293,364180.707,full_record,168,2012-03,2026-02,0.0838662695934857,0.006667264937305731,7.129903416918905e-26,True,8.264910123220568,11.923744848163306,1.0,
Ceh32,4,C4 (Main Forest),241167.0,364003.0,full_record,184,2010-08,2026-02,0.022818157371549408,0.008427098848300433,0.00742425930468565,True,30.377000617244796,43.82474814758005,1.0,
ceh13,4,C4 (Main Forest),240964.108,364066.298,full_record,215,2006-06,2026-02,0.006425771331124391,0.0074480198952960285,0.38925043414816013,False,107.86987971429375,155.6233405251006,0.0,
ceh14,4,C4 (Main Forest),241292.0,364488.0,full_record,217,2006-06,2026-02,-0.01611448489206946,0.008734810817676594,0.06644014190179917,False,,,1.0,beta_3 <= 0: recession undefined
ceh2,4,C4 (Main Forest),241421.0,363979.0,full_record,224,2006-05,2026-02,0.026693649680629886,0.006513714984563837,5.850960755502848e-05,True,25.966744482412388,37.462093492807206,0.0,
ceh20,4,C4 (Main Forest),241153.0,363829.0,full_record,202,2008-12,2026-02,0.03080228655629793,0.006009797346255353,7.007878529159431e-07,True,22.503107984956472,32.46512229448553,0.0,
ceh30,4,C4 (Main Forest),241072.0,363760.0,full_record,188,2010-07,2026-02,0.03440219114735656,0.007850424045018463,1.965801900189688e-05,True,20.148343970038262,29.06791592769925,1.0,
ceh33,4,C4 (Main Forest),240936.0,363808.0,full_record,187,2010-08,2026-02,0.030141643154465197,0.007926978726539033,0.0001947715888425962,True,22.99633026002639,33.17669162478488,1.0,
ceh34,4,C4 (Main Forest),241334.0,363887.0,full_record,183,2010-09,2026-02,0.016670120433341984,0.006021014100663721,0.006218123713783142,True,41.580214332079954,59.98756901599196,1.0,
nw10,4,C4 (Main Forest),241435.0,364325.025,full_record,204,2007-06,2026-02,0.04252484702789075,0.006205221833321693,8.65814619279688e-11,True,16.299815966541424,23.51566366233206,1.0,
ceh16,5,C5 (Coastal Forest),240988.214,363614.897,full_record,223,2007-08,2026-02,0.0440749056711733,0.004533303876071723,8.148168835305628e-19,True,15.726572070993459,22.68864753700514,1.0,
ceh17,5,C5 (Coastal Forest),240804.597413,363576.069469,full_record,219,2007-08,2026-02,0.06123334050416419,0.00694541583638164,3.984513811358122e-16,True,11.319767545799786,16.330972502341183,1.0,
ceh19,5,C5 (Coastal Forest),240845.741,363532.891,full_record,215,2008-04,2026-02,0.047074963753813946,0.0044506575400893094,2.863938650286248e-21,True,14.7243274404813,21.242714178807656,1.0,
ceh31,5,C5 (Coastal Forest),241075.0,363538.0,full_record,181,2010-07,2026-02,0.0507790510898983,0.00796358542843824,1.5121664057222713e-09,True,13.6502586338766,19.69316043794553,1.0,
nw9,5,C5 (Coastal Forest),240937.259,363567.162,full_record,240,2006-03,2026-02,0.04918682715323637,0.004423630627535841,2.1794799477813202e-23,True,14.092130366541399,20.330646595370048,1.0,
