well,Cluster,Cluster_Label,upstand_m,optimal_datum_primary,beta_1_at_primary,beta_2_at_primary,beta_3_at_primary,pvalue_beta_3_primary,R2_at_primary,optimal_datum_secondary,beta_3_at_secondary,pvalue_beta_3_secondary,R2_at_secondary,max_R2_datum,R2_at_max,beta_1_at_max,beta_2_at_max,beta_3_at_max,pvalue_beta_3_at_max,beta_3_positive_at_max,R2_at_uniform,beta_3_at_uniform,R2_gain_max_vs_uniform
ceh33,4,C4 (Main Forest),0.06,,,,,,,0.5,0.0021864741206533457,0.9187921828668802,0.6782934517399493,2.6,0.6877406339702568,2.133964501001966,2.3165346745213755,0.030920542510101547,0.089312832617629,True,0.6869929027121919,0.019029527861110767,0.000747731258064821
ceh34,4,C4 (Main Forest),0.05,,,,,,,0.5,0.014996402937418656,0.48836721518699205,0.7677526978772842,1.9,0.7692490840372186,2.2976793172260805,2.723418782924309,0.015044342232414064,0.2934112422590204,True,0.768949031542176,0.007744996319993177,0.0003000524950426131
ceh36,3,C3 (Western Residual),0.03,0.5,1.6415713492911554,2.587423414047907,0.20661165362696524,1.099403392991204e-08,0.7126650883186818,0.5,0.20661165362696524,1.099403392991204e-08,0.7126650883186818,1.0,0.7455952313851821,2.218756530315408,1.8291492804062774,0.17548498655348693,2.666771103262896e-11,True,0.7058328868288659,0.0454235725677783,0.03976234455631622
ceh39,3,C3 (Western Residual),0.04,0.5,2.3216576334304384,2.978645157859858,0.10292510161552555,9.840834678113762e-05,0.7701187018588691,0.5,0.10292510161552555,9.840834678113762e-05,0.7701187018588691,1.2,0.7783207752513046,2.7060909040685783,2.5152780760713496,0.08317842331282532,1.551167277037812e-05,True,0.7691529898186238,0.030687051166702912,0.00916778543268082
ceh40,3,C3 (Western Residual),0.05,0.5,1.9886162075597706,2.799984207726067,0.17131305193548474,4.98712247388935e-06,0.6707015034798454,0.5,0.17131305193548474,4.98712247388935e-06,0.6707015034798454,0.7,0.6740488764509003,2.1999479937733546,2.536243379068231,0.15923987635791256,2.9815637778306566e-06,True,0.6383112570728668,0.034504869551675026,0.035737619378033436
ceh41,3,C3 (Western Residual),0.06,0.5,2.4601112183978637,3.1142368281476056,0.15030000299546528,1.2766388831536642e-06,0.7409112145190178,0.5,0.15030000299546528,1.2766388831536642e-06,0.7409112145190178,0.6,0.7415681933784122,2.553055482329586,2.9988882862639974,0.14435557786307163,1.1239746233212704e-06,True,0.7124021098196114,0.03436173502006305,0.029166083558800793
ceh42,3,C3 (Western Residual),0.13,0.5,2.2722665029044293,2.6851044232988737,0.18842050698424134,2.1811623872036978e-09,0.712677442766751,0.5,0.18842050698424134,2.1811623872036978e-09,0.712677442766751,1.0,0.7266958561496204,2.7407980829981384,2.043223736781339,0.15523454948736987,1.8364023916911401e-10,True,0.6949599591088399,0.05060685095602729,0.0317358970407805
wmc1,2,C2 (Dune),0.05,0.5,2.4955838585828563,3.2777145909578147,0.22146486030460086,2.2874664222482586e-09,0.7300362880722562,0.5,0.22146486030460086,2.2874664222482586e-09,0.7300362880722562,0.9,0.7399482129401368,2.9790446424067776,2.648315288255958,0.1879406439053673,3.591775243946192e-10,True,0.7061639818625174,0.05553893038336922,0.03378423107761941
wmc2,3,C3 (Western Residual),0.05,0.5,2.3250982388130654,3.1488635666194043,0.14062637725553864,2.20819081613667e-06,0.7468195993913864,0.5,0.14062637725553864,2.20819081613667e-06,0.7468195993913864,1.5,0.7720084538302634,3.0363463020084565,2.2506623802297714,0.107412169037721,1.1797026352012157e-08,True,0.7597918029961825,0.04692274740756923,0.012216650834080856
wmc3,3,C3 (Western Residual),0.08,0.5,1.5974585017077745,2.8282708998740818,0.06665145308700483,0.042868385439342786,0.6207756080700431,0.5,0.06665145308700483,0.042868385439342786,0.6207756080700431,1.5,0.6557014631776452,2.056544295918894,2.255823417566063,0.10111161305310501,0.00024827031050385107,True,0.6385017885090889,0.03156831337348358,0.01719967466855632
wmc4,3,C3 (Western Residual),0.04,0.5,2.850930182871335,4.477551218426119,0.22599289856851648,2.9863084066421736e-09,0.7633327421106386,0.5,0.22599289856851648,2.9863084066421736e-09,0.7633327421106386,2.0,0.8294363300625155,4.409329372173219,2.4345689513136293,0.15188611573719377,2.981035589594288e-16,True,0.8220005393852605,0.08711191668881793,0.007435790677254972
l7,2,C2 (Dune),0.06,0.5,2.571779139083593,4.900361047228641,0.10437176148018504,0.001945130081906799,0.7688688992638731,0.5,0.10437176148018504,0.001945130081906799,0.7688688992638731,2.1,0.8664278816182435,3.8162717436613898,3.43389162171074,0.16087387080913745,2.6195402530414275e-15,True,0.8525208122181261,0.08412312984033776,0.013907069400117322
