well,Cluster,Cluster_Label,ref_depth,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_3,R2,beta_3_positive,beta_3_sig
d15,2,C2 (Dune),6.5,4.464033968393647,1.944008769709711,0.035314510661501666,1.3581543792342621e-09,0.7870658222225375,True,True
d15,2,C2 (Dune),6.6,4.465405818881997,1.941711333983029,0.034783988893576354,1.4251732637936174e-09,0.7868586011735806,True,True
d15,2,C2 (Dune),6.7,4.466720454769495,1.9395018912517332,0.03426876068356225,1.4937135044662245e-09,0.7866563382697017,True,True
d15,2,C2 (Dune),6.8,4.467980954984252,1.9373759200422453,0.03376818968816639,1.5637458521430749e-09,0.7864588673465843,True,True
d15,2,C2 (Dune),6.9,4.469190196620752,1.9353291864682922,0.0332816735852107,1.6352403397209923e-09,0.7862660289841158,True,True
d15,2,C2 (Dune),7.0,4.470350870448211,1.9333577226166523,0.032808641881877924,1.7081663811316841e-09,0.7860776702159356,True,True
d15,2,C2 (Dune),7.1,4.47146549506061,1.9314578067943269,0.03234855388615884,1.7824928648421377e-09,0.7858936442488567,True,True
d15,2,C2 (Dune),7.2,4.472536429799056,1.9296259454573979,0.03190089682787826,1.8581882419120296e-09,0.785713810192465,True,True
d15,2,C2 (Dune),7.3,4.473565886568655,1.9278588566611559,0.031465184116912445,1.935220608755811e-09,0.785538032799053,True,True
d15,2,C2 (Dune),7.4,4.4745559406523885,1.9261534548875687,0.031040953727351217,2.013557784699682e-09,0.785366182213917,True,True
d15,2,C2 (Dune),7.5,4.475508540619948,1.9245068371217195,0.030627766697347913,2.093167384538965e-09,0.7851981337359502,True,True
d15,2,C2 (Dune),7.6,4.476425517414976,1.9229162700616302,0.030225205735334035,2.1740168862338267e-09,0.785033767588389,True,True
d15,2,C2 (Dune),7.7,4.477308592697337,1.9213791783578695,0.02983287392409676,2.2560736939346316e-09,0.7848729686995115,True,True
d15,2,C2 (Dune),7.8,4.478159386508811,1.9198931337895875,0.029450393514968802,2.33930519649844e-09,0.784715626493034,True,True
