,Max Temp ©,Min Temp (C),af Days,Rain (mm),Sun (hrs)
Apr 81,12.4,5.1,1,65.9,185.5
May 81,14.3,8.2,0,55,176.7
Jun 81,15.2,10.1,0,51.4,169.3
Jul 81,16.9,12.1,0,40.6,143.3
Aug 81,18.9,12.6,0,26,182.7
Sep 81,17.6,12.2,0,101.6,137.3
Oct 81,12,6.6,0,172.2,105.4
Nov 81,11.3,6.6,0,76.8,43.3
Dec 81,5.8,0.3,15,77.6,51
Jan 82,7.3,2,11,41.6,70.7
Feb 82,8.8,3.6,4,54,76.2
Mar 82,9.6,3.9,1,71.4,153.3
Apr 82,12.2,5.3,1,22.2,189.1
May 82,15.4,8,1,35.9,229.2
Jun 82,18.4,11.4,0,56.9,182.6
Jul 82,20.1,12.4,0,30.6,209.9
Aug 82,18.5,12.4,0,66.9,164.5
Sep 82,17.3,11.3,0,102.8,122.1
Oct 82,14,8.9,0,99.8,71.5
Nov 82,11.3,6.9,0,169.2,45.8
Dec 82,8.6,3.5,3,84.5,35.7
Jan 83,9.2,5.3,0,81,24.5
Feb 83,6.6,0.4,11,41,99
Mar 83,9.1,4.9,1,84.3,81.8
Apr 83,10.3,3.9,0,61.9,165.7
May 83,13.5,7.7,0,77.5,165
Jun 83,17,10.4,0,26.2,183.2
Jul 83,22.2,13,0,9.3,238
Aug 83,20.8,12.8,0,78.7,226
Sep 83,16.8,11.3,0,113.5,112.3
Oct 83,13.9,9.1,0,64.7,94.4
Nov 83,11.4,6.5,3,26.9,49.3
Dec 83,9.9,5.4,2,140.2,41.5
Jan 84,7.7,2.8,4,116.5,63.7
Feb 84,7.8,2.4,6,47.7,74.7
Mar 84,8.2,3.1,0,40.8,95.6
Apr 84,12.9,5.2,1,13.8,201.3
May 84,14.5,5.9,0,29.7,266.9
Jun 84,17.6,10.2,0,41.2,188.2
Jul 84,20.1,12,0,31,299.6
Aug 84,21.5,13.5,0,68.9,247.1
Sep 84,16.4,11.3,0,142.8,124.1
Oct 84,14.2,9.8,0,110.7,103.2
Nov 84,10.9,6.7,0,145.4,56.7
Dec 84,9.5,4.9,0,108,56.6
Jan 85,5.6,-0.4,17,57.1,70.6
Feb 85,6.9,1.3,10,55.2,105.7
Mar 85,8.5,2.8,5,44.7,150.3
Apr 85,11.2,5.6,1,73.3,137.6
May 85,14,7.8,0,60.8,189.6
Jun 85,15.8,9.2,0,67.8,199
Jul 85,17.9,12.5,0,68.4,182.9
Aug 85,16.6,11.8,0,141,153.5
Sep 85,17.2,12.3,0,43.7,117.9
Oct 85,14.2,8.6,0,39.5,103.1
Nov 85,8.6,3.4,3,107.6,69.1
Dec 85,9.3,5,4,110.9,45.5
Jan 86,7.3,3.2,1,95.7,54.6
Feb 86,3.6,-2.3,23,6.9,144.3
Mar 86,8.1,2.8,5,96,135.7
Apr 86,8.9,3.5,1,63.6,179.4
May 86,12.9,7.9,0,47.9,232.1
Jun 86,18.3,10.7,0,53.9,209.2
Jul 86,17.1,12,0,78.8,115.1
Aug 86,16.3,10.3,0,93.6,160
Sep 86,15.1,8.1,0,3.4,182.2
Oct 86,14.2,8.7,0,77.3,120.4
Nov 86,11.3,6.4,1,118.1,74.9
Dec 86,9.6,5.4,0,166,47.1
Jan 87,5.5,0.3,15,23.7,70.7
Feb 87,7.5,1.2,12,52.4,69.7
Mar 87,8.5,2.9,5,94.4,124
Apr 87,13.4,6.3,1,37.1,154.1
May 87,14,6.9,0,15,240
Jun 87,14.8,9.6,0,79.7,134.5
Jul 87,18.1,12.2,0,57.4,196.8
Aug 87,17.8,12.2,0,105.6,161.7
Sep 87,16.5,11.2,0,65.4,173.8
Oct 87,13.1,7.6,0,192.5,110.2
Nov 87,10.5,5.4,2,73.2,75.1
Dec 87,8.5,3.9,9,67.8,58.3
Jan 88,8.8,4.6,0,148.7,69.4
Feb 88,8,3.6,0,40.6,91.1
Mar 88,9.4,4.7,2,101,111.2
Apr 88,12,5.4,0,40.8,172.8
May 88,15.8,8,0,37.9,271.4
Jun 88,18.5,10.9,0,28.3,237.3
Jul 88,17.1,12.3,0,109.6,161.9
Aug 88,17.8,12.1,0,72.9,172.2
Sep 88,15.9,11.1,0,43,132.5
Oct 88,14.3,8.2,1,82.3,122.7
Nov 88,10.6,3.5,3,54.6,88.3
Dec 88,10.6,7.3,0,73.7,29
Jan 89,9.8,6.2,0,53.4,65.8
Feb 89,9.4,4.8,1,79.4,95
Mar 89,10.1,5,1,82.7,117.6
Apr 89,10.6,4.2,0,63.9,190.3
May 89,16.3,8.6,0,14.3,270.5
Jun 89,18.2,10.2,0,58.7,267.3
Jul 89,20.9,13,0,29.7,270.2
Aug 89,18.9,13.3,0,80.8,216.5
Sep 89,17.1,11.8,0,11.6,119.1
Oct 89,14.8,10.3,0,94.9,74.8
Nov 89,11.3,5,2,80,88.9
Dec 89,7.9,2.1,6,103.9,43.1
Jan 90,9.7,5.5,0,119.7,63.5
Feb 90,10,5.4,1,105.2,72
Mar 90,10.7,6,0,12.6,99.1
Apr 90,12.3,4.9,1,26.2,201.2
May 90,17.1,8.2,0,27,274.6
Jun 90,16.4,10.7,0,39.8,183.4
Jul 90,20.6,12.9,0,44.1,283.3
Aug 90,20.1,14.3,0,46.8,194.8
Sep 90,16.6,10.2,0,47.5,162.2
Oct 90,15.2,10.3,0,94.4,108.4
Nov 90,10.6,5.3,0,89,76.9
Dec 90,8.4,3.4,5,126.5,49.3
Jan 91,7.1,2,7,57.9,87.3
Feb 91,6.4,0.4,14,42.5,92.4
Mar 91,10.2,5.1,1,81,90.2
Apr 91,11.3,6,0,78.2,159.7
May 91,14,8,0,12.9,196.9
Jun 91,15.1,9.1,0,49,176.6
Jul 91,19.8,13.6,0,24.8,172.6
Aug 91,19.5,13.2,0,32.6,189
Sep 91,18.9,11.3,0,34.7,188.8
Oct 91,13.6,8.8,0,100.6,100
Nov 91,10.5,6.3,1,81.6,43.5
Dec 91,9.3,4.6,4,27.1,55.4
Jan 92,8.2,2.9,11,41.5,66.6
Feb 92,9,4.8,1,55.3,63.9
Mar 92,10.1,5.9,0,78.2,88.4
Apr 92,11.6,6.1,0,59.2,136.1
May 92,16.8,9.2,0,78.9,260.2
Jun 92,19.2,11.2,0,50.4,238.9
Jul 92,18.3,12.8,0,65.1,198.4
Aug 92,17.3,12.6,0,100.9,186.4
Sep 92,16.3,10.7,0,68.6,116.2
Oct 92,11.6,6.9,0,74.4,90.1
Nov 92,10.9,6.6,0,112.5,47.3
Dec 92,8,2.7,8,87.4,58.3
Jan 93,8.9,5.1,0,73.4,43.7
Feb 93,8.4,4.6,3,28.3,51.8
Mar 93,9.4,4.7,1,32,95.9
Apr 93,12.4,6.9,0,66.4,164
May 93,14.7,8.1,0,127.1,177.3
Jun 93,16.7,10.5,0,80.2,188.5
Jul 93,17.2,12.1,0,45.8,154.2
Aug 93,17.5,11.3,0,44.3,205.8
Sep 93,16.1,9.7,0,82.1,127.1
Oct 93,11.9,5.9,0,32.1,118.2
Nov 93,9.6,3.5,5,84.2,80.7
Dec 93,8.6,4.7,2,109.4,38.4
Jan 94,8.5,4.2,1,73.7,57.9
Feb 94,6.8,2,9,86.3,77.8
Mar 94,9.4,5.4,0,112.8,111.5
Apr 94,10.9,5,0,94.9,180.4
May 94,14.1,7.9,0,35.2,195.8
Jun 94,16.1,10.4,0,22.8,158.1
Jul 94,19,12.5,0,46.1,215.8
Aug 94,18,12.7,0,80.4,165.5
Sep 94,15.6,10.6,0,82,129.9
Oct 94,14.5,8.4,0,64.3,146
Nov 94,12.9,9,0,83.5,52.4
Dec 94,10.3,5.7,2,126.1,53.3
Jan 95,8.5,3.3,5,135.8,32.7
Feb 95,9.1,4.9,0,97,59.8
Mar 95,8.9,3.6,1,48.8,116.7
Apr 95,11.8,5.9,0,20.6,183.7
May 95,14.9,8.4,0,42,207.6
Jun 95,17.6,10.5,0,17.8,253.8
Jul 95,21,13.7,0,45.1,198.2
Aug 95,23.4,14.6,0,11.1,276.8
Sep 95,17.4,10.9,0,64.8,197.2
Oct 95,15.9,11.2,0,88.9,107.5
Nov 95,11.9,6.3,0,66.7,76.2
Dec 95,6.9,1.5,11,70.5,71.2
Jan 96,7.6,4,8,45.9,43.8
Feb 96,7.1,1,15,69.5,105.9
Mar 96,8.6,2.6,4,51.1,99.1
Apr 96,11.3,5.4,1,53.5,123.2
May 96,12.6,5.9,0,49.6,263.9
Jun 96,16.7,9.7,0,29.9,254.3
Jul 96,18.3,11.9,0,35.7,203.3
Aug 96,19.1,12.7,0,73.8,195.1
Sep 96,18.3,10.4,0,27.6,196.7
Oct 96,15,10.3,0,94.6,98.3
Nov 96,10.2,5.2,0,122.9,67.7
Dec 96,7.2,1.7,9,29.4,78.6
Jan 97,6.8,0.9,15,7.1,89.2
Feb 97,9.3,4.6,1,73.8,78.9
Mar 97,11.2,5.4,0,18.4,121.4
Apr 97,13.4,5.9,1,32.5,139.6
May 97,16.3,7.7,0,64.2,252.6
Jun 97,16.7,10.6,0,101.5,174
Jul 97,18.8,12.6,0,71.5,214.6
Aug 97,20.6,14.3,0,54.6,216.1
Sep 97,17.1,11.7,0,36.4,149.3
Oct 97,14.4,8.3,1,40.7,126.5
Nov 97,11.8,7.5,0,109.7,48.4
Dec 97,9.7,5.1,4,102.2,48.5
Jan 98,8.6,4.3,4,95,68.5
Feb 98,9.9,6.2,1,29.6,63.3
Mar 98,10.6,6.6,0,96.1,76.3
Apr 98,10.9,5.3,2,89.8,192.1
May 98,15.8,8.9,0,16,226.5
Jun 98,15.9,10.9,0,135.3,171.5
Jul 98,17.3,12.5,0,39.1,154.2
Aug 98,18.4,12.8,0,50.8,204.4
Sep 98,17.6,11.9,0,44.5,153.5
Oct 98,13.7,8.8,0,120.8,112.1
Nov 98,10.4,6,1,128.3,69.5
Dec 98,9.7,5.5,2,90.2,25
Jan 99,8.9,4.5,3,139.2,54.2
Feb 99,8.3,4.5,1,47.3,72.6
Mar 99,9.6,5.2,2,49.8,124.2
Apr 99,12.4,6.6,0,70,188.8
May 99,15.5,9.7,0,43.4,187.6
Jun 99,16.3,10.3,0,81,220.1
Jul 99,20,13.3,0,16.8,242.9
Aug 99,19,12.7,0,86.1,159.6
Sep 99,18,12.4,0,148.2,144.5
Oct 99,14.5,8.9,0,59,128.9
Nov 99,11.5,6.7,1,67.2,65.8
Dec 99,8.8,4.9,3,97.6,39.1
Jan 00,8.6,4.2,2,84.2,61.5
Feb 00,9,5.1,1,98.2,97.3
Mar 00,10.2,5.2,1,35,134.2
Apr 00,11.1,4.9,1,67.6,179.7
May 00,15.7,8.9,0,46,285.9
Jun 00,17.3,11,0,24.4,189.9
Jul 00,18.7,12.1,0,74,230.8
Aug 00,19,13.1,0,85.8,211.4
Sep 00,17.6,12.1,0,137.6,122.2
Oct 00,13.6,9,0,209,102.6
Nov 00,10.2,6.6,0,220,40.3
Dec 00,8.9,4.4,6,127,40.3
Jan 01,7.6,2.2,10,51.6,93.6
Feb 01,7.9,2.3,7,92,83.4
Mar 01,8.8,2.9,6,45.4,159.6
Apr 01,10.5,5.3,0,81.8,173.8
May 01,16,8.9,0,44.4,255.1
Jun 01,16.5,10.6,0,30.7,212.8
Jul 01,18.2,12.5,0,58.2,208.6
Aug 01,17.6,12.7,0,98.5,185.1
Sep 01,16.3,11.4,0,71.6,146
Oct 01,15.7,11.7,0,71.6,117.6
Nov 01,11.7,7.4,0,46.6,36
Dec 01,8.8,2.3,8,45.4,76.9
Jan 02,9.5,5,5,70.8,50.7
Feb 02,9.6,5.3,2,106,73.6
Mar 02,10.3,5,1,29.8,135.1
Apr 02,11.7,6.1,0,66.8,163
May 02,14.7,8.9,0,69.4,190.6
Jun 02,15.6,11.1,0,53.4,160.2
Jul 02,17,12.2,0,60.4,128.9
Aug 02,18.1,12.5,0,85,160.1
Sep 02,17.8,11.3,0,21,163.3
Oct 02,13.7,8.2,0,161.4,96.4
Nov 02,11.9,7.8,0,171,62.1
Dec 02,8.3,4.5,3,82.6,54.7
Jan 03,7.9,3.6,8,62.8,87.4
Feb 03,8.6,2,8,37.4,106.1
Mar 03,11.5,3.9,4,41.6,193.7
Apr 03,13.5,6.4,0,55,195.7
May 03,13.9,9,0,89,170.5
Jun 03,17.7,11.9,0,58.6,204.9
Jul 03,19.1,13.9,0,39.4,137.9
Aug 03,20.7,13.2,0,17.8,214.8
Sep 03,17.5,11.5,0,109.6,129
Oct 03,13.1,6.7,0,68.4,118.2
Nov 03,12,7.1,0,91.8,68.8
Dec 03,9.3,3.8,5,91.2,55.8
Jan 04,8.7,4.3,2,91,44.1
Feb 04,8.2,3.2,8,60.8,97.7
Mar 04,9.9,4.2,5,39.2,142.7
Apr 04,11.6,7.1,1,29.6,119.8
May 04,14.9,8.5,0,35.8,229.3
Jun 04,17.1,11.5,0,50.2,173.6
Jul 04,17.7,12.5,0,41.4,140.5
Aug 04,19.8,14.2,0,87.6,155.6
Sep 04,17.6,12.7,0,84.6,131.4
Oct 04,13.9,8.7,0,141,97.2
Nov 04,11.2,7.7,0,72.2,27.7
Dec 04,10,5,1,70.4,45
Jan 05,9.5,5.6,2,39.2,56.5
Feb 05,7.8,3,4,44,71.7
Mar 05,10.7,5.4,3,42.8,103.2
Apr 05,11.7,6.4,0,101,125.8
May 05,13.9,8.2,0,33,210.8
Jun 05,17.4,11.9,0,18.8,175.3
Jul 05,19,13,0,45.8,189.8
Aug 05,18.9,13,0,35.6,194.5
Sep 05,17.9,12.6,0,53.4,137
Oct 05,15.4,10.8,0,189.8,78.8
Nov 05,11,5.7,1,116.7,
Dec 05,9.2,4.7,3,56.2,42
Jan 06,8,3.1,7,60.8,77.3
Feb 06,7.7,3.6,1,44.4,84.3
Mar 06,8.1,3.3,4,90.8,93.2
Apr 06,11.2,6.2,1,53.8,190.7
May 06,14.4,8.5,0,109.6,175.5
Jun 06,18.2,11.9,0,27.6,232.6
Jul 06,22,14.1,0,10.8,277.8
Aug 06,18.5,13,0,88,146.6
Sep 06,18.8,13.6,0,77.2,155.1
Oct 06,15.9,10.8,0,123.4,116.4
Nov 06,12.1,7.7,0,127.6,58.4
Dec 06,10,6.3,0,140,41.1
Jan 07,9.9,6.1,2,88.8,55.7
Feb 07,9,4,5,39.6,73.3
Mar 07,10.3,4.9,1,41,149
Apr 07,14.4,7.5,0,13.8,227.4
May 07,15,9,0,44.2,203.7
Jun 07,18.3,11.9,0,78.4,169.9
Jul 07,17.3,12.9,0,101.9,184.2
Aug 07,17.8,12.8,0,59.4,149.8
Sep 07,16.8,11.7,0,84.6,126.9
Oct 07,15,9.4,0,35.4,124.3
Nov 07,11.9,7.4,1,89.8,53.2
Dec 07,9.5,4.4,6,96.8,60.4
Jan 08,9.6,5.7,1,123,42.7
Feb 08,9.9,3.6,7,33.6,120.8
Mar 08,9.6,4.4,2,68,127.8
Apr 08,10.9,5.7,1,83.4,168.2
May 08,17.7,10.2,0,27.6,232.3
Jun 08,16.1,10.6,0,117.1,172.9
Jul 08,18.8,13.4,0,70.4,143.5
Aug 08,17.8,14,0,84.4,86.2
Sep 08,16.4,11.5,0,118.4,124.8
Oct 08,13.1,8.8,0,164.6,88.4
Nov 08,10.8,6.5,2,81.2,65.3
Dec 08,8.1,2.6,9,68,63.1
Jan 09,7.6,2.4,7,80.2,60.5
Feb 09,7.6,2.9,5,8.4,46.8
Mar 09,9.8,4.7,2,26,142.9
Apr 09,12.6,6.6,0,52,188.3
May 09,14.4,8.7,0,43.4,205.2
Jun 09,19,11.2,0,44.8,234.7
Jul 09,18.3,13.4,0,104.3,175.8
Aug 09,17.9,13.6,0,108.2,136
Sep 09,16.7,11.2,0,28.8,127.1
Oct 09,15.2,9.9,0,82.4,87.6
Nov 09,11.6,7.4,0,205.6,46.3
Dec 09,7.6,2.6,7,87.2,42.5
Jan 10,5.9,1,10,55,67.3
Feb 10,6.9,0.7,12,36.4,92.1
Mar 10,9.3,3.2,7,77.2,147
Apr 10,12.2,5.4,0,17.2,222.9
May 10,14.3,7.4,0,38.2,271.9
Jun 10,18.3,11.2,0,29.8,251.7
Jul 10,18.2,13.5,0,126.6,121.4
Aug 10,17.9,12.3,0,32.2,175
Sep 10,17.4,11.8,0,94,130.3
Oct 10,14.5,9.1,0,90,131.8
Nov 10,9.4,4.1,4,86,84.5
Dec 10,5.2,-0.9,17,53.6,61.6
Jan 11,7.3,2,9,52.6,73.5
Feb 11,9.4,5.3,0,84.6,72.4
Mar 11,10.4,3.5,5,29.6,168.1
Apr 11,14.9,8,0,32.2,211.1
May 11,15.1,9.6,0,77.8,175
Jun 11,16.5,10.2,0,48.8,221.1
Jul 11,18.2,11.4,0,48.6,233.2
Aug 11,17.6,12.4,0,67.6,138.6
Sep 11,17.2,12.5,0,91,107.6
Oct 11,15.2,11,0,76.6,60.6
Nov 11,13.4,8,0,61.8,77.9
Dec 11,9.6,6,0,89.4,21.3
Jan 12,9,4.4,5,60.6,55.8
Feb 12,8.1,3.9,6,37.4,48.2
Mar 12,11.9,6.2,0,19,147.3
Apr 12,10.9,4.9,0,65.4,144.6
May 12,15,7.8,0,47.8,221.2
Jun 12,16,10.5,0,107.4,145.1
Jul 12,16.7,12.3,0,70.6,112
Aug 12,19,13.8,0,110.7,175.7
Sep 12,16,11.3,0,112,134.6
Oct 12,13.3,8.2,0,113.6,90.1
Nov 12,10.3,5.9,1,149.2,62.4
Dec 12,9,3.9,5,128,40.4
Jan 13,7.2,3,11,62.3,45.7
Feb 13,7.7,1.6,9,60.4,108.3
Mar 13,6.9,1.1,12,89.4,118.8
Apr 13,10.4,4.5,5,32.8,198.4
May 13,13.3,7.8,0,40,192.4
Jun 13,17.5,10.3,0,32.2,225.2
Jul 13,21.6,13.6,0,42,311.4
Aug 13,19,13.2,0,68.1,162.9
Sep 13,16.8,11.8,0,76.2,100.2
Oct 13,15.5,11.2,0,173.8,72.5
Nov 13,10.6,6.3,0,35.8,48.5
Dec 13,10.4,6.6,0,131,34.7
Jan 14,9.1,4.9,1,159.2,34.3
Feb 14,9,5.1,0,102.6,72.3
Mar 14,11.1,5.2,0,54,121.9
Apr 14,13.3,7.4,0,36,172.2
May 14,15,9.4,0,92.8,157.8
Jun 14,18,11.7,0,46.8,263.9
Jul 14,20.3,13.7,0,48.2,250.7
Aug 14,17.8,12.5,0,109.4,184.3
Sep 14,19.1,11.9,0,8,174.2
Oct 14,15.4,10.7,0,158.6,88
Nov 14,12.4,6.7,0,59,88.4
Dec 14,9.6,5.3,1,68.4,43.6
Jan 15,8.3,3.9,4,76.6,60.4
Feb 15,7.6,2.9,5,34,86.2
Mar 15,9.4,3.9,2,59,147.1
Apr 15,12.6,5,1,36,232.7
May 15,13.1,7.9,0,111,185.1
Jun 15,16.6,10.2,0,28.2,238.7
Jul 15,17.6,12.5,0,66.4,186.7
Aug 15,18.3,12.5,0,68.8,204.1
Sep 15,16.9,9.9,0,45.2,187.8
Oct 15,14.9,8.7,0,60.2,105.2
Nov 15,12.9,8.2,0,134.4,35.4
Dec 15,12.3,7.8,0,254.2,26.1
Jan 16,9.4,5.2,1,110.4,44.8
Feb 16,8.4,3.7,3,81.2,76.2
Mar 16,9.4,4,2,56.6,126.8
Apr 16,11.1,5.3,0,81,188
May 16,15.9,9.2,0,46.8,250.8
Jun 16,18,12,0,72,205.3
Jul 16,18.2,13.3,0,71.6,149.1
Aug 16,19.1,13.7,0,61.8,167.7
Sep 16,18,13.3,0,94.6,129
Oct 16,14.6,8.6,0,25,80
Nov 16,10,4.8,4,81.6,77.8
Dec 16,10.7,6.1,2,75.8,40.3
Jan 17,8.8,4.2,6,38.6,49.8
Feb 17,9.2,4.6,3,104,49.2
Mar 17,11,6,0,76.8,109.6
Apr 17,12,6.8,0,17,117.9
May 17,17,9.7,0,31.4,250
Jun 17,17.6,12.6,0,129.2,155.7
Jul 17,18.8,12.8,0,78.8,194.9
Aug 17,18.1,13.3,0,60,175.3
Sep 17,16.6,11.5,0,86.2,113.1
Oct 17,15.2,10.9,0,65.8,60.7
Nov 17,10.9,6.5,0,104,48.6
Dec 17,9,4.5,2,79.2,34.5
Jan 18,8.5,3.5,4,88.6,59.5
Feb 18,7.2,1.6,10,62,115.4
Mar 18,8.2,2.5,7,94.8,108.3
Apr 18,12.3,6.4,0,65,140.6
May 18,15.8,9.1,0,29,231.6
Jun 18,20.2,11.7,0,10.8,291.8
Jul 18,21,13.5,0,49,265.3
Aug 18,18.6,13.2,0,37.4,131.8
Sep 18,16.3,11.4,0,87,131.8
Oct 18,13.9,8.6,2,97.6,101.6
Nov 18,11.5,6.6,0,139.2,69.1
Dec 18,10.3,6.8,1,112.8,19.8
Jan 19,8.4,4.4,2,38.2,34.8
Feb 19,10.7,5.3,3,50.4,110.2
Mar 19,10.3,5.9,0,96,103.5
Apr 19,13.7,6.5,0,67.2,138.8
May 19,14.3,8.1,0,39.2,203.5
Jun 19,17.1,11.3,0,60.8,204.6
Jul 19,19.5,13.6,0,32.2,181.5
Aug 19,19.3,14.1,0,60.8,179.6
Sep 19,17.7,11.6,0,86.2,141.5
Oct 19,13.6,8.5,0,147.8,95.7
Nov 19,9.9,5.1,1,93,49.4
Dec 19,9.7,5.8,2,60.2,44.2
Jan 20,9.3,5.1,2,72.8,48
Feb 20,9.2,5.1,0,113.4,71.8
Mar 20,10.2,4.4,0,31,167.2
Apr 20,14.7,6.9,0,12.8,219.7
May 20,16.6,8.7,0,7.2,312.3
Jun 20,17.9,11.7,0,76.4,137.6
Jul 20,17.3,12.5,0,99.4,128.1
Aug 20,19.2,13.9,0,119.2,155.4
Sep 20,17.2,11.2,0,60.6,158.8
Oct 20,13.6,9.3,0,116,90.6
Nov 20,12.3,7.4,0,84.8,44.3
Dec 20,8.8,4.3,2,150.6,34.4
Jan 21,7.2,2.5,8,110.2,41.1
Feb 21,8.3,3.9,6,89,92.8
Mar 21,10,4.8,4,42.4,116.3
Apr 21,11.6,3.7,3,15.8,250.3
May 21,13.8,7.5,0,107.8,209.2
Jun 21,17.4,11.6,0,25.2,201.3
Jul 21,21.2,13.8,0,27.2,228.5
Aug 21,19.1,13.1,0,45.6,156.6
Sep 21,19.1,13,0,95.2,117.5
Oct 21,14.9,10.9,0,201.2,83.6
Nov 21,11.8,7.8,0,46.8,50
Dec 21,9.8,5.2,3,100.2,38.4
Jan 22,9.3,4.8,0,25.2,67.4
Feb 22,10.1,5.8,0,86.6,76
Mar 22,12.3,4.8,1,32.8,193.3
Apr 22,13.1,5.9,1,44.8,180.2
May 22,15.4,10,0,47.2,187.2
Jun 22,17.5,11.3,0,23.8,238.2
Jul 22,20.4,13.6,0,16.8,198.7
Aug 22,21.1,13.8,0,41.2,243.7
Sep 22,18.1,12,0,95.2,127.6
Oct 22,16,11.1,0,116,117.5
Nov 22,12.9,8.4,0,125.8,67.4
Dec 22,8.3,3.4,7,91.8,49.8
Jan 23,9.2,5,4,82,67.1
Feb 23,9.7,5.4,0,23.2,70.8
Mar 23,9.6,4.9,3,96.6,86.3
Apr 23,12.4,6.3,0,36,172.8
May 23,16.6,9.7,0,27.4,277.6
Jun 23,21.1,13.1,0,24.4,286.9
Jul 23,18.6,13.6,0,112.8,158.3
Aug 23,18.9,13.9,0,114.2,165.1
Sep 23,19.7,13.8,0,134,144.8
Oct 23,15.1,10.3,0,136.2,95.1
Nov 23,11.5,7.1,1,75.4,44.3
Dec 23,10.6,6.6,2,124,28
Jan 24,8.4,4.4,3,111.2,63
Feb 24,10,5.9,0,76.6,65.2
Mar 24,10.8,5.7,0,106.4,114.2
Apr 24,12.3,7,0,82.8,138
May 24,17,10.5,0,44.8,172.4
Jun 24,16.8,10.8,0,30.4,215.1
Jul 24,18,12.5,0,72,165.1
Aug 24,18.7,13.7,0,49.4,189.6
Sep 24,17,11.6,0,94.2,142.5
Oct 24,14.9,9.8,0,75.2,104.8
Nov 24,12,6.6,2,49,36.8
Dec 24,10.4,6.6,1,119.2,24
Jan 25,7.8,3.4,4,97.3,55.4
Feb 25,8.8,4.6,2,38.2,95
Mar 25,12,5.4,2,21.8,178.8
Apr 25,15.2,7.2,0,68.2,232.1
May 25,16.8,9.1,0,31,317.3
Jun 25,18.2,12.7,0,83.4,167.5
Jul 25,20.2,14.3,0,28.4,199.9
Aug 25,20.8,14.4,0,26.4,225
Sep 25,17.2,11.7,0,148.6,135.5
Oct 25,14.4,10.1,0,74,41.5
Nov 25,12,7.6,1,184.1,52.3
Dec 25,10.1,6.4,0,141.6,62.6
Jan 26,8.4,3.8,3,124.2,68.5
Feb 26,,,,123,
