well,stability,k
wmc4,0.3781578165246681,6
L7,0.8152587370826193,6
D5,0.959466984884646,6
D6,0.9762205830698981,6
D7,0.802824022608253,6
D8,0.9721255788805567,6
D9,0.8102739817256719,6
D10,0.9615275682486836,6
D15,0.5872035452322739,6
D17,0.9786025367962616,6
D25,0.33500456594102573,6
D38,0.7164336043360433,6
D41,0.962906033296836,6
T41a,0.84254413577818,6
T41b,0.964716583684412,6
T41c,0.9673729998022813,6
T41d,0.9768716142210119,6
D43,0.6763311562798836,6
D44,0.9479809253246754,6
nw1,0.7035175879396985,7
nw2,0.6878306878306878,7
nw3,0.9300736384933981,7
nw4,0.939941229810531,7
nw4b,0.9482736681370885,7
nw5,0.3898209718670077,7
nw6,0.3679306220095694,7
nw7,0.17258883248730963,7
nw9,1.0,7
nw10,1.0,7
nw11,0.6717557251908397,7
nw13,0.7211055276381909,7
ceh1,0.33663366336633666,7
ceh2,1.0,7
ceh4,0.5473666253101737,7
ceh5,0.9350239860680696,7
ceh6,0.8459161272164368,7
ceh9,0.3569553805774278,7
ceh10,0.6832247356774035,7
ceh11,0.645946763460375,7
ceh13,0.7509884517518105,7
ceh14,0.6523532958837157,7
ceh16,0.9780559423624144,7
ceh17,0.9937185929648241,7
ceh18,0.666156890967974,7
ceh19,0.9843373493975904,7
ceh20,1.0,7
ceh21,0.5243554829339143,7
ceh23,0.9569243156199678,7
ceh24,0.9118527918781726,7
ceh25,0.8849074359515194,7
ceh26,0.9451369886152494,7
ceh27,0.9216574310883774,7
ceh28,0.8719799294028414,7
ceh30,1.0,7
ceh31,0.8320328352702453,7
Ceh32,0.9808033456379133,7
ceh33,1.0,7
ceh34,1.0,7
ceh36,0.6634623043225194,7
ceh39,0.4219512195121951,7
ceh40,0.6809045226130653,7
ceh41,0.6717557251908397,7
ceh42,0.623870726830326,7
WMC1,0.9319699031929247,7
WMC2,0.6443581201442581,7
wmc3,0.19680851063829788,7
wmc4,0.7291139240506329,7
L7,0.7897842343044088,7
D5,0.9082140015910899,7
D6,0.9364418686336495,7
D7,0.7746541124787378,7
D8,0.9418180963351277,7
D9,0.7896421055435681,7
D10,0.9158415555439954,7
D15,0.45059366754617414,7
D17,0.945560606542264,7
D25,0.5163867611272941,7
D38,0.6707533875338754,7
D41,0.9261409921671018,7
T41a,0.813085307310931,7
T41b,0.926882146960661,7
T41c,0.9231872079346409,7
T41d,0.946847924385192,7
D43,0.6449164784634478,7
D44,0.8936197317668707,7
