Well,Record_start,Record_end,N_months,Mean_WL_m,Std_WL_m,Seasonal_amplitude_m,Mean_Summer_Min_m,Mean_Winter_Max_m,Missing_pct
ceh34,2010-08-01,2026-02-01,186,-0.9580376344086021,0.43283162723602686,-0.5706249999999999,-1.3085801630434784,-0.5899999999999999,25.6
llyn rhos,2010-11-01,2026-02-01,183,0.41771616053032345,0.07844806045810214,-0.0942083333333334,0.3226666666666666,0.51125,26.8
ceh36,2011-01-01,2026-02-01,181,-0.6857458563535911,0.2951285121533832,-0.5475833333333333,-1.0066666666666666,-0.34375,27.6
D25,2010-03-01,2026-02-01,174,-0.5387509864932196,0.40795302983407317,-0.7070634098198866,-0.9179527921704088,-0.1375,30.4
ceh23,2010-03-01,2026-02-01,174,-0.37463971583170846,0.32386537151451966,-0.6715059802392096,-0.8507103484139367,-0.005624999999999998,30.4
ceh28,2010-03-01,2026-02-01,171,-0.4658436562329775,0.3768770154700455,-0.7489008966661792,-0.8997619699042406,-0.006666666666666667,31.6
wmc4,2012-02-01,2026-02-01,168,-0.8083035714285713,0.4161524760715259,-0.8141428571428572,-1.3192857142857142,-0.3180000000000001,32.800000000000004
nw13,2012-02-01,2026-02-01,167,-0.7786434973190872,0.41220524580016493,-0.7976489262371613,-1.2914285714285714,-0.2926666666666667,33.2
ceh8,2006-05-01,2019-12-01,164,-0.6487388211382115,0.28888655662297424,-0.5402692307692307,-0.9985714285714286,-0.39785714285714285,34.4
ceh39,2011-01-01,2026-02-01,155,-0.5384884540807333,0.36132947535552046,-0.6672980844292318,-0.9415384615384615,-0.2206265938069217,38.0
ceh37,2011-01-01,2024-08-01,141,-0.3801060883331501,0.465026789592556,-0.7608333333333331,-0.799799789251844,0.07000000000000002,43.6
ceh40,2014-07-01,2026-02-01,139,-0.5963309352517985,0.3059178252001768,-0.6025,-0.9791666666666669,-0.24999999999999997,44.4
ceh41,2014-07-01,2026-02-01,139,-0.49338129496402877,0.35140206534914425,-0.6991666666666667,-0.9274999999999999,-0.09333333333333334,44.4
ceh42,2014-07-01,2026-02-01,139,-0.4623381294964029,0.35837359168438415,-0.6716666666666666,-0.8383333333333333,-0.028333333333333346,44.4
nw8b,2015-06-01,2026-02-01,128,-1.5017968750000001,0.36175737637294453,-0.6645454545454543,-1.917272727272727,-1.0936363636363637,48.8
FE1,2015-07-01,2026-02-01,127,-0.9332283464566927,0.39598757774680743,-0.6236363636363637,-1.3045454545454547,-0.5245454545454545,49.2
FE2,2015-07-01,2026-02-01,127,-1.6973622047244097,0.33539767131758585,-0.5581818181818181,-2.0518181818181813,-1.3436363636363635,49.2
ceh7,2006-05-01,2017-09-01,124,-0.4558691005231322,0.3149225892406672,-0.6331049519586104,-0.8363636363636363,-0.09215799614643547,50.4
ceh15,2007-08-01,2017-09-01,122,-1.0410968825584521,0.428547927138137,-0.5197636363636362,-1.316983606557377,-0.6666000000000001,51.2
nw8,2006-01-01,2016-01-01,120,-1.2817441176470588,0.36889436799720976,-0.5025653594771242,-1.5786013071895426,-0.991590909090909,52.0
FE3,2017-03-01,2026-02-01,107,-2.034607017006282,0.30554153426274006,-0.5744444444444439,-2.406666666666667,-1.703,57.199999999999996
FE4,2017-10-01,2026-02-01,100,-1.6105000000000005,0.3535516049655798,-0.5804166666666668,-2.0012499999999998,-1.241111111111111,60.0
LIS1,2017-10-01,2026-02-01,100,-0.8459999999999998,0.4189693945091377,-0.6525000000000001,-1.2537500000000001,-0.41333333333333333,60.0
