Well,Well_Normalized,Cluster,Easting,Northing,n,alpha,pvalue_alpha,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,R2,mean_resid,std_resid,ar1_phi,ar1_pvalue,ar1_sigma,ar1_significant,ar1_alpha
D10,d10,2.0,242613.907,364118.797,187,0.44901386904759155,5.596302107865362e-07,3.413406867633052,2.691778514553646,0.1687883492297749,0.8076054614452807,-5.75891087639787e-17,0.09342491507500872,-0.09338070527703271,0.2041357743275532,0.09293265358811718,False,0.05
D15,d15,3.0,241980.565,363895.719,188,0.3381899772965674,2.0499387908400715e-05,3.824439330257153,2.707376340502685,0.14218393109674776,0.8339564328135164,4.6151026263008505e-15,0.09165947491039453,-0.1217879728667291,0.09696068938517506,0.09108415820569482,False,0.05
D17,d17,2.0,242446.951,363534.961,191,0.4955493156485333,3.137160302593617e-06,3.5873952966634026,2.4515215333677696,0.18751246653508846,0.7497789053242521,2.129768147762604e-15,0.1111038420805403,-0.15589791643713527,0.03182675402663135,0.10981657281250606,True,0.05
D25,d25,3.0,242215.187,363143.807,166,0.2707202308111524,0.00018269994587667254,3.5231850400075406,2.2377612852327333,0.13106314019565374,0.8048957075141211,8.044100860650042e-16,0.08675173495515658,-0.07785317760341855,0.3296851905892173,0.08669164024519944,False,0.05
D38,d38,3.0,242711.571,363069.196,186,0.4564165666279328,1.5182910271615475e-06,4.751847512251802,2.498900713387436,0.22005170885373324,0.8172690723805225,-3.0011835310834876e-15,0.1134614311263984,-0.21665734906383635,0.003621072437286305,0.1104511812202119,True,0.05
D41,d41,2.0,242771.66,363342.853,187,0.6319852033683381,1.1051809054540271e-09,3.2047526828387105,2.5885429698477576,0.22147142480110055,0.7832305706304301,-3.099125234515143e-16,0.09518154298451391,-0.09218924574014165,0.21089476133063037,0.09498134287238005,False,0.05
T41a,t41a,3.0,242709.928,363275.666,187,0.45964688229664136,9.298269942502589e-06,4.655314144548352,2.829278820806361,0.1986568953374901,0.771213648127391,-7.290662429089263e-16,0.13203122972220918,-0.04512993233942926,0.5383198636449247,0.13115491221612297,False,0.05
T41b,t41b,2.0,242715.085,363309.565,191,0.5634396916905781,2.4479983907386645e-08,3.3149721389685207,2.4500207118333335,0.20205417449509738,0.7774051182964677,1.3252924063588255e-16,0.0963982969458226,-0.1525599010500319,0.03589973927795744,0.0953216495985525,True,0.05
T41c,t41c,2.0,242721.13,363323.682,187,0.5866165243087524,3.694068260833225e-09,3.4174425043762113,2.56952370395006,0.2111602138719313,0.8004535172202701,2.410430737956222e-16,0.09378834525900336,-0.12318394479319592,0.09381452029616402,0.09297775435381997,False,0.05
T41d,t41d,2.0,242731.987,363353.284,187,0.5744442624259,4.122792559108363e-09,3.1884336462146194,2.6286970575646267,0.21475085422100296,0.7905997090396821,-1.3886693340097546e-15,0.09352150848187264,-0.11090853934203543,0.13071198952909271,0.09286596698442115,False,0.05
D43,d43,2.0,242664.714,363428.693,191,0.38187397014653884,3.1626995558491686e-07,3.945018336674397,2.659599031133267,0.1712302805968256,0.8444544915001004,3.5149312198472886e-15,0.08907963931796693,-0.06085958291244628,0.4007547567242937,0.08811616229848244,False,0.05
D44,d44,2.0,242819.407,363279.547,191,0.6479247457145043,1.862791362684584e-09,3.5640686793015646,2.9026037425420563,0.24870777643273154,0.7450944745604265,-1.6670783427355753e-15,0.11836229517669752,-0.18667818086319576,0.00897121105843595,0.11499634626456363,True,0.05
