Well,Well_Normalized,Cluster,Easting,Northing,ridge_distance_m,n,alpha,beta_10,beta_11,beta_2,beta_3,R2,pvalue_b11,phi_resid,peak_lag,peak_r,peak_significant,sig_threshold
wmc4,wmc4,3.0,241761.0,364180.0,320.18900668199086,166,0.30201323093404864,4.2236739667167384,-0.34084334519712883,2.68401403342159,0.15343304608705788,0.8321750687528859,0.11654061501586037,-0.10881998900026492,2,0.19029328157182562,True,0.1525857930556585
L7,l7,2.0,242812.0,364395.0,1067.178054496999,198,0.23523679182806936,3.6512489008371385,0.5139328505187244,3.113644067151372,0.17657145178175598,0.8583157507634487,0.003408958224349455,0.03523039502129885,2,0.1543538181605479,True,0.13964421797630291
D5,d5,2.0,242083.407,363901.712,684.9151470021706,189,0.4607059546872818,3.564515995591532,-0.2857953544304787,2.8544702858510744,0.17354159462978627,0.7679325884622982,0.19939820540149283,-0.08778003548929664,2,0.21565663565793042,True,0.14294769166793667
D6,d6,2.0,242114.898,364021.851,601.4790242435449,189,0.4696333445483555,3.593937394222835,0.08634067776233172,3.0134705348904958,0.18187378891023237,0.8098254646777954,0.6713108888573043,-0.035795706415360354,2,0.1585144450215001,True,0.14294769166793667
D7,d7,2.0,242610.75,364204.554,910.0433513937662,178,0.591671256058119,3.7224062508148963,-0.012239842514909505,2.6152164171173284,0.22371734776237862,0.7799174752009628,0.9579617383907411,-0.16458001132578937,2,0.18692816770435539,True,0.14732262148855446
D8,d8,2.0,242676.867,364024.231,1041.8438352507394,185,0.5257410849587062,3.1648934861298694,-0.31580105571408373,2.7395039129556387,0.17666763781052267,0.7612271820309718,0.12787557139986475,-0.10275627277110065,2,0.26437441881362006,True,0.14449311703179918
D9,d9,2.0,242710.726,363910.68,1127.0725395803054,183,0.3281176666277831,3.88522644148067,-0.12282376551247078,2.8268458675727604,0.14242928881218322,0.8022320142622695,0.5715391186677743,-0.1215255049106665,2,0.20472946938923708,True,0.14528486606557584
D10,d10,2.0,242613.907,364118.797,944.2727528939906,187,0.47213534055450046,3.4468525707348094,-0.18302136192512963,2.824781876281953,0.16998368422748927,0.8028228189378512,0.35318463870161476,-0.05101291277930509,2,0.2477437566565515,True,0.14371417272092624
D15,d15,2.0,241980.565,363895.719,646.7733344735402,188,0.34925947261476264,3.83627690035845,-0.07164642301805335,2.8054400762646443,0.1425123998560095,0.8264361002301296,0.7133452522713181,-0.08799904134159825,2,0.18708023309111935,True,0.1433293951289176
D17,d17,2.0,242446.951,363534.961,1190.3952990170876,189,0.52503375012951,3.6453624404895737,-0.3713865141848333,2.66622874582231,0.18569093414629884,0.749337417685597,0.1128715664423711,-0.11506018928061258,2,0.27359349926455084,True,0.14294769166793667
D25,d25,3.0,242215.187,363143.807,1433.7567430418878,168,0.27171031619975333,3.3925421949354844,0.4030305077529997,2.024190077995491,0.14018444859267626,0.779865654284397,0.052187994640738825,-0.016874316520977605,2,0.16628498741313105,True,0.1516693535766908
D38,d38,2.0,242711.571,363069.196,1723.8964221950816,186,0.5228468672168483,4.799336276472764,-0.45427951434924546,2.8284011270921603,0.22559298557235016,0.8269461069567015,0.05786913282423626,-0.15441592358818018,2,0.26867292992970265,True,0.1441020659303863
D41,d41,2.0,242771.66,363342.853,1543.6250630282605,187,0.6725177040381681,3.2073028958650642,-0.0905243204520842,2.764668204308503,0.22904236799521024,0.761016615474927,0.6726512738453746,-0.07477871068307876,2,0.2394662596218876,True,0.14371417272092624
T41a,t41a,2.0,242709.928,363275.666,1555.7813177757223,187,0.5024323499087555,4.658879999916347,-0.1969047061113916,3.012724258113679,0.2038198983908741,0.7680968193861545,0.48288776148325757,-0.02633098194031125,2,0.2403840741799973,True,0.14371417272092624
T41b,t41b,2.0,242715.085,363309.565,1532.489656229359,189,0.5849117217716634,3.31610505552814,0.009282319691420442,2.5010573722519642,0.20773360871108196,0.7738075205966286,0.9636587249991415,-0.1328327961219792,2,0.24084100694187566,True,0.14294769166793667
T41c,t41c,2.0,242721.13,363323.682,1525.3909380955677,187,0.6447235800380409,3.3959339300674243,-0.1598769166468925,2.7190719775911805,0.22213594643901924,0.7973506244304074,0.41956544105654464,-0.10627288292715432,2,0.23505439232196013,True,0.14371417272092624
T41d,t41d,2.0,242731.987,363353.284,1509.7205214293874,187,0.6109846746084983,3.1758107431565725,-0.007181981804559111,2.7399126025175047,0.22359142666320433,0.7883370723546834,0.9708500278479612,-0.09223399045729974,2,0.20023177757660474,True,0.14371417272092624
D43,d43,2.0,242664.714,363428.693,1408.6874706779188,189,0.4093924639462933,3.9237880651418036,0.033835498273633725,2.7461934555282412,0.17868591231817438,0.8395412700165865,0.8586331497732012,-0.043264106664303574,2,0.2650040670286585,True,0.14294769166793667
D44,d44,2.0,242819.407,363279.547,1622.6943202149823,189,0.6635542129961874,3.621703270252051,-0.27511768399028674,3.069570913481366,0.2451910678372695,0.7449165527889632,0.27011397085210037,-0.16505398038410846,2,0.30822924893214737,True,0.14294769166793667
