Name,E,N,DEM_Ground_Elev,DGPS_Ground_Elev,Upstand_m,Pipe_Top_Elev,Upstand_Estimated,dist_coast_m,aliases,ground_source,Match_ID,ground_elev_m,pipe_top_elev_m,in_forest,in_1998_replant,dist_1998_replant_m,dist_broadleaf_restock_m
FE1,241338.0,363744.0,8.7,,0.1,8.8,False,770.9,f1,lidar,fe1,8.7,8.799999999999999,True,,203.5566414556322,397.12917813991817
FE3,241104.1,363546.1,7.54,,0.06,7.6,False,481.2,f3,lidar,fe3,7.54,7.6,True,2,0.0,681.6476266277286
LIS1,241406.0,363720.0,8.55,,0.03,8.58,True,790.4,,lidar,lis1,8.55,8.58,False,,272.38871347069426,386.412343084429
FE4,241223.2,363692.4,9.13,,0.06,9.19,False,666.7,f4,lidar,fe4,9.13,9.190000000000001,True,,101.40601125015948,496.56676991799225
p2,242303.0,364558.0,9.0,,0.03,9.03,True,2005.6,,lidar,p2,9.0,9.03,False,,1081.8312134743894,683.1072310304413
pw,242056.0,363286.0,6.88,,0.03,6.91,True,888.0,,lidar,pw,6.88,6.91,False,,956.0610997940855,887.2905148861638
pe,242739.0,362823.0,5.15,,0.03,5.18,True,956.8,,lidar,pe,5.15,5.180000000000001,False,,1760.0120547807226,1670.4886376150828
pdfs,240651.0,363372.0,3.547,,0.03,3.577,True,118.9,,lidar,pdfs,3.547,3.577,False,,293.08491732157245,1089.6041113933234
p1,241243.0,363283.0,6.825,,0.03,6.855,True,347.6,,lidar,p1,6.825,6.855,False,,265.0159299857524,849.7120582429302
llyn rhos,242560.208,364820.878,7.34,7.34,0.0,7.34,False,,Llyn Rhos Ddu,dgps,llynrhos,7.34,7.34,False,,1432.9898506770828,1042.9733781311809
d29b,243601.797,363438.979,3.849,3.799,0.05,,False,1765.6,co-located with D29 (nominal +1 m E),dgps,d29b,3.799,3.8489999999999998,False,,2365.3812437684524,2035.7594011296833
