Date,C1,C2,C3,C4,C5,Lake_Edge,Eastern_Block,Western_Block,Forest,Coastal_Forest,P_mm,PET_mm
2011-09-01,-1.0857142857142859,-1.2867320111005518,-1.5509960839283918,-2.1794122332444266,-1.7939999999999998,-1.0857142857142859,-1.2867320111005518,-1.5509960839283918,-2.1794122332444266,-1.7939999999999998,91.0,71.05917307329871
2011-10-01,-0.8991841881771624,-1.2090173406500189,-1.504801572008011,-2.2100756905287624,-1.781311475409836,-0.8991841881771624,-1.2090173406500189,-1.504801572008011,-2.2100756905287624,-1.781311475409836,76.59999999999991,52.4990940799882
2011-11-01,-0.7064364207221351,-1.1345886121965625,-1.4333911532947214,-2.2812588775852967,-1.7681999999999998,-0.7064364207221351,-1.1345886121965625,-1.4333911532947214,-2.2812588775852967,-1.7681999999999998,61.7999999999999,32.6532559982408
2011-12-01,-0.6414285714285715,-1.0887019431790674,-1.5013048817677555,-2.3492037470725995,-1.7721999999999998,-0.6414285714285715,-1.0887019431790674,-1.5013048817677555,-2.3492037470725995,-1.7721999999999998,89.39999999999999,20.8270396712716
2012-01-01,-0.3242857142857143,-0.869,-1.336666666666667,-2.155314207650273,-1.6122,-0.3242857142857143,-0.869,-1.336666666666667,-2.155314207650273,-1.6122,60.6,20.365667243680498
2012-02-01,-0.4514285714285714,-0.8550000000000001,-1.31,-2.13396174863388,-1.6461999999999997,-0.4514285714285714,-0.8550000000000001,-1.31,-2.13396174863388,-1.6461999999999997,37.3999999999999,20.663863818500698
2012-03-01,-0.4907619047619048,-0.8608695652173912,-1.3198,-2.16801912568306,-1.7241999999999997,-0.4907619047619048,-0.8608695652173912,-1.3198,-2.16801912568306,-1.7241999999999997,19.0,41.9238411662375
2012-04-01,-0.6900000000000001,-1.0186318525519849,-1.448,-2.306,-1.8061999999999998,-0.6900000000000001,-1.0186318525519849,-1.448,-2.306,-1.8061999999999998,65.4,41.6138022856296
2012-05-01,-0.7114285714285714,-1.0794361413043478,-1.527114754098361,-2.4,-1.8661999999999999,-0.7114285714285714,-1.0794361413043478,-1.527114754098361,-2.4,-1.8661999999999999,47.7999999999999,72.8607278127801
2012-06-01,-0.8371428571428572,-1.1531250000000002,-1.5855555555555554,-2.4520000000000004,-1.9102000000000001,-0.8371428571428572,-1.1531250000000002,-1.5855555555555554,-2.4520000000000004,-1.9102000000000001,107.39999999999999,88.3733741386071
2012-07-01,-0.6257142857142857,-1.065217391304348,-1.5640036429872497,-2.49,-1.9002,-0.6257142857142857,-1.065217391304348,-1.5640036429872497,-2.49,-1.9002,70.6,97.45236196305811
2012-08-01,-0.7571428571428572,-1.0721739130434782,-1.436,-2.344,-1.7982,-0.7571428571428572,-1.0721739130434782,-1.436,-2.344,-1.7982,110.7,99.46227777514
2012-09-01,-0.43285714285714283,-0.9179166666666667,-1.3348278867102397,-2.392,-1.7502,-0.43285714285714283,-0.9179166666666667,-1.3348278867102397,-2.392,-1.7502,112.0,66.9019905263724
2012-10-01,-0.31142857142857144,-0.7633333333333333,-1.2489869281045751,-2.282,-1.6742000000000001,-0.31142857142857144,-0.7633333333333333,-1.2489869281045751,-2.282,-1.6742000000000001,113.5999999999999,43.973464989857696
2012-11-01,-0.007142857142857141,-0.3641666666666667,-1.0297770088427527,-2.0585714285714283,-1.4722000000000002,-0.007142857142857141,-0.3641666666666667,-1.0297770088427527,-2.0585714285714283,-1.4722000000000002,149.2,25.3275967219308
2012-12-01,0.08857142857142859,-0.035341530054644806,-0.66125,-1.6966666666666665,-1.1702,0.08857142857142859,-0.035341530054644806,-0.66125,-1.6966666666666665,-1.1702,128.0,18.1069981900302
2013-01-01,0.14285714285714285,0.05541666666666665,-0.3141176470588235,-1.2733333333333334,-0.9481999999999999,0.14285714285714285,0.05541666666666665,-0.3141176470588235,-1.2733333333333334,-0.9481999999999999,62.2999999999999,14.7164033502977
2013-02-01,0.13428571428571429,0.05499999999999999,-0.2823529411764706,-1.0711111111111111,-0.9242000000000001,0.13428571428571429,0.05499999999999999,-0.2823529411764706,-1.0711111111111111,-0.9242000000000001,60.3999999999999,14.6805611443672
2013-03-01,0.045714285714285714,-0.009166666666666675,-0.32529411764705884,-0.8544444444444446,-0.9301999999999999,0.045714285714285714,-0.009166666666666675,-0.32529411764705884,-0.8544444444444446,-0.9301999999999999,89.39999999999999,16.6636880976975
2013-04-01,-0.14482435597189694,-0.12708333333333335,-0.48411764705882354,-0.8877777777777778,-1.0442,-0.14482435597189694,-0.12708333333333335,-0.48411764705882354,-0.8877777777777778,-1.0442,32.7999999999999,38.23465331538
2013-05-01,-0.37714285714285717,-0.3670833333333334,-0.6623529411764707,-1.0488888888888888,-1.1461999999999999,-0.37714285714285717,-0.3670833333333334,-0.6623529411764707,-1.0488888888888888,-1.1461999999999999,40.0,65.9563539326807
2013-06-01,-0.4685714285714286,-0.5220833333333333,-0.8023529411764706,-1.1633333333333333,-1.2601999999999998,-0.4685714285714286,-0.5220833333333333,-0.8023529411764706,-1.1633333333333333,-1.2601999999999998,32.2,92.156115381731
2013-07-01,-0.6857142857142858,-0.7391666666666666,-0.98,-1.2911111111111113,-1.3622,-0.6857142857142858,-0.7391666666666666,-0.98,-1.2911111111111113,-1.3622,42.0,119.6372012792921
2013-08-01,-0.8085714285714285,-0.8937500000000002,-1.156470588235294,-1.4633333333333334,-1.4802,-0.8085714285714285,-0.8937500000000002,-1.156470588235294,-1.4633333333333334,-1.4802,68.1,96.7015058236402
2013-09-01,-0.8042857142857142,-0.9233333333333333,-1.1694117647058828,-1.5066666666666668,-1.4982,-0.8042857142857142,-0.9233333333333333,-1.1694117647058828,-1.5066666666666668,-1.4982,76.2,69.6936960170184
2013-10-01,-0.7828571428571429,-0.9808333333333333,-1.2252600875060768,-1.5955555555555554,-1.5462,-0.7828571428571429,-0.9808333333333333,-1.2252600875060768,-1.5955555555555554,-1.5462,173.8,55.098359383733005
2013-11-01,-0.32999999999999996,-0.6412500000000001,-0.9868327661643171,-1.4866666666666668,-1.3721999999999999,-0.32999999999999996,-0.6412500000000001,-0.9868327661643171,-1.4866666666666668,-1.3721999999999999,35.8,26.037433833850198
2013-12-01,-0.45000000000000007,-0.6929166666666666,-1.018563441905688,-1.5022222222222221,-1.3922,-0.45000000000000007,-0.6929166666666666,-1.018563441905688,-1.5022222222222221,-1.3922,131.0,24.0293433675761
2014-01-01,-0.027142857142857146,-0.26499999999999996,-0.7787499999999998,-1.4288888888888889,-1.2522,-0.027142857142857146,-0.26499999999999996,-0.7787499999999998,-1.4288888888888889,-1.2522,159.1999999999999,18.9602648944272
2014-02-01,0.07142857142857142,-0.0037499999999999986,-0.32529411764705884,-0.9400000000000001,-0.8582000000000001,0.07142857142857142,-0.0037499999999999986,-0.32529411764705884,-0.9400000000000001,-0.8582000000000001,102.6,21.1308212565443
2014-03-01,0.11285714285714286,0.026250000000000006,-0.21058823529411763,-0.7588888888888888,-0.7182000000000001,0.11285714285714286,0.026250000000000006,-0.21058823529411763,-0.7588888888888888,-0.7182000000000001,54.0,33.6430611274469
2014-04-01,-0.04142857142857143,-0.04333333333333334,-0.29000000000000004,-0.7411111111111112,-0.8282,-0.04142857142857143,-0.04333333333333334,-0.29000000000000004,-0.7411111111111112,-0.8282,36.0,51.3863611387721
2014-05-01,-0.27285714285714285,-0.21375000000000002,-0.5065300546448088,-0.8922222222222221,-0.9862,-0.27285714285714285,-0.21375000000000002,-0.5065300546448088,-0.8922222222222221,-0.9862,92.8,73.21133155253939
2014-06-01,-0.3614285714285715,-0.38916666666666666,-0.6161111111111112,-0.9811111111111112,-1.0981999999999998,-0.3614285714285715,-0.38916666666666666,-0.6161111111111112,-0.9811111111111112,-1.0981999999999998,46.7999999999999,95.0617894328077
2014-07-01,-0.6871428571428572,-0.7000000000000001,-0.8611111111111112,-1.171111111111111,-1.2362,-0.6871428571428572,-0.7000000000000001,-0.8611111111111112,-1.171111111111111,-1.2362,48.2,111.4667149283253
2014-08-01,-0.8671428571428572,-0.8761538461538461,-1.0231578947368423,-1.347777777777778,-1.3601999999999999,-0.8671428571428572,-0.8761538461538461,-1.0231578947368423,-1.347777777777778,-1.3601999999999999,109.39999999999999,86.78424076054431
2014-09-01,-0.8571428571428571,-0.9619230769230769,-1.1237446074201898,-1.4844444444444445,-1.4322,-0.8571428571428571,-0.9619230769230769,-1.1237446074201898,-1.4844444444444445,-1.4322,8.0,73.28476318429699
2014-10-01,-0.9928571428571429,-1.115,-1.2526315789473685,-1.6400000000000001,-1.5262,-0.9928571428571429,-1.115,-1.2526315789473685,-1.6400000000000001,-1.5262,158.6,51.0163115657431
2014-11-01,-0.3614285714285715,-0.6380769230769231,-0.9368421052631579,-1.5055555555555555,-1.3182,-0.3614285714285715,-0.6380769230769231,-0.9368421052631579,-1.5055555555555555,-1.3182,59.0,27.6717307400491
2014-12-01,-0.41571428571428565,-0.5807692307692307,-0.8531578947368421,-1.4044444444444446,-1.2302,-0.41571428571428565,-0.5807692307692307,-0.8531578947368421,-1.4044444444444446,-1.2302,68.4,18.915756334531903
2015-01-01,-0.20285714285714285,-0.45230769230769236,-0.7952631578947369,-1.441111111111111,-1.2942,-0.20285714285714285,-0.45230769230769236,-0.7952631578947369,-1.441111111111111,-1.2942,76.59999999999991,17.9120938067647
2015-02-01,-0.13314769975786925,-0.30961538461538457,-0.6752631578947369,-1.321111111111111,-1.2062,-0.13314769975786925,-0.30961538461538457,-0.6752631578947369,-1.321111111111111,-1.2062,34.0,16.758028259312
2015-03-01,-0.2914285714285714,-0.4523076923076923,-0.8215789473684211,-1.4188888888888889,-1.3081999999999998,-0.2914285714285714,-0.4523076923076923,-0.8215789473684211,-1.4188888888888889,-1.3081999999999998,59.0,29.221798091818098
2015-04-01,-0.30428571428571427,-0.49846153846153857,-0.8831578947368421,-1.461111111111111,-1.3782,-0.30428571428571427,-0.49846153846153857,-0.8831578947368421,-1.461111111111111,-1.3782,36.0,45.919310303167
2015-05-01,-0.5685714285714285,-0.7046153846153846,-1.0142105263157897,-1.5655555555555558,-1.4742,-0.5685714285714285,-0.7046153846153846,-1.0142105263157897,-1.5655555555555558,-1.4742,111.0,65.528025554843
2015-06-01,-0.4014285714285714,-0.6265384615384615,-0.9978947368421053,-1.5744444444444445,-1.4702,-0.4014285714285714,-0.6265384615384615,-0.9978947368421053,-1.5744444444444445,-1.4702,28.2,88.40721893006891
2015-07-01,-0.7700000000000001,-0.8834615384615383,-1.1578947368421053,-1.6833333333333331,-1.5622,-0.7700000000000001,-0.8834615384615383,-1.1578947368421053,-1.6833333333333331,-1.5622,66.4,100.5021070913783
2015-08-01,-0.8614285714285715,-1.0007692307692309,-1.2652631578947369,-1.808888888888889,-1.5962,-0.8614285714285715,-1.0007692307692309,-1.2652631578947369,-1.808888888888889,-1.5962,68.8,91.98461159378
2015-09-01,-0.9528571428571428,-1.136153846153846,-1.3562812769628991,-1.9322222222222223,-1.6682000000000001,-0.9528571428571428,-1.136153846153846,-1.3562812769628991,-1.9322222222222223,-1.6682000000000001,45.199999999999996,64.7883702674166
2015-10-01,-1.0314285714285714,-1.2301986475063396,-1.4279178716020822,-2.05,-1.6982,-1.0314285714285714,-1.2301986475063396,-1.4279178716020822,-2.05,-1.6982,60.199999999999996,48.0001375870365
2015-11-01,-0.8785714285714288,-1.2187231683826893,-1.4443944666205235,-2.100983606557377,-1.7402000000000002,-0.8785714285714288,-1.2187231683826893,-1.4443944666205235,-2.100983606557377,-1.7402000000000002,134.4,33.2604770452743
2015-12-01,-0.33142857142857146,-0.8473076923076923,-1.1826315789473685,-1.9659380692167576,-1.6001999999999998,-0.33142857142857146,-0.8473076923076923,-1.1826315789473685,-1.9659380692167576,-1.6001999999999998,254.2,28.8951701427901
2016-01-01,0.10857142857142857,-0.0038461538461538394,-0.3331578947368421,-1.3533333333333333,-0.9442,0.10857142857142857,-0.0038461538461538394,-0.3331578947368421,-1.3533333333333333,-0.9442,110.39999999999999,20.9265813637323
2016-02-01,0.09999999999999999,0.006153846153846157,-0.22210526315789478,-1.0499999999999998,-0.8482,0.09999999999999999,0.006153846153846157,-0.22210526315789478,-1.0499999999999998,-0.8482,81.19999999999999,19.320782355323598
2016-03-01,0.11142857142857142,0.02115384615384615,-0.14,-0.8422222222222222,-0.8102,0.11142857142857142,0.02115384615384615,-0.14,-0.8422222222222222,-0.8102,56.599999999999994,28.120460778883903
2016-04-01,0.0042857142857142885,-0.05730769230769231,-0.2763157894736842,-0.8522222222222222,-0.9621999999999999,0.0042857142857142885,-0.05730769230769231,-0.2763157894736842,-0.8522222222222222,-0.9621999999999999,81.0,40.7997000451405
