Date,P_m,PET
1958-12-01,0.0871,0.01817896534089035
1959-01-01,0.11059999999999999,0.01283219348648779
1959-02-01,0.016800000000000002,0.02093812689104939
1959-03-01,0.0385,0.03639473493781229
1959-04-01,0.0544,0.04952188389772524
1959-05-01,0.0442,0.08165982127562717
1959-06-01,0.040799999999999996,0.09631306274856484
1959-07-01,0.027100000000000003,0.10648563579016924
1959-08-01,0.004900000000000001,0.09878613435564469
1959-09-01,0.0207,0.07320488449773078
1959-10-01,0.13319999999999999,0.055246493243996726
1959-11-01,0.187,0.026539290826341506
1959-12-01,0.156,0.019690503276327424
1960-01-01,0.12819999999999998,0.015301991518557934
1960-02-01,0.0964,0.014648634710820166
1960-03-01,0.041,0.03126771953918109
1960-04-01,0.0573,0.04513066687744509
1960-05-01,0.0356,0.07665149957514095
1960-06-01,0.0299,0.09899979024694974
1960-07-01,0.07690000000000001,0.09714514694684262
1960-08-01,0.049,0.08861712376937261
1960-09-01,0.09759999999999999,0.0649279688545629
1960-10-01,0.1403,0.04476925898759066
1960-11-01,0.1829,0.0271704638524649
1960-12-01,0.11009999999999999,0.015156395574519088
1961-01-01,0.13390000000000002,0.014189647911761373
1961-02-01,0.07640000000000001,0.024386567469338004
1961-03-01,0.0141,0.037711571489564125
1961-04-01,0.1034,0.051611779653824526
1961-05-01,0.0489,0.07010948210876602
1961-06-01,0.040100000000000004,0.08931081518395338
1961-07-01,0.0694,0.09611853643655607
1961-08-01,0.1057,0.0897767389181528
1961-09-01,0.0866,0.07438598015993006
1961-10-01,0.17930000000000001,0.04717185198895802
1961-11-01,0.1044,0.02483131335812876
1961-12-01,0.09440000000000001,0.011608986308117098
1962-01-01,0.1067,0.016648026183958338
1962-02-01,0.040299999999999996,0.01935677947890138
1962-03-01,0.0469,0.01733006957232281
1962-04-01,0.0367,0.043359784349795476
1962-05-01,0.0624,0.06707934670824793
1962-06-01,0.0415,0.08657206949675451
1962-07-01,0.0439,0.10007084223039393
1962-08-01,0.0819,0.08767363067585626
1962-09-01,0.0693,0.06750501441836274
1962-10-01,0.041100000000000005,0.049428358553137444
1962-11-01,0.0997,0.026140024543580557
1962-12-01,0.0593,0.014853530154343769
1963-01-01,0.019100000000000002,0.0007068645250467422
1963-02-01,0.0119,0.005875584323470128
1963-03-01,0.1075,0.03434688520551918
1963-04-01,0.0765,0.0477176476974303
1963-05-01,0.0538,0.06979262926656257
1963-06-01,0.09440000000000001,0.09879682978232852
1963-07-01,0.0206,0.10060132873034919
1963-08-01,0.1187,0.09178493573837962
1963-09-01,0.0685,0.06666809029895888
1963-10-01,0.0681,0.05143385850653187
1963-11-01,0.1274,0.03052384753095858
1963-12-01,0.0173,0.01403997026655766
1964-01-01,0.0246,0.01904851703672865
1964-02-01,0.0147,0.020532250893991452
1964-03-01,0.0783,0.028244356057057295
1964-04-01,0.045,0.04995098654861569
1964-05-01,0.0717,0.08182634188845883
1964-06-01,0.0679,0.08963977548235956
1964-07-01,0.055299999999999995,0.1026262304652098
1964-08-01,0.0831,0.09168718451153086
1964-09-01,0.0512,0.07138371774147259
1964-10-01,0.0875,0.04275311580156047
1964-11-01,0.0736,0.028354627915571577
1964-12-01,0.17859999999999998,0.016922119910753004
1965-01-01,0.119,0.014756595430566927
1965-02-01,0.01,0.01430860767487922
1965-03-01,0.0519,0.02937360999368135
1965-04-01,0.0458,0.04635059726743683
1965-05-01,0.0572,0.07255145257133461
1965-06-01,0.11109999999999999,0.091783858515424
1965-07-01,0.0775,0.0975240093211297
1965-08-01,0.0805,0.09250572045928902
1965-09-01,0.11040000000000001,0.06392722688597297
1965-10-01,0.0702,0.05137530663140465
1965-11-01,0.1037,0.020454678342713965
1965-12-01,0.1687,0.019770285114486974
1966-01-01,0.0516,0.014471577001400294
1966-02-01,0.1092,0.022560653642227587
1966-03-01,0.0506,0.03575822004723053
1966-04-01,0.0935,0.04257397959201177
1966-05-01,0.0545,0.07266074484646048
1966-06-01,0.08109999999999999,0.09914093567585083
1966-07-01,0.047299999999999995,0.10134416613712205
1966-08-01,0.0884,0.09021629272850014
1966-09-01,0.07629999999999999,0.07047006156667893
1966-10-01,0.098,0.04619563728765305
1966-11-01,0.0567,0.023905040729303925
1966-12-01,0.1133,0.02088611310722838
1967-01-01,0.0528,0.01865389155212447
1967-02-01,0.0734,0.021179763049170738
1967-03-01,0.0298,0.034364025662134326
1967-04-01,0.046700000000000005,0.04347221745063976
1967-05-01,0.1225,0.06340746533177627
1967-06-01,0.038200000000000005,0.09123005388448158
1967-07-01,0.0999,0.1054428974859773
1967-08-01,0.0474,0.09287589445891808
1967-09-01,0.1185,0.06766685723323379
1967-10-01,0.1718,0.048095365912856555
1967-11-01,0.0798,0.0232015933482929
1967-12-01,0.0813,0.018730756529678268
1968-01-01,0.08929999999999999,0.018877533028034264
1968-02-01,0.0439,0.012376180390517152
1968-03-01,0.053399999999999996,0.031159788531707734
1968-04-01,0.0627,0.044843305470424616
1968-05-01,0.0559,0.06298641333305156
