Well,Well_Normalized,Months_Used,OneStep_R2_Traditional,OneStep_R2_StateSpace,OneStep_R2_Improvement,Iterative_R2_Traditional,Iterative_R2_StateSpace,Iterative_R2_Improvement,Iterative_NSE_Traditional,Iterative_NSE_StateSpace,Iterative_NSE_Improvement,Beta_P_StateSpace,Beta_PET_StateSpace,Beta_hdisp_StateSpace,pvalue_beta_1_StateSpace,pvalue_beta_2_StateSpace,pvalue_beta_3_StateSpace,R2_StateSpace_fit
CEH32,ceh32,100,0.9439719172467973,0.9439608158959881,-1.110135080917285e-05,0.6367109745599928,0.6730922523964019,0.0363812778364091,0.5412458977682995,0.661816348774139,0.12057045100583952,2.3392662148648475,2.4806305977354612,0.01625546523367688,5.593508922888946e-19,3.9414819209078713e-13,0.1890289241877374,0.6792360902878012
CEH33,ceh33,100,0.9441666219507686,0.9441865264576991,1.990450693045709e-05,0.6796184380946954,0.7361159302972252,0.056497492202529864,0.640869664000003,0.726707603615961,0.08583793961595798,2.2293900110189084,2.1246627502320115,0.022615706376002118,1.8984758198432643e-20,7.929921765212271e-13,0.044563569614186734,0.7003197419478581
CEH34,ceh34,100,0.9626505117306253,0.9626516577864197,1.1460557943765437e-06,0.6734724478644373,0.6964028634338939,0.02293041556945663,0.5537617136888688,0.650312834092707,0.09655112040383818,2.3328866820707588,2.5811745861675695,0.009387441007877563,7.27941583720674e-23,7.550225231639227e-18,0.21943868139783013,0.7747145688768642
CEH36,ceh36,100,0.9189572772094075,0.9209637754987969,0.00200649828938948,0.6651981869961895,0.8230302252123253,0.15783203821613578,0.562120838030415,0.8205861750025463,0.25846533697213125,2.7644655058886887,0.8835347899674448,0.050610543589148335,1.3231241575845385e-25,0.0003227018055350864,4.5695965920585246e-10,0.7218479932466587
CEH39,ceh39,100,0.9475909572654397,0.9479954305047558,0.00040447323931602774,0.6930163502872394,0.7993356929744364,0.106319342687197,0.604466828225462,0.7964823291499037,0.19201550092444164,3.0087797729148997,2.0443427709617366,0.0335400388138642,1.3818433882305865e-27,1.5709463554498318e-12,9.778516314176575e-06,0.786293194811946
CEH4,ceh4,100,0.9381642831713768,0.9408445922525178,0.00268030908114103,0.6292479228505065,0.832421352504164,0.2031734296536576,0.4125397151811946,0.8254931835480592,0.41295346836686464,3.4750231463614503,0.967566189390509,0.06909535903712893,1.1842216356829766e-34,3.4404454053017276e-05,2.9838742895606163e-16,0.814863534003936
CEH40,ceh40,100,0.8977299453872752,0.8981391944355973,0.000409249048322069,0.6498820461589281,0.7576093951139136,0.10772734895498548,0.5237919182624619,0.7303640054132674,0.20657208715080555,2.808513419832872,1.6460124149561095,0.03714287468246382,1.0679149157220621e-19,6.556805014969393e-07,9.24923788775541e-05,0.6623006841576391
CEH41,ceh41,100,0.9263754840612302,0.9270368317325268,0.0006613476712966637,0.691069291963319,0.7945092020785358,0.1034399101152168,0.6184292081078959,0.7802164715263069,0.161787263418411,3.193855393800363,2.0771007542968807,0.037323126880347786,2.5314182182682667e-24,2.947591319037942e-10,1.9566374753574732e-05,0.740540084148981
CEH42,ceh42,100,0.9207723236487324,0.9226066888781034,0.0018343652293709711,0.5751681421672137,0.7652635728205347,0.19009543065332102,0.5378642114177399,0.7643743003463345,0.2265100889285946,3.203388726953886,1.1973139336403142,0.05176654404258359,9.920064842424571e-24,8.470613203606383e-05,1.3757816494432913e-08,0.6976302439595436
CEH5,ceh5,100,0.917247678294948,0.9263355503559223,0.009087872060974278,0.5601138963286071,0.8016716116872384,0.24155771535863135,0.35402470322399615,0.7778996179497008,0.4238749147257046,5.289010726002564,1.2510057628471714,0.0983242060374733,9.148355542590966e-34,0.0003153307790217697,7.798426635915229e-18,0.7970025186553041
