month,median_level_modelled_m,median_level_calibrated_m,n_wells_run,median_level_observed_m,n_wells_observed,above_fitted_range,spin_up,climate_flagged,open_water_ha,wet_floor_ha,open_water_ha_raw_level,wet_floor_ha_raw_level
1995-09,-1.621,-1.293,66,,,False,False,False,0.081,16.34,0.019,11.943
1995-10,-1.518,-1.258,66,,,False,False,False,0.094,16.888,0.03,13.179
1995-11,-1.451,-1.221,66,,,False,False,False,0.111,17.504,0.04,14.042
1995-12,-1.346,-1.173,66,,,False,False,False,0.138,18.323,0.064,15.532
1996-01,-1.344,-1.172,66,,,False,False,False,0.138,18.328,0.064,15.553
1996-02,-1.252,-1.08,66,,,False,False,False,0.208,20.016,0.097,16.98
1996-03,-1.251,-1.08,66,,,False,False,False,0.208,20.016,0.097,17.004
1996-04,-1.275,-1.08,66,,,False,False,False,0.208,20.016,0.087,16.614
1996-05,-1.338,-1.171,66,,,False,False,False,0.139,18.353,0.066,15.649
1996-06,-1.522,-1.26,66,,,False,False,False,0.093,16.852,0.029,13.124
1996-07,-1.703,-1.345,66,,,False,False,False,0.064,15.538,0.013,11.05
1996-08,-1.729,-1.362,66,,,False,False,False,0.059,15.291,0.012,10.78
1996-09,-1.872,-1.455,66,,,False,False,False,0.039,13.998,0.006,9.404
1996-10,-1.735,-1.366,66,,,False,False,False,0.058,15.233,0.011,10.716
1996-11,-1.453,-1.221,66,,,False,False,False,0.111,17.493,0.04,14.023
1996-12,-1.499,-1.247,66,,,False,False,False,0.099,17.061,0.032,13.418
1997-01,-1.621,-1.293,66,,,False,False,False,0.081,16.342,0.019,11.945
1997-02,-1.52,-1.259,66,,,False,False,False,0.094,16.871,0.03,13.156
1997-03,-1.649,-1.31,66,,,False,False,False,0.075,16.067,0.017,11.636
1997-04,-1.744,-1.372,66,,,False,False,False,0.057,15.15,0.011,10.626
1997-05,-1.764,-1.385,66,,,False,False,False,0.054,14.961,0.01,10.422
1997-06,-1.675,-1.328,66,,,False,False,False,0.069,15.804,0.015,11.344
1997-07,-1.725,-1.36,66,,,False,False,False,0.06,15.322,0.012,10.813
1997-08,-1.833,-1.43,66,,,False,False,False,0.044,14.339,0.007,9.76
1997-09,-1.935,-1.496,66,,,False,False,False,0.033,13.462,0.005,8.854
1997-10,-1.973,-1.52,66,,,False,False,False,0.03,13.151,0.004,8.54
1997-11,-1.733,-1.365,66,,,False,False,False,0.059,15.252,0.012,10.737
1997-12,-1.515,-1.257,66,,,False,False,False,0.095,16.912,0.03,13.212
1998-01,-1.333,-1.168,66,,,False,False,False,0.141,18.401,0.068,15.726
1998-02,-1.408,-1.21,66,,,False,False,False,0.117,17.681,0.049,14.64
1998-03,-1.261,-1.08,66,,,False,False,False,0.208,20.016,0.093,16.835
1998-04,-1.152,-0.984,66,,,False,False,False,0.317,21.926,0.151,18.695
1998-05,-1.377,-1.19,66,,,False,False,False,0.128,18.021,0.056,15.08
1998-06,-1.181,-1.037,66,,,False,False,False,0.251,20.852,0.133,18.177
1998-07,-1.361,-1.18,66,,,False,False,False,0.133,18.189,0.06,15.311
1998-08,-1.479,-1.236,66,,,False,False,False,0.104,17.243,0.035,13.672
1998-09,-1.576,-1.277,66,,,False,False,False,0.087,16.589,0.023,12.475
1998-10,-1.346,-1.173,66,,,False,False,False,0.138,18.323,0.064,15.534
1998-11,-1.066,-0.861,66,,,False,False,False,0.549,24.674,0.221,20.282
1998-12,-0.931,-0.784,66,,,False,False,False,0.771,26.539,0.401,23.063
1999-01,-0.627,-0.424,66,,,False,False,False,3.806,37.427,1.548,30.839
1999-02,-0.67,-0.504,66,,,False,False,False,2.676,34.694,1.277,29.588
1999-03,-0.724,-0.59,66,,,False,False,False,1.824,31.946,1.005,28.099
1999-04,-0.733,-0.59,66,,,False,False,False,1.824,31.946,0.966,27.86
1999-05,-0.891,-0.73,66,,,False,False,False,0.98,27.952,0.48,23.964
1999-06,-0.919,-0.77,66,,,False,False,False,0.821,26.905,0.424,23.331
1999-07,-1.219,-1.071,66,,,False,False,False,0.216,20.192,0.112,17.534
1999-08,-1.222,-1.072,66,,,False,False,False,0.216,20.173,0.111,17.481
1999-09,-0.966,-0.818,66,,,False,False,False,0.664,25.702,0.344,22.313
1999-10,-0.995,-0.83,66,,,False,False,False,0.629,25.408,0.303,21.712
1999-11,-0.958,-0.815,66,,,False,False,False,0.673,25.774,0.357,22.493
1999-12,-0.798,-0.66,66,,,False,False,False,1.337,29.882,0.726,26.201
2000-01,-0.695,-0.552,66,,,False,False,False,2.155,33.114,1.146,28.905
2000-02,-0.557,-0.36,66,,,False,False,False,5.055,39.786,2.114,32.979
2000-03,-0.67,-0.502,66,,,False,False,False,2.694,34.746,1.279,29.598
2000-04,-0.673,-0.511,66,,,False,False,False,2.587,34.443,1.261,29.506
2000-05,-0.82,-0.683,66,,,False,False,False,1.207,29.23,0.659,25.658
2000-06,-1.063,-0.852,66,,,False,False,False,0.572,24.888,0.224,20.343
2000-07,-1.133,-0.953,66,,,False,False,False,0.366,22.604,0.164,19.029
2000-08,-1.145,-0.97,66,,,False,False,False,0.339,22.239,0.156,18.818
2000-09,-0.928,-0.777,66,,,False,False,False,0.797,26.733,0.407,23.134
2000-10,-0.421,-0.159,66,,,False,False,False,12.327,48.201,3.86,37.542
2000-11,0.133,0.091,66,,,True,False,False,37.374,61.2,44.86,63.653
2000-12,0.336,0.164,66,,,True,False,False,51.679,65.621,110.355,77.262
2001-01,0.265,0.139,66,,,True,False,False,46.173,64.049,80.706,72.23
2001-02,0.338,0.165,66,,,True,False,False,51.91,65.684,111.734,77.469
2001-03,0.224,0.124,66,,,True,False,False,43.237,63.15,67.246,69.448
2001-04,0.218,0.122,66,,,True,False,False,42.816,63.017,65.443,69.043
2001-05,0.009,0.047,66,,,True,False,False,30.672,58.651,25.91,56.559
2001-06,-0.257,-0.04,66,,,False,False,False,20.882,53.992,7.995,43.912
2001-07,-0.432,-0.177,66,,,False,False,False,11.4,47.397,3.67,37.135
2001-08,-0.432,-0.176,66,,,False,False,False,11.441,47.433,3.673,37.143
2001-09,-0.486,-0.254,66,,,False,False,False,8.08,44.013,2.886,35.265
2001-10,-0.517,-0.31,66,,,False,False,False,6.311,41.733,2.52,34.248
2001-11,-0.586,-0.388,66,,,False,False,False,4.466,38.739,1.855,32.063
2001-12,-0.629,-0.426,66,,,False,False,False,3.765,37.341,1.535,30.782
2002-01,-0.59,-0.389,66,,,False,False,False,4.441,38.692,1.822,31.94
