h,P_m,PET,P_m_lag,h_prev,Delta_h,h_disp_prev,Drainage_Component,Well_Name,Tier,Period,neg_h_disp_prev
-1.72,0.1142,0.09381376705751,0.1142,-1.79,0.07000000000000006,1.9100000000000001,-0.0001655711414189076,CEH2,forest,After,-1.9100000000000001
-1.67,0.134,0.0791147484570001,0.134,-1.72,0.050000000000000044,1.9800000000000002,-0.11527571766345723,CEH2,forest,After,-1.9800000000000002
-1.42,0.1362,0.0482170198018847,0.1362,-1.67,0.25,2.0300000000000002,-0.004234677510258439,CEH2,forest,After_Scrape2,-2.0300000000000002
-1.29,0.0754,0.0259060594787389,0.0754,-1.42,0.1299999999999999,2.2800000000000002,-0.012851248421784908,CEH2,forest,After_Scrape2,-2.2800000000000002
-0.99,0.124,0.0215973634135762,0.124,-1.29,0.30000000000000004,2.41,0.00880115015710358,CEH2,forest,After_Scrape2,-2.41
-0.81,0.1112,0.0174196053541396,0.1112,-0.99,0.17999999999999994,2.71,-0.08635868888508656,CEH2,forest,After_Scrape2,-2.71
-0.54,0.0765999999999999,0.0256833704695574,0.0765999999999999,-0.81,0.27,2.89,0.12317430979686886,CEH2,forest,After_Scrape2,-2.89
-0.21,0.1064,0.03473113553075,0.1064,-0.54,0.33000000000000007,3.16,0.12352559555402355,CEH2,forest,After_Scrape2,-3.16
-0.25,0.0828,0.0480210734698828,0.0828,-0.21,-0.04000000000000001,3.49,-0.144442025054065,CEH2,forest,After_Scrape2,-3.49
-0.57,0.0448,0.0851606842163695,0.0448,-0.25,-0.31999999999999995,3.45,-0.21798818576943013,CEH2,forest,After_Scrape2,-3.45
-0.86,0.0304,0.0880180561124374,0.0304,-0.57,-0.29000000000000004,3.1300000000000003,-0.1397990447444504,CEH2,forest,After_Scrape2,-3.1300000000000003
-1.05,0.072,0.0988404071816598,0.072,-0.86,-0.19000000000000006,2.8400000000000003,-0.12791038953670975,CEH2,forest,After_Scrape2,-2.8400000000000003
-1.25,0.0494,0.0946305050728842,0.0494,-1.05,-0.19999999999999996,2.6500000000000004,-0.08556996890132901,CEH2,forest,After_Scrape2,-2.6500000000000004
