Date,Impact_Mean,Edge_Mean,Control_Mean,Impact_BACI_Delta,Edge_BACI_Delta,Impact_CUSUM,Edge_CUSUM
2015-05-01,-1.34,-1.4525000000000001,-1.358,0.018000000000000016,-0.09450000000000003,11.543046767467683,1.6145779328831278
2015-06-01,-1.36,-1.455,-1.366,0.006000000000000005,-0.08899999999999997,11.707182109323004,1.576735474192001
2015-07-01,-1.44,-1.5899999999999999,-1.4739999999999998,0.03399999999999981,-0.1160000000000001,11.899317451178325,1.511893015500874
2015-08-01,-1.8,-1.6291666666666667,-1.636,-0.16400000000000015,0.006833333333333247,11.893452793033646,1.5698838901430805
2015-10-01,-1.945,-1.75,-1.798,-0.14700000000000002,0.04800000000000004,11.904588134888968,1.6690414314519537
2015-11-01,-1.9722950819672131,-1.8516666666666666,-1.8418360655737704,-0.1304590163934427,-0.00983060109289613,11.932264460350847,1.7103683716679308
2015-12-01,-1.895,-1.7083333333333333,-1.722,-0.17300000000000004,0.013666666666666716,11.917399802206168,1.7751925796434707
2016-01-01,-1.1749999999999998,-0.9833333333333333,-1.042,-0.13299999999999979,0.058666666666666756,11.94253514406149,1.8850167876190107
2016-02-01,-0.9713750000000001,-0.7716666666666666,-0.82,-0.15137500000000015,0.04833333333333334,11.94929548591681,1.9845076622612172
2016-03-01,-0.88,-0.7133333333333334,-0.692,-0.18800000000000006,-0.021333333333333426,11.919430827772132,2.014331870236757
2016-04-01,-0.975,-0.8183333333333334,-0.752,-0.22299999999999998,-0.06633333333333336,11.854566169627454,1.999156078212297
2016-05-01,-1.135,-0.9783333333333335,-0.9280000000000002,-0.20699999999999985,-0.05033333333333334,11.805701511482775,1.9999802861878369
2016-06-01,-1.27,-1.0966666666666665,-1.012,-0.258,-0.08466666666666645,11.705836853338097,1.9664711608300436
2016-08-01,-1.38,-1.22,-1.142,-0.238,-0.07800000000000007,11.625972195193418,1.9396287021389167
2016-09-01,-1.5474999999999999,-1.38,-1.296,-0.25149999999999983,-0.08399999999999985,11.53260753704874,1.90678624344779
2016-10-01,-1.6600000000000001,-1.5033333333333332,-1.432,-0.2280000000000002,-0.07133333333333325,11.462742878904061,1.88661045142333
