Date,Control,Zone,BACI_raw,BACI_corrected,CWB
2015-05-01,Forest,Edge,-0.027000000000000135,0.020567788829862918,-182.1021426618302
2015-06-01,Forest,Edge,-0.0020000000000000018,0.00500427239054093,-260.5944328362632
2015-07-01,Forest,Edge,0.06600000000000028,0.046207767485621415,-312.9816111720056
2015-08-01,Forest,Edge,0.10150000000000015,0.06071089745297185,-354.4512940101497
2015-09-01,Forest,Edge,0.16349999999999976,0.10361466023601903,-392.3247355219304
2015-10-01,Forest,Edge,0.10922950819672117,0.047018502574750175,-398.40994435333096
2015-11-01,Forest,Edge,0.12949999999999973,0.11199809579223119,-315.55549264296934
2015-12-01,Forest,Edge,0.13800000000000012,0.23079954740362452,-108.53573403012354
2016-01-01,Forest,Edge,0.030999999999999917,0.16234305015889922,-37.34738663821993
2016-02-01,Forest,Edge,-0.05700000000000016,0.09830286979394445,6.246759762092367
2016-03-01,Forest,Edge,-0.13850000000000007,0.023051420395498852,16.441227738844372
2016-04-01,Forest,Edge,-0.15349999999999997,0.020553815839346658,38.35645644933979
2016-05-01,Forest,Edge,-0.10950000000000004,0.03935433104578395,-11.008954780171806
2016-06-01,Forest,Edge,-0.11850000000000027,0.007712967241564644,-55.590230985232
2016-07-01,Forest,Edge,-0.09650000000000025,0.0038848721665953115,-106.14505358000129
2016-08-01,Forest,Edge,-0.08050000000000024,-0.007494177460666655,-159.69063967566208
2016-09-01,Forest,Edge,-0.05800000000000005,0.016294154407461278,-158.99385912327696
2016-10-01,Forest,Edge,-0.03749999999999987,0.01702832935108707,-198.07808845437594
2016-11-01,Forest,Edge,-0.02450000000000019,0.0530555634317652,-156.24851366583692
2016-12-01,Forest,Edge,-0.010000000000000009,0.086806937026976,-121.50719338476532
2017-01-01,Forest,Edge,-0.012999999999999678,0.08597943549309081,-119.1374561030164
2017-02-01,Forest,Edge,-0.016000000000000014,0.11796778419346063,-54.675916660678794
2017-03-01,Forest,Edge,-0.012499999999999956,0.13403817591804612,-32.46355521485698
2017-04-01,Forest,Edge,-0.01650000000000018,0.10545385254960377,-80.72116038919756
2017-05-01,Forest,Edge,0.010999999999999677,0.09704582007294307,-150.34851880032014
2017-06-01,Forest,Edge,0.01749999999999985,0.11117183598500849,-137.660026285473
2017-07-01,Forest,Edge,0.04599999999999982,0.11786867930839365,-180.59914863310058
2017-08-01,Forest,Edge,0.06549999999999989,0.11191161981460437,-230.50808261491147
2017-09-01,Forest,Edge,0.07949999999999968,0.12773013867301505,-228.80812020151174
2017-10-01,Forest,Edge,0.11499999999999999,0.16182420936883807,-233.15306937998383
2017-11-01,Forest,Edge,0.10050000000000003,0.18010402413210413,-172.8703597198613
2017-12-01,Forest,Edge,0.06449999999999978,0.1768662925376268,-129.3307617859835
2018-01-01,Forest,Edge,0.03949999999999987,0.18982232036169122,-75.8592394294966
2018-02-01,Forest,Edge,-0.0055000000000002824,0.1669655676265882,-45.21779136565999
2018-03-01,Forest,Edge,-0.040000000000000036,0.17111760309926877,9.387161965610119
2018-04-01,Forest,Edge,-0.06650000000000023,0.14488681610540838,8.44745797722923
2018-05-01,Forest,Edge,-0.06250000000000022,0.10354903925914549,-58.295560386007466
2018-06-01,Forest,Edge,-0.024499999999999966,0.06406417733937114,-171.49454100653168
2018-07-01,Forest,Edge,0.030999999999999917,0.061725452823125,-256.28609694140977
2018-08-01,Forest,Edge,0.03699999999999992,0.016835562916927074,-331.0879604572564
2018-09-01,Forest,Edge,0.1144836065573771,0.09714611853104566,-328.3348727928516
2018-10-01,Forest,Edge,0.09150000000000014,0.0992302000818453,-293.42834321579244
2018-11-01,Forest,Edge,0.11599999999999966,0.18956441812213987,-199.70702725724306
2018-12-01,Forest,Edge,0.10799999999999987,0.2317321955992733,-128.56165259526716
2019-01-01,Forest,Edge,0.052000000000000046,0.17803936211089844,-126.55901322024636
2019-02-01,Forest,Edge,0.023499999999999854,0.15499001804774576,-120.01788696447355
2019-03-01,Forest,Edge,0.06350000000000011,0.22554881245103225,-77.09774100729163
2019-04-01,Forest,Edge,0.032500000000000195,0.19360078436117184,-79.79486549169302
2019-05-01,Forest,Edge,0.05549999999999988,0.18476385254657599,-127.0457209217107
2019-06-01,Forest,Edge,0.0519999999999996,0.14782566813463108,-176.6512736763688
2019-07-01,Forest,Edge,0.03956557377049186,0.06990443667247147,-272.48492624304424
2019-12-01,Forest,Edge,0.1439999999999999,0.2495808939395305,-170.4087027940527
2020-01-01,Forest,Edge,0.11950000000000016,0.24967955966628133,-136.22218650556658
2020-02-01,Forest,Edge,0.07899999999999996,0.2599920056369356,-64.18890770619566
2020-03-01,Forest,Edge,0.030000000000000027,0.19945322292454695,-82.09098120698795
2020-04-01,Forest,Edge,0.025500000000000078,0.15369722346041337,-142.98368853764524
2020-05-01,Forest,Edge,0.03399999999999981,0.10138096864520846,-232.07412395671582
2020-06-01,Forest,Edge,0.05850000000000044,0.10040093580591364,-270.1899079793071
2020-07-01,Forest,Edge,0.06699999999999995,0.09884680706187043,-285.9913285333953
2020-08-01,Forest,Edge,0.06800000000000006,0.1030537503178328,-282.68961529573807
2020-09-01,Forest,Edge,0.09149999999999991,0.11021569338408901,-307.60645632886445
2020-10-01,Forest,Edge,0.08349999999999969,0.13979768258477737,-254.63210986194065
