spec,window_start,window_end,window_years,n_obs,n_wells,delta_0_mm_yr,delta_0_se,L_m,L_se,c_mm_yr,c_se,far_field_observed_mm_yr,n_far_field_wells,panel_max_dist_m,at_bound,reach_exceeds_panel,usable
forest_free,2010-09,2026-02,15.419575633127995,9591,61,-32.23150163234589,3.7971494368125733,487.6280677311914,43.96342352908973,7.995618951861681,0.5932945760705399,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-10,2026-02,15.33744010951403,9542,61,-31.797264302960397,3.8349091468422563,489.3240847205015,45.4395314646949,8.222076770754782,0.5994119549330907,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-11,2026-02,15.252566735112936,9493,61,-30.811351293812063,3.6221328905237495,505.2674827430657,41.91604940968067,8.363062144166657,0.6123029520648665,4.190803310513747,41,2338.0,False,False,True
forest_free,2010-12,2026-02,15.170431211498974,9444,61,-30.76333638602058,3.66159901385675,507.9261839391865,43.066639030111105,8.34330569454843,0.6189762051874351,4.190803310513747,41,2338.0,False,False,True
forest_free,2011-01,2026-02,15.085557837097879,9395,61,-30.88725869697916,3.6983042307614045,514.9860318730778,44.980542783737484,8.167076604914987,0.6244059373356078,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-02,2026-02,15.000684462696784,9342,61,-31.23528201372701,3.7375440955930768,519.0168210465225,45.915240034359186,7.9214881655553375,0.6304001166903608,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-03,2026-02,14.924024640657084,9289,61,-31.631949253559675,3.771428047636177,523.7844620871047,46.69546590085766,7.800260907143214,0.6370432025569459,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-04,2026-02,14.839151266255989,9236,61,-31.965162975976106,3.8113909114445894,523.7998786553122,46.73318806957745,7.506391282895861,0.6424688558823793,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-05,2026-02,14.757015742642025,9183,61,-31.967680132214998,3.854798788823692,523.7976723849056,47.29418451698791,7.291069277649883,0.6482841536307818,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-06,2026-02,14.67214236824093,9130,61,-31.618170461184683,3.8981462829829274,523.7957679763443,48.38933635473855,7.006945937543413,0.6543056440279735,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-07,2026-02,14.590006844626968,9077,61,-30.99753543311127,3.9436028314093154,523.7993109953705,49.972472179484505,6.782566179411705,0.6607328584157643,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-08,2026-02,14.505133470225873,9024,61,-30.17002567954065,3.8897308859978135,523.8000003411603,47.792935473914994,6.541731143788599,0.6709660138116483,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-09,2026-02,14.420260095824778,8975,60,-28.86977626601605,4.032148314276069,523.7997262730146,54.93260620634432,6.254381458749072,0.6729376382016118,-1.2235534810285873,41,2338.0,False,False,True
