well,cluster,dist_coast_m,n_obs_withheld,delta_0_loo_mm_yr,delta_0_loo_se,L_loo_m,c_loo_mm_yr,delta_ref_loo_mm_yr,d_delta_0_mm_yr,d_delta_ref_mm_yr,abs_rank
ceh38,3,258.4,81,-30.752982759588637,1.9846443932787008,906.1098162285263,-0.2987835319651049,-25.960829926755675,0.5256767096613615,0.41761523208618456,14
nw1,3,1316.9,252,-31.786067441329898,1.9632243698898062,918.0065062924529,0.25682635054184616,-26.335476031915416,-0.5074079720798998,0.042969126926443835,15
nw4,2,1478.0,247,-31.687456602770844,1.978791464784955,914.2165929789298,0.099227168532595,-26.389113024714522,-0.4087971335208458,-0.010667865872662219,16
nw3,2,1396.9,220,-31.68551672988542,1.9752666326174377,913.8611974990375,0.09554108026491591,-26.389155741203485,-0.40685726063542305,-0.010710582361625143,17
ceh1,3,1086.9,239,-31.672830439908886,1.9485648443635681,915.4787768136549,0.16707882013619418,-26.316199784915266,-0.3941709706588874,0.06224537392659357,18
ceh8,2,1577.3,159,-31.647400978872607,1.9735840085172034,913.1196443984766,0.05637931968033073,-26.392239466790663,-0.368741509622609,-0.013794307948803208,19
nw4b,2,1471.7,241,-31.572505918962317,1.9779756413777054,910.8026516595337,-0.016101503600934992,-26.388934497571967,-0.2938464497123192,-0.010489338730106823,20
nw5,3,459.7,246,-30.98598711712954,1.9989946378164671,898.8370322092745,-0.2769676468219428,-26.091941664785725,0.2926723521204586,0.2865034940561344,21
d15,3,1290.6,190,-31.049116278599964,1.9693209731900976,896.1845740306742,-0.5093574243531512,-26.361589515532827,0.22954319065003403,0.01685564330903233,22
d7,2,1935.9,175,-31.067112829918525,1.967947298194248,895.9353659606559,-0.5218566046574448,-26.387626679799148,0.21154663933147333,-0.009181520957287859,23
d6,2,1473.9,192,-31.07033939766739,1.971932607369171,896.4595656648379,-0.499514443969462,-26.3710126577696,0.2083200715826088,0.007432501072258901,24
