key,Cluster,E,N,dry_m,wet_m,swing_mm,amplification,n_dry,n_wet,flagged
ceh39,3.0,241719.0,363435.0,-0.69,0.0030737704918032804,693.0737704918032,1.163700646033128,2,4,False
ceh40,3.0,242060.283,363398.508,-0.6466666666666666,-0.2011111111111111,445.5555555555555,0.7973698794946246,1,3,True
ceh41,3.0,242284.022,363324.592,-0.5599999999999999,0.0033333333333333327,563.3333333333333,1.0081459573660216,1,3,True
ceh42,3.0,242120.528,362743.198,-0.5966666666666667,0.1711111111111111,767.7777777777778,1.37402141329373,1,3,True
wmc1,2.0,242765.629,363643.556,-0.7577777777777778,-0.11083333333333333,646.9444444444445,0.9091208694157459,3,4,False
wmc2,3.0,241885.149,362855.856,-0.8966666666666666,0.010833333333333334,907.5,1.2752674454191677,3,4,False
wmc3,3.0,241217.327,363562.323,-1.5294384057971016,-0.7,829.4384057971016,1.165571126053352,3,4,False
wmc4,3.0,241761.0,364180.0,-1.1633333333333333,-0.3133333333333333,850.0000000000001,1.1427111890108375,2,4,False
l7,2.0,242812.0,364395.0,-1.75,-1.0916666666666666,658.3333333333335,0.9251251440598189,3,4,False
d5,2.0,242083.407,363901.712,-0.7744444444444444,-0.09666666666666666,677.7777777777777,0.9524495154033575,3,4,False
d6,2.0,242114.898,364021.851,-0.7600000000000001,-0.07,690.0000000000001,0.9696248345335823,3,4,False
d7,2.0,242610.75,364204.554,-0.7377777777777778,-0.08583333333333332,651.9444444444445,0.9161471363326559,3,4,False
d8,2.0,242676.867,364024.231,-0.5944444444444446,0.021666666666666667,616.1111111111113,0.8657922234281343,3,4,False
d9,2.0,242710.726,363910.68,-0.8155555555555555,0.021666666666666667,837.2222222222221,1.1765093604203767,3,4,False
d10,2.0,242613.907,364118.797,-0.6055555555555555,0.006666666666666668,612.2222222222222,0.8603273491594262,3,4,False
d15,2.0,241980.565,363895.719,-0.6477777777777777,0.15083333333333332,798.611111111111,1.1222509658953495,3,4,False
d17,2.0,242446.951,363534.961,-0.5877777777777778,0.02333333333333333,611.1111111111112,0.8587659565112242,3,4,False
d25,3.0,242215.187,363143.807,-0.8433333333333334,0.010833333333333332,854.1666666666667,1.200320598305461,3,4,False
d38,2.0,242711.571,363069.196,-0.9066666666666667,-0.12583333333333332,780.8333333333334,1.097268683524114,3,4,False
d41,2.0,242771.66,363342.853,-0.6077777777777778,-0.0058333333333333345,601.9444444444443,0.8458844671635556,3,4,False
t41a,2.0,242709.928,363275.666,-0.7222222222222222,0.195,917.2222222222222,1.2889296310909373,3,4,False
t41b,2.0,242715.085,363309.565,-0.57,0.04083333333333333,610.8333333333334,0.8583756083491736,3,4,False
t41c,2.0,242721.13,363323.682,-0.601111111111111,0.028333333333333332,629.4444444444443,0.8845289352065606,3,4,False
t41d,2.0,242731.987,363353.284,-0.7800000000000001,-0.18833333333333332,591.6666666666667,0.8314415851676853,3,4,False
d43,2.0,242664.714,363428.693,-0.8455555555555555,-0.13416666666666668,711.3888888888888,0.9996816430114748,3,4,False
d44,2.0,242819.407,363279.547,-0.8633333333333334,-0.21333333333333332,650.0000000000001,0.9134146991983021,3,4,False
fe1,4.0,241338.0,363744.0,-1.0266666666666666,-0.09333333333333334,933.3333333333333,1.6703009944525804,1,3,True
fe2,5.0,241135.0,363595.0,-1.79,-1.058888888888889,731.1111111111111,1.3084024456545214,1,3,True
fe3,5.0,241104.1,363546.1,-2.1033333333333335,-1.4300000000000002,673.3333333333334,1.1380998802741464,1,2,True
