site_no,well,headline,month,obs_level_m_od,model_level_m_od,n_readings
4,nw2,False,1951-08,10.8085,10.478214849690186,6
4,nw2,False,1951-09,11.135666666666665,10.67952423905586,3
4,nw2,False,1951-10,11.125,10.638835173915126,2
4,nw2,False,1951-11,11.3615,10.749509780681368,4
4,nw2,False,1951-12,11.589,11.142185494944718,1
4,nw2,False,1952-01,11.602,11.367478849693063,1
4,nw2,False,1952-03,11.52225,11.139699927497976,4
4,nw2,False,1952-04,11.4015,11.02940585815694,2
4,nw2,False,1952-05,11.512,10.906697185744143,1
4,nw2,False,1952-10,11.08,10.520561940500679,2
4,nw2,False,1952-11,11.3955,10.624106055428166,2
4,nw2,False,1952-12,11.288499999999999,10.720520906996498,2
4,nw2,False,1953-01,11.536999999999999,10.744763063953233,2
4,nw2,False,1953-02,11.517,10.72654376586747,1
4,nw2,False,1953-03,11.377285714285716,10.656745250271989,7
4,nw2,False,1953-04,11.4785,10.576586173851052,2
4,nw2,False,1953-05,11.322333333333333,10.56603726946518,3
4,nw2,False,1953-06,11.066,10.39267318563147,2
4,nw2,False,1953-07,10.875,10.173172878581301,3
4,nw2,False,1953-08,10.74,10.096521208070017,1
8,nw5,True,1951-03,6.7923333333333344,5.365231862455064,3
8,nw5,True,1951-04,6.648333333333333,5.403890853762333,3
8,nw5,True,1951-05,6.472,5.315613254995916,3
8,nw5,True,1951-06,6.333333333333333,5.136191810461914,3
8,nw5,True,1951-07,6.198,4.859875462704068,2
8,nw5,True,1951-08,6.191599999999999,4.8219590368589555,5
8,nw5,True,1951-09,6.2725,4.959337978436283,2
8,nw5,True,1951-10,6.249,4.927500908053777,3
8,nw5,True,1951-11,6.3453333333333335,5.027175504684142,3
8,nw5,True,1951-12,6.513,5.358814376070263,1
