key,col,Cluster,E,N,slope_mm_yr_2011_2025,p_ar_2011_2025,sig_2011_2025,rho_2011_2025,boot_lo_mm_yr_2011_2025,boot_hi_mm_yr_2011_2025,boot_sig_2011_2025,n_2011_2025,slope_mm_yr_2005_2025,p_ar_2005_2025,sig_2005_2025,rho_2005_2025,boot_lo_mm_yr_2005_2025,boot_hi_mm_yr_2005_2025,boot_sig_2005_2025,n_2005_2025
fe3,FE3,,241104.1,363546.1,-0.8565470594982222,0.8828704918197352,False,0.0,-6.620644637315388,4.498091590691132,False,9.0,-5.335675253708509,0.35882857127767864,False,0.0,-10.349927899211108,0.0922456414256785,False,9
l7,L7,2.0,242812.0,364395.0,2.0039080146450243,0.6550699009488445,False,0.20699091011718473,-4.919893906537382,8.830962905932227,False,15.0,7.533359831590565,0.17905017108581953,False,0.1743168580236006,-0.2323883169447128,14.75065716052543,False,17
nw1,nw1,3.0,241725.0,364139.0,8.920574681311399,0.05779471472250707,False,0.0,2.2060798639528247,16.016783684518575,True,15.0,5.384337010194954,0.07755644594062437,False,0.0,0.2667363035805875,10.181335802382293,True,21
nw10,nw10,4.0,241435.0,364325.025,12.183109000191463,0.33742749377585074,False,0.0,-5.415347433037076,31.653705647875125,False,14.0,9.578459993949117,0.15402578529733285,False,0.0,0.4236505256403301,18.99654722418716,True,18
nw11,nw11,3.0,241689.0,364237.0,10.992003252739849,0.04140066457632803,True,0.0,3.9774078127161543,18.332322924407887,True,15.0,9.739327553976272,0.02838919617974405,True,0.0,2.834444619337092,15.826553909950968,True,19
nw13,nw13,3.0,241761.0,364180.0,7.02396382114232,0.12297365573190912,False,0.046499753255967585,0.7266132381615349,13.131134697663187,True,14.0,8.135344432798364,0.1919198026704689,False,0.04638489177139261,-0.3030128722353599,16.558973670629328,False,14
nw2,nw2,3.0,241703.008,364112.082,10.206288967025637,0.03244426193834307,True,0.0,3.432607934237741,17.4256537368413,True,15.0,4.477627053485005,0.14237501559024382,False,0.005405989089528117,-1.0071091933857295,9.95673990495274,False,21
nw3,nw3,2.0,242091.94,363939.361,-1.8824080502421678,0.7017137097613658,False,0.0,-8.087481842244912,4.12062517675582,False,15.0,3.9619332235053584,0.2745866927456229,False,0.0,-2.0218703499190225,10.070529042491652,False,21
nw4,nw4,2.0,242431.164,363744.512,-3.174663413926227,0.6532568506063475,False,0.0,-14.028074728171932,7.624892140310616,False,15.0,3.77136773902882,0.44470651549480544,False,0.0,-4.469764030691541,12.411049109595504,False,21
nw4b,nw4b,2.0,242414.677,363751.66,-1.781806271069149,0.79283763573821,False,0.0,-11.503991379477604,7.887669802420408,False,15.0,5.419208005474027,0.29600746376250664,False,0.0,-3.4435038709124455,14.157680106907735,False,20
nw5,nw5,3.0,241711.757,363023.697,-0.46037769964083725,0.9429581728787277,False,0.0,-7.249077722559446,7.369659772396805,False,15.0,-3.390554764696728,0.2901381459462319,False,0.0,-8.076644054769856,1.19870608858602,False,21
nw6,nw6,3.0,241444.307,363316.599,0.668316100782559,0.8420231500345621,False,0.0,-4.116849921636757,5.717417406491701,False,14.0,-1.0860600306967934,0.5060739241717628,False,0.0,-3.3104453761236154,1.2218684258646686,False,20
nw7,nw7,3.0,241423.695,363584.862,4.857665213208213,0.42659665347946946,False,0.0,-4.154379685285148,15.12370154005786,False,14.0,-5.2283857598841115,0.1719373227660262,False,0.23810793044651699,-11.18703103956453,0.943692519105601,False,20
nw8,,,,,,,,,,,,,-27.372169918906334,0.0030269435555016896,True,0.024016292151205782,-37.86489541425683,-16.195643741437657,True,10
nw8b,nw8b,,241272.0,363487.0,4.688335558633566,0.5355630620829744,False,0.0,-4.741740672838313,14.943928837687062,False,10.0,1.9344104590005857,0.7039126516788577,False,0.0,-5.4816603692163035,9.461329640167671,False,10
nw9,nw9,5.0,240937.259,363567.162,-7.222282461545491,0.03856931615773899,True,0.0,-10.555261471715115,-3.8821619344060427,True,15.0,-19.27803510229547,0.0042143202094224366,True,0.2794060637716763,-26.93891689282905,-10.830472207991848,True,20
t41a,T41a,2.0,242709.928,363275.666,1.0991461098830506,0.8641566676252302,False,0.0,-6.340551178232577,9.193188473066119,False,15.0,1.1732770978133837,0.8215898100344505,False,0.0,-6.54352516262328,8.790686589498089,False,16
t41b,T41b,2.0,242715.085,363309.565,-3.043711032973857,0.4696036019427597,False,0.0,-9.135783397898363,3.26658058386934,False,15.0,-2.6262327061081177,0.5877541763261511,False,0.0,-10.408709981189649,4.907691397942449,False,16
t41c,T41c,2.0,242721.13,363323.682,-1.4484729377357761,0.6983049851665416,False,0.0,-7.26641655819451,4.653052894593024,False,15.0,-1.3463307453238915,0.7653412218591598,False,0.0,-9.496331415964399,6.055457022656043,False,16
t41d,T41d,2.0,242731.987,363353.284,-1.900853890116723,0.6820500715796887,False,0.0,-8.658264632479172,5.160774702288859,False,15.0,-1.9835856472846785,0.7080588804140502,False,0.0,-10.827542197028356,6.196041525356338,False,16
wmc1,WMC1,2.0,242765.629,363643.556,0.3848603955973827,0.9196563823921345,False,0.0,-5.361575516533283,6.4746100802431625,False,15.0,0.2457781322442107,0.9540533563480228,False,0.0,-6.955971892289643,7.094246434754349,False,17
wmc2,WMC2,3.0,241885.149,362855.856,0.027717538454404125,0.9964289093774161,False,0.0,-7.505553261476044,8.383275507311973,False,15.0,2.4843402237474344,0.5784033209116838,False,0.0,-3.620718464649399,9.013508412398863,False,17
wmc3,wmc3,3.0,241217.327,363562.323,2.753519815887044,0.36858256169601394,False,0.0,-0.8561312007531795,6.501799800919076,False,15.0,2.4597487516923837,0.29599446310418204,False,0.0,-0.8006729373601913,5.702142461518605,False,16
wmc4,wmc4,3.0,241760.293,364180.707,8.181472978651524,0.06947437706277818,False,0.0,1.9358459018448777,14.440518337741622,True,14.0,9.292853590307569,0.12512321397987167,False,0.004499040352618088,0.7233952092918536,17.825359649054185,True,14
