key,Cluster,E,N,dry_m,wet_m,swing_mm,amp_coefficient,ci_lo,ci_hi,se,n_dry,n_wet,tier,dry_2012_present,beta_2_atmospheric_draw,beta_3_drainage
ceh41,3.0,242284.022,363324.592,-0.31777777777777777,0.03666666666666667,354.44444444444446,0.7308442935935511,0.47776131386738263,0.9839272733197195,0.15384983569979846,3,3,A,False,2.0771007542968807,0.0373231268803477
ceh27,1.0,242005.373,364330.297,-0.32933333333333337,0.11000000000000001,439.33333333333337,0.7297145167447533,0.5795149402757964,0.8799140932137102,0.09130673341577922,5,4,A,True,0.7684816680918257,0.0983563621772608
ceh25,1.0,242512.557,364638.544,-0.367,0.05333333333333332,420.3333333333333,0.6981563016806781,0.5494719223687832,0.846840680992573,0.09038564091908506,5,4,A,True,0.3271553883074013,0.1343414513450227
t41d,2.0,242731.987,363353.284,-0.538,-0.11833333333333335,419.6666666666667,0.6970489958889563,0.6010988105890485,0.7929991811888641,0.058328380121524505,5,4,A,True,1.4021563009702565,0.0691185504074957
ceh5,1.0,242521.077,364465.817,-0.3333333333333333,0.07500000000000001,408.3333333333333,0.6782247974296833,0.564406221789962,0.7920433730694046,0.06919062348919226,5,4,A,True,1.2510057628471714,0.0983242060374733
nw4b,2.0,242414.677,363751.66,-0.378,0.020833333333333336,398.8333333333333,0.6624456898976459,0.5330594024252404,0.7918319773700513,0.0786542780987267,5,4,A,True,1.1054625946194363,0.0610575384679816
ceh40,3.0,242060.283,363398.508,-0.4711111111111111,-0.1688888888888889,302.2222222222222,0.6231650403054728,0.4662262805188434,0.7801038000921022,0.09540350139004826,3,3,A,False,1.6460124149561095,0.0371428746824638
nw4,2.0,242431.164,363744.512,-0.33599999999999997,0.02416666666666667,360.16666666666663,0.5982219539777738,0.4667453996823772,0.7296985082731704,0.07992495701847815,5,4,A,True,1.0339501913264335,0.0596541141325321
ceh8,2.0,243149.932,363382.305,-0.5507222222222222,-0.13333333333333333,417.3888888888889,0.5869774691658701,0.45258631142872374,0.7213686269030165,0.08169675242379719,3,2,A,True,,
ceh6,1.0,242621.679,364724.912,-0.242,0.08916666666666667,331.1666666666667,0.5500541520378698,0.3715318343226315,0.7285764697531081,0.10852420529801719,5,4,A,True,-0.4001883327302702,0.1221979357192562
ceh26,1.0,242172.261,364362.239,-0.33766666666666667,-0.025833333333333333,311.83333333333337,0.5179422840779339,0.4360693074698029,0.5998152606860648,0.04977080644871182,5,4,A,True,0.4851992666838128,0.0876177853721888
ceh3,5.0,240743.0,363388.0,-1.176,-0.87,305.99999999999994,0.5082533584003668,0.2795188007738466,0.736987916026887,0.13904836329879644,5,4,A,True,,
ceh23,1.0,242325.311,364428.124,-0.32199999999999995,-0.02916666666666667,292.83333333333326,0.48638406901385856,0.3755823323267379,0.5971858057009792,0.06735667883715542,5,4,A,True,0.4303711241592479,0.0944181152232044
