Well,Well_Normalized,Cluster,n,R2,durbin_watson,ar1_phi,ljungbox12_p,hac_maxlag,p_beta_1_ols,p_beta_1_hac,p_beta_2_ols,p_beta_2_hac,p_beta_3_ols,p_beta_3_hac,sig_flips_hac
wmc4,wmc4,3,168,0.8208763107787047,2.282732867703008,-0.1489319321196235,0.418195598248561,4,7.571170651943889e-60,5.715720646271773e-116,2.1549894752093131e-13,1.5395960811178674e-20,7.129903416918905e-26,4.051548021969555e-37,0
L7,l7,2,196,0.8430191952560779,1.9407174468596755,0.025443306476701524,0.2573782615576066,4,1.174029387048627e-73,8.70765343101774e-127,1.7942450015050202e-31,3.86170770876897e-46,4.745693140607103e-27,1.3103284305737082e-25,0
D5,d5,2,191,0.7407493875628477,2.2172694027190185,-0.1179266387444397,0.04094292893906451,4,8.862621087610944e-52,1.0551872059189125e-79,7.715795028602923e-13,1.0842791803820932e-19,1.2754977238495948e-18,3.692786082692418e-27,0
D6,d6,2,191,0.7934900085570666,1.9730651387030997,0.008135381190622052,0.33656056896273395,4,2.9001971246043844e-60,4.3536883010820283e-147,3.3519154089423442e-18,1.567764202468469e-23,1.331114476802587e-21,6.969833424907696e-31,0
D7,d7,2,168,0.7814529452427648,2.2112227712364945,-0.11789059748283238,0.19524646338766694,4,4.5570359507140916e-52,3.451931268044255e-90,2.758222961290929e-12,3.5237496709281317e-15,3.150380057196399e-23,1.7379056334626343e-24,0
D8,d8,2,185,0.7327949924020662,2.292684939441157,-0.15224287124768765,0.27765693247105866,4,6.18413350616147e-48,1.797351957776802e-89,1.7008171679648941e-12,1.3328411542498388e-15,8.398805373182029e-16,1.3045157018205902e-21,0
D9,d9,3,183,0.790283002613962,2.303578894066795,-0.164819690341181,0.07899176514521561,4,5.122384354711044e-57,7.473001869304153e-73,8.700589368701595e-17,1.060013518848438e-26,6.897788656734588e-20,4.336972620706423e-21,0
D10,d10,2,187,0.7793045600662991,2.128272361580886,-0.07007021581066908,0.10210188484637657,4,7.255767270596025e-56,2.0509188127422062e-98,4.630782508848409e-16,3.313730853208083e-21,3.4283513259601596e-19,6.383849156890064e-25,0
D15,d15,3,188,0.8167038350898873,2.2213577592280314,-0.11412827010873652,0.019081477556624107,4,1.1545853924107161e-63,2.9409437337295555e-133,1.6546304658100055e-19,2.1263917826088586e-29,3.6984371087132967e-23,1.1249884791015328e-32,0
D17,d17,2,191,0.7188842441541163,2.2979128154055917,-0.15343079178024172,0.12828410806425414,4,1.59871004491563e-49,6.556398021115105e-99,3.0643670117143454e-09,1.496145052354435e-12,3.1830493063088636e-19,4.157737308935084e-32,0
D25,d25,3,166,0.787245042001689,2.1180570733785404,-0.07672696568859332,0.7300746268850749,4,5.04470813309902e-52,1.0757882753971954e-65,8.584273117023595e-14,6.579776521940905e-22,1.5711012730459446e-21,7.643339474175843e-29,0
D38,d38,3,186,0.7924474517781284,2.338005500944129,-0.1991082618726879,0.08556413461217878,4,2.2002942434679203e-62,5.623838667010671e-137,1.3917647981401716e-07,9.378132856014151e-12,2.4842786616044785e-33,1.0471916765264183e-58,0
D41,d41,2,187,0.7343298578726858,2.137000075744314,-0.07068017983292019,0.056387046936976624,4,1.7946340909322244e-50,2.928470493616288e-112,1.1656415792599835e-09,8.188838765208496e-13,2.38657940848906e-20,3.751445795793191e-42,0
T41a,t41a,3,187,0.7452060099209648,2.104981838708866,-0.06308349658488646,0.011993388580769556,4,1.0445186556845296e-53,4.340161900683522e-85,1.0781946953046793e-08,5.246094063802263e-13,1.0804295121077877e-24,3.688723118769342e-38,0
T41b,t41b,2,191,0.7370282486028499,2.26776518079814,-0.13849825071828614,0.21241219353381774,4,3.476572055212383e-52,5.990245024761211e-133,1.1121493115091666e-09,2.0515638529688975e-13,4.827255942855566e-21,2.423328573357566e-45,0
T41c,t41c,2,187,0.7585640097381946,2.1919199953949424,-0.10207016500312734,0.3063008976620145,4,2.682054474712414e-54,1.502658045227021e-94,1.731591440394786e-10,1.229972525559871e-14,1.8540980053283012e-22,1.7324636676627404e-40,0
T41d,t41d,2,187,0.7469440754841956,2.17481483815365,-0.09301107188497329,0.0716101829463989,4,4.516549195675809e-52,7.068206687751347e-113,2.5750173702184876e-11,2.2553515650644704e-15,2.276843226670087e-20,2.3327749092416004e-38,0
D43,d43,2,191,0.8210475536099359,2.042040172007383,-0.03645116289695598,0.041871696775874684,4,1.7269290135678933e-67,1.2311404336295703e-139,6.925750727346303e-17,4.1451164532588283e-22,3.792532210111982e-29,4.0335455148088756e-35,0
